,μ04779,μυσαχνός,a,aps---mn1-,μυσαχνός μυσαχνή μυσαχνόν,,,,,0
70368,ο01365,ὁμουρέω,v,----------,,,,,,0
70369,ο01366,ὁμοφάγος,n,----------,,,,,,0
70371,ο01368,ὁμοφήτωρ,n,n-s---mn3r,ὁμοφήτορος,,,,,0
70372,ο01369,ὁμόφθογγος,a,aps---cn2-,ὁμόφθογγος ὁμόφθογγος ὁμόφθογγον,,,,,0
70373,ο01370,ὁμοφλεγής,a,aps---cn5s,ὁμοφλεγής ὁμοφλεγής ὁμοφλεγές,,,,,0
70374,ο01371,ὁμόφλεκτος,a,aps---cn2-,ὁμόφλεκτος ὁμόφλεκτος ὁμόφλεκτον,,,,,0
70375,ο01372,ὁμόφλοιος,n,----------,,,,,,0
70376,ο01373,ὁμόφοιτος,a,aps---cn2-,ὁμόφοιτος ὁμόφοιτος ὁμόφοιτον,,,,,0
70377,ο01374,ὁμοφραδής,a,aps---cn5s,ὁμοφραδής ὁμοφραδής ὁμοφραδές,,,,,0
70379,ο01376,ὁμοφρονέω,v,----------,,,,,,0
70380,ο01377,ὁμοφροσύνη,n,n-s---fn1e,ὁμοφροσύνης,,,,,0
70381,ο01378,ὁμόφρων,n,----------,,,,,,0
70383,ο01380,ὁμοφυί̈α,n,n-s---fn1l,ὁμοφυί̈ας,,,,,0
70384,ο01381,ὁμοφυλία,n,n-s---fn1l,ὁμοφυλίας,,,,,0
70385,ο01382,ὁμόφυλος,a,aps---cn2-,ὁμόφυλος ὁμόφυλος ὁμόφυλον,,,,,0
70386,ο01383,ὁμόφυτος,a,aps---cn2-,ὁμόφυτος ὁμόφυτος ὁμόφυτον,,,,,0
70387,ο01384,ὁμόφωκτος,a,aps---cn2-,ὁμόφωκτος ὁμόφωκτος ὁμόφωκτον,,,,,0
70388,ο01385,ὁμοφωνέω,v,----------,,,,,,0
70389,ο01386,ὁμοφωνία,n,n-s---fn1l,ὁμοφωνίας,,,,,0
70391,ο01388,ὁμοχοῖνιξ,n,n-s---mn3v,ὁμοχοίνικος,,,,,0
70392,ο01389,ὁμόχορος,a,aps---cn2-,ὁμόχορος ὁμόχορος ὁμόχορον,,,,,0
70393,ο01390,ὁμοχροέω,v,----------,,,,,,0
70394,ο01391,ὁμόχροια,n,n-s---fn1s,ὁμόχροιας,,,,,0
70395,ο01392,ὁμοχρονέω,v,----------,,,,,,0
70347,ο01345,ὁμότοιχος,a,aps---cn2-,ὁμότοιχος ὁμότοιχος ὁμότοιχον,,,,,0
70399,ο01396,ὁμόχρως,n,----------,,,,,,0
70400,ο01397,ὁμόχωρος,a,aps---cn2-,ὁμόχωρος ὁμόχωρος ὁμόχωρον,,,,,0
70401,ο01398,ὁμοψηφέω,v,----------,,,,,,0
70402,ο01399,ὁμόψηφος,a,aps---cn2-,ὁμόψηφος ὁμόψηφος ὁμόψηφον,,,,,0
70403,ο01400,ὁμοψυχία,n,----------,,,,,,0
70404,ο01401,ὁμόψυχος,a,----------,,,,,,0
70405,ο01403,ὁμόω,v,----------,,,,,,0
70406,ο01402,ὀμόω,v,----------,,,,,,0
70407,ο01404,ὄμπαξ,n,----------,,,,,,0
70408,ο01405,ὄμπη,n,----------,,,,,,0
70409,ο01406,ὄμπνειος,n,----------,,,,,,0
70411,ο01408,ὀμπνηρὸν,n,----------,,,,,,0
70413,ο01410,ὄμπνιος,a,----------,,,,,,0
70415,ο01412,ὀμφακηρός,a,aps---mn1-,ὀμφακηρός ὀμφακηρά ὀμφακηρόν,,,,,0
70416,ο01413,ὀμφακίας,n,----------,,,,,,0
70417,ο01414,ὀμφακίζω,v,----------,,,,,,0
70418,ο01415,ὀμφάκινος,a,aps---mn1-,ὀμφάκινος ὀμφακίνη ὀμφάκινον,,,,,0
70419,ο01416,ὀμφάκιον,n,n-s---nn2-,ὀμφακίου,,,,,0
70420,ο01417,ὀμφάκιος,a,aps---mn1-,ὀμφάκιος ὀμφάκια ὀμφάκιον,,,,,0
70421,ο01418,ὀμφακίς,n,n-s---fn3d,ὀμφακίδος,,,,,0
70422,ο01419,ὀμφακισμός,n,----------,,,,,,0
70423,ο01420,ὀμφακίτης,n,n-s---mn1e,ὀμφακίτου,,,,,0
70424,ο01421,ὀμφακόκαρπος,n,----------,,,,,,0
70425,ο01422,ὀμφακόμελι,n,----------,,,,,,0
70427,ο01424,ὀμφακοράξ,n,----------,,,,,,0
70428,ο01425,ὀμφακός,n,----------,,,,,,0
70429,ο01426,ὀμφακώδης,a,aps---cn3s,ὀμφακώδης ὀμφακώδης ὀμφακώ͂δες,,,,,0
70430,ο01427,ὀμφαλητομία,n,n-s---fn1l,ὀμφαλητομίας,,,,,0
70432,ο01429,ὀμφαλικός,a,aps---mn1-,ὀμφαλικός ὀμφαλική ὀμφαλικόν,,,,,0
70433,ο01430,ὀμφάλιον,n,n-s---nn2-,ὀμφαλίου,,,,,0
70434,ο01431,ὀμφάλιος,a,aps---mn1-,ὀμφάλιος ὀμφάλια ὀμφάλιον,,,,,0
70435,ο01432,ὀμφαλίς,n,----------,,,,,,0
70436,ο01433,ὀμφαλιστήρ,n,n-s---mn3r,ὀμφαλιστῆρος,,,,,0
70437,ο01434,ὀμφαλοειδής,a,aps---cn5s,ὀμφαλοειδής ὀμφαλοειδής ὀμφαλοειδές,,,,,0
70438,ο01435,ὀμφαλόεις,a,aps---mn4i,ὀμφαλόεις ὀμφαλόεσσα ὀμφαλόεν,,,,,0
70439,ο01436,ὀμφαλόκαρπος,a,aps---cn2-,ὀμφαλόκαρπος ὀμφαλόκαρπος ὀμφαλόκαρπον,,,,,0
70440,ο01437,ὀμφαλός,n,n-s---mn2-,ὀμφαλοῦ,,,/om.pʰa.lós/,,0
70441,ο01438,ὀμφαλοτομητέον,a,----------,,,,,,0
70442,ο01439,ὀμφαλοτομία,n,----------,,,,,,0
70444,ο01441,ὀμφαλωτός,a,aps---mn1-,ὀμφαλωτός ὀμφαλωτή ὀμφαλωτόν,,,,,0
70445,ο01442,ὄμφαξ,n,n-s---mn3e,ὄμφακος,,,,,0
70446,ο01444,ὀμφή,n,n-s---fn1e,ὀμφῆς,,,/om.pʰɛ̌ː/,,0
70447,ο01445,ὀμφήεις,a,aps---mn4i,ὀμφήεις ὀμφήεσσα ὀμφήεν,,,,,0
70398,ο01395,ὁμοχρώματος,a,----------,,,,,,0
70450,ο01447,ὄμωμι,n,----------,,,,,,0
70451,ο01448,ὁμωνυμέω,v,----------,,,,,,0
70453,ο01450,ὁμωνύμιος,a,aps---mn1-,ὁμωνύμιος ὁμωνύμια ὁμωνύμιον,,,,,0
70454,ο01451,ὁμώνυμος,a,aps---cn2-,ὁμώνυμος ὁμώνυμος ὁμώνυμον,,,,,0
70455,ο01452,ὅμωρος,n,----------,,,,,,0
70456,ο01453,ὁμωροφέω,v,----------,,,,,,0
70457,ο01454,ὁμωρόφιος,a,aps---cn2-,ὁμωρόφιος ὁμωρόφιος ὁμωρόφιον,,,,,0
70458,ο01455,ὁμώροφος,a,aps---cn2-,ὁμώροφος ὁμώροφος ὁμώροφον,,,,,0
70459,ο01411,ὁμῶς,r,----------,,,,,,0
70460,ο01456,ὅμως,a,----------,,,,,,0
70461,ο01457,ὁμωχέτας,n,----------,,,,,,0
70462,ο01458,ὀν,n,----------,,,,,,0
70463,ο01460,ὀναγός,n,----------,,,,,,0
70464,ο01461,ὀνάγρα,n,n-s---fn1l,ὀνάγρας,,,,,0
70465,ο01462,ὀνάγρεια,n,----------,,,,,,0
70469,ο01466,ὄναγρον,n,n-s---nn2-,ὀνάγρου,,,,,0
70470,ο01467,ὄναγρος,n,n-s---mn2-,ὀνάγρου,,,,,0
70471,ο01468,ὀνάλα,n,----------,,,,,,0
70472,ο01469,ὀνάλουμα,n,n-s---nn3t,ὀναλούματος,,,,,0
70473,ο01470,ὄναρ,n,n-s---nn3t,,,,,,0
70474,ο01471,ὀναρίδιον,n,n-s---nn2-,ὀναριδίου,,,,,0
70475,ο01472,ὀνάριον,n,n-s---nn2-,ὀναρίου,,,,,0
70476,ο01473,ὄνασθαι,n,----------,,,,,,0
70477,ο01474,ὄνασις,n,----------,,,,,,0
70478,ο01475,ὅνε,n,----------,,,,,,0
70479,ο01476,ὄνειαρ,n,----------,,,,,,0
70481,ο01478,ὀνείδειος,a,aps---cn2-,ὀνείδειος ὀνείδειος ὀνείδειον,,,,,0
70482,ο01479,ὀνειδείω,v,----------,,,,,,0
70483,ο01480,ὀνειδίζω,v,----------,,,,,,0
70484,ο01481,ὀνείδισις,n,n-s---fn3v,ὀνειδισέως,,,,,0
70485,ο01482,ὀνείδισμα,n,n-s---nn3t,ὀνειδίσματος,,,,,0
70486,ο01483,ὀνειδισμός,n,----------,,,,,,0
70487,ο01484,ὀνειδιστέον,a,----------,,,,,,0
70490,ο01487,ὀνειδιστικός,a,aps---mn1-,ὀνειδιστικός ὀνειδιστική ὀνειδιστικόν,,,,,0
70491,ο01488,ὄνειδος,n,n-s---nn3v,ὄνειδεος,,,/ó.neː.dos/,,0
70492,ο01533,ὀνεῖον,n,n-s---nn2-,ὀνείου,,,,,0
70493,ο01490,ὄνειος,a,----------,,,,,,0
70495,ο01491,ὀνειραιτησία,n,n-s---fn1l,ὀνειραιτησίας,,,,,0
70496,ο01492,ὀνειραιτητέω,v,----------,,,,,,0
70497,ο01493,ὀνειραιτητόν,n,----------,,,,,,0
70498,ο01494,ὄνειραρ,n,----------,,,,,,0
70499,ο01495,ὀνειρατικός,a,aps---mn1-,ὀνειρατικός ὀνειρατική ὀνειρατικόν,,,,,0
70500,ο01496,ὀνειράτιον,n,n-s---nn2-,ὀνειρατίου,,,,,0
70501,ο01498,ὀνειραυτοπτέω,v,----------,,,,,,0
70502,ο01497,ὀνείραυτ,a,aps---mn1-,ὀνείραυτ ὀνείραή ὀνείραόν,,,,,0
70662,ο01660,ὄνυξ,n,n-s---mn3v,ὄνυχος,,,/ó.nyks/,,0
70449,,Ὄμφις,n,----------,,,,,,0
70505,ο01501,ὀνειρογενής,a,aps---cn5s,ὀνειρογενής ὀνειρογενής ὀνειρογενές,,,,,0
70506,ο01502,ὀνειρόγονος,a,aps---cn2-,ὀνειρόγονος ὀνειρόγονος ὀνειρόγονον,,,,,0
70507,ο01503,ὀνειροδότης,n,n-s---cn1e,ὀνειροδότου,,,,,0
70508,ο01504,ὀνειροκρισία,n,n-s---fn1l,ὀνειροκρισίας,,,,,0
70509,ο01505,ὀνειροκρίτης,n,n-s---cn1e,ὀνειροκρίτου,,,,,0
70511,ο01507,ὀνειρολεκτέω,v,----------,,,,,,0
70512,ο01508,ὀνειρολεσχία,n,n-s---fn1l,ὀνειρολεσχίας,,,,,0
70513,ο01509,ὀνειρόμαντις,n,----------,,,,,,0
70514,ο01510,ὄνειρον,n,n-s---nn2-,,,,/ó.neː.ron/,,0
70516,ο01512,ὀνειροπλήξ,n,n-s---cn3e,ὀνειροπλῆγος,,,,,0
70517,ο01513,ὀνειροποιουμένη,n,----------,,,,,,0
70519,ο01515,ὀνειροπόλησις,n,n-s---fn3v,ὀνειροπολησέως,,,,,0
70520,ο01516,ὀνειροπολία,n,n-s---fn1l,ὀνειροπολίας,,,,,0
70522,ο01518,ὀνειρόπολος,n,n-s---mn2-,ὀνειροπόλου,,,,,0
70523,ο01519,ὀνειροπομπέω,v,----------,,,,,,0
70524,ο01520,ὀνειροπομπία,n,n-s---fn1l,ὀνειροπομπίας,,,,,0
70525,ο01521,ὀνειροπομπός,a,aps---cn2-,ὀνειροπομπός ὀνειροπομπός ὀνειροπομπόν,,,,,0
70526,ο01522,ὄνειρος,n,n-s---mn2-,ὀνείρου,,,/ó.neː.ros/,,0
70527,ο01523,ὀνειροτόκος,a,aps---cn2-,ὀνειροτόκος ὀνειροτόκος ὀνειροτόκον,,,,,0
70528,ο01524,ὀνειρόφαντος,a,aps---cn2-,ὀνειρόφαντος ὀνειρόφαντος ὀνειρόφαντον,,,,,0
70529,ο01525,ὀνειρόφοβος,a,aps---cn2-,ὀνειρόφοβος ὀνειρόφοβος ὀνειρόφοβον,,,,,0
70530,ο01526,ὀνειρόφρων,n,----------,,,,,,0
70531,ο01527,ὀνειρωγμός,n,----------,,,,,,0
70532,ο01528,ὀνειρώδης,a,aps---cn3s,ὀνειρώδης ὀνειρώδης ὀνειρώ͂δες,,,,,0
70533,ο01529,ὀνείρωξις,n,n-s---fn3v,ὀνειρωξέως,,,,,0
70534,ο01530,ὀνειρώσσω,v,----------,,,,,,0
70535,ο01531,ὀνελάτης,n,n-s---mn1e,ὀνελάτου,,,,,0
70537,ο01534,ὄνευος,n,n-s---mn2-,ὀνεύου,,,,,0
70538,ο01535,ὀνεύω,v,----------,,,,,,0
70539,ο01536,ὀνέω,v,----------,,,,,,0
70540,ο01537,ὀνή,n,n-s---fn1e,ὀνῆς,,,,,0
70541,ο01538,ὀνηγός,n,----------,,,,,,0
70542,ο01539,ὀνήϊος,n,----------,,,,,,0
70543,ο01540,ὀνηλασία,n,n-s---fn1l,ὀνηλασίας,,,,,0
70544,ο01541,ὀνηλάσιον,n,n-s---nn2-,ὀνηλασίου,,,,,0
70545,ο01542,ὀνηλατέω,v,----------,,,,,,0
70548,ο01545,ὀνήλατος,a,aps---cn2-,ὀνήλατος ὀνήλατος ὀνήλατον,,,,,0
70549,ο01546,ὀνημάξιον,n,n-s---nn2-,ὀνημαξίου,,,,,0
70550,ο01547,ὀνήμενος,n,----------,,,,,,0
70551,ο01548,ὀνήμων,a,aps---cn3n,ὀνήμων ὀνήμων ὀνήμον,,,,,0
70552,ο01549,ὀνησιδώρα,n,----------,,,,,,0
70504,ο01500,ὀνειρήεις,a,aps---mn4i,ὀνειρήεις ὀνειρήεσσα ὀνειρήεν,,,,,0
70555,ο01552,ὄνησις,n,----------,,,,,,0
70556,ο01553,ὀνησιφόρος,a,aps---cn2-,ὀνησιφόρος ὀνησιφόρος ὀνησιφόρον,,,,,0
70557,ο01554,ὀνητός,a,aps---mn1-,ὀνητός ὀνητή ὀνητόν,,,,,0
70558,ο01555,ὀνήτωρ,n,n-s---mn3r,ὀνήτορος,,,,,0
70559,ο01556,ὀνθολόγος,n,n-s---mn2-,ὀνθολόγου,,,,,0
70560,ο01557,ὄνθος,n,n-s---mn2-,ὄνθου,,,,,0
70561,ο01558,ὀνθοφόρος,n,n-s---mn2-,ὀνθοφόρου,,,,,0
70562,ο01559,ὀνθύλευσις,n,n-s---fn3v,ὀνθυλευσέως,,,,,0
70563,ο01560,ὀνθυλεύω,v,----------,,,,,,0
70564,ο01561,ὁνί,n,----------,,,,,,0
70565,ο01562,ὀνία,n,----------,,,,,,0
70566,ο01563,ὀνίας,n,n-s---mn1a,ὀνίου,,,,,0
70567,ο01564,ὀνίδιον,n,n-s---nn2-,ὀνιδίου,,,,,0
70568,ο01565,ὀνικός,a,aps---mn1-,ὀνικός ὀνική ὀνικόν,,,,,0
70569,ο01566,ὀνίνημι,v,----------,,,,,,0
70570,ο01567,ὄνιννος,n,n-s---mn2-,ὀνίννου,,,,,0
70571,ο01568,ὄνιον,n,n-s---nn2-,ὀνίου,,,,,0
70572,ο01569,ὄνιος,n,----------,,,,,,0
70573,ο01570,ὀνίς,n,n-s---fn3d,ὀνίδος,,,,,0
70575,ο01572,ὀνίσκω,v,----------,,,,,,0
70576,ο01653,ὀνῖτις,n,n-s---fn3d,ὀνίτιδος,,,,,0
70577,ο01573,ὄννα,n,----------,,,,,,0
70578,ο01574,ὄννις,n,----------,,,,,,0
70580,ο01576,ὀνοβάτις,n,n-s---fn3d,ὀνοβάτιδος,,,,,0
70581,ο01577,ὀνόβλιτον,n,n-s---nn2-,ὀνοβλίτου,,,,,0
70582,ο01578,ὀνοβρυχίς,n,n-s---fn3d,ὀνοβρυχίδος,,,,,0
70583,ο01579,ὀνόγαστρις,n,n-s---fn3v,ὀνογάστριος,,,,,0
70584,ο01580,ὄνογλιν,n,----------,,,,,,0
70585,ο01581,ὀνόγυρος,n,n-s---mn2-,ὀνογύρου,,,,,0
70588,ο01584,ὀνοθήρας,n,----------,,,,,,0
70589,ο01585,ὄνοιρος,n,----------,,,,,,0
70590,ο01586,ὀνοκάρδιον,n,n-s---nn2-,ὀνοκαρδίου,,,,,0
70591,ο01587,ὀνοκένταυρα,n,n-s---fn1l,ὀνοκενταύρας,,,,,0
70593,ο01589,ὀνοκίνδιος,n,n-s---cn2-,ὀνοκινδίου,,,,,0
70594,ο01590,ὀνοκόμος,n,n-s---mn2-,ὀνοκόμου,,,,,0
70595,ο01591,ὀνοκόπος,a,aps---cn2-,ὀνοκόπος ὀνοκόπος ὀνοκόπον,,,,,0
70596,ο01592,ὀνοκρόταλος,n,n-s---mn2-,ὀνοκροτάλου,,,,,0
70597,ο01593,ὀνοκτηνοτρόφος,n,n-s---mn2-,ὀνοκτηνοτρόφου,,,,,0
70598,ο01594,ὀνόκωλος,a,aps---cn2-,ὀνόκωλος ὀνόκωλος ὀνόκωλον,,,,,0
70599,ο01595,ὄνομα,n,n-s---nn3d,ὀνόματος,,,/ó.no.ma/,,0
70600,ο01596,ὀνομάζω,v,----------,,,,/o.no.máz.dɔː/,,0
70601,ο01597,ὄνομαι,v,----------,,,,,,0
70602,ο01598,ὀνομαίνω,v,----------,,,,,,0
70603,ο01599,ὀνομακλήδην,r,----------,,,,,,0
70606,ο01602,ὀνομασία,n,n-s---fn1l,ὀνομασίας,,,,,0
70607,ο01603,ὀνομαστέον,v,----------,,,,,,0
70554,ο01551,ὀνησίπολις,n,----------,,,,,,0
70612,ο01609,ὀνοματίζω,v,----------,,,,,,0
70613,ο01610,ὀνοματικός,a,aps---mn1-,ὀνοματικός ὀνοματική ὀνοματικόν,,,,,0
70614,ο01611,ὀνομάτιον,n,n-s---nn2-,ὀνοματίου,,,,,0
70615,ο01612,ὀνοματισμός,n,----------,,,,,,0
70616,ο01613,ὀνοματογραφία,n,n-s---fn1l,ὀνοματογραφίας,,,,,0
70617,ο01615,ὀνοματοθεσία,n,n-s---fn1l,ὀνοματοθεσίας,,,,,0
70618,ο01614,ὀνοματοθέσια,n,n-p---nn2-,ὀνοματοθεσίων,,,,,0
70619,ο01616,ὀνοματοθετέω,v,----------,,,,,,0
70620,ο01617,ὀνοματοθέτης,n,n-s---mn1e,ὀνοματοθέτου,,,,,0
70622,ο01619,ὀνοματοθήρας,n,n-s---mn1a,ὀνοματοθήρου,,,,,0
70623,ο01620,ὀνοματοκλήτωρ,n,n-s---mn3r,ὀνοματοκλήτορος,,,,,0
70625,ο01622,ὀνοματομάχος,a,aps---cn2-,ὀνοματομάχος ὀνοματομάχος ὀνοματομάχον,,,,,0
70626,ο01623,ὀνοματοποιέω,v,----------,,,,,,0
70627,ο01624,ὀνοματοποίησις,n,n-s---fn3v,ὀνοματοποιησέως,,,,,0
70629,ο01626,ὀνοματοποιός,n,----------,,,,,,0
70630,ο01627,ὀνοματουργέω,v,----------,,,,,,0
70631,ο01628,ὀνοματουργία,n,n-s---fn1l,ὀνοματουργίας,,,,,0
70632,ο01629,ὀνοματουργός,n,----------,,,,,,0
70633,ο01630,ὀνοματώδης,a,aps---cn3s,ὀνοματώδης ὀνοματώδης ὀνοματώ͂δες,,,,,0
70634,ο01631,ὀνόπορδον,n,n-s---nn2-,ὀνοπόρδου,,,,,0
70636,ο01633,ὀνόπυξος,n,n-s---mn2-,ὀνοπύξου,,,,,0
70637,ο01634,ὀνόρυγχος,n,----------,,,,,,0
70638,ο01635,ὄνος,n,n-s---cn2-,ὄνου,,,/ó.nos/,,0
70639,ο01636,ὄνοσις,n,n-s---fn3v,ὀνοσέως,,,,,0
70640,ο01637,ὀνοσκελίς,n,n-s---fn3d,ὀνοσκελίδος,,,,,0
70641,ο01638,ὄνοσμα,n,n-s---nn3t,ὀνόσματος,,,,,0
70642,ο01639,ὀνοσσάμενος,n,----------,,,,,,0
70643,ο01640,ὀνοστάσιον,n,n-s---nn2-,ὀνοστασίου,,,,,0
70644,ο01641,ὀνοστός,a,aps---mn1-,ὀνοστός ὀνοστή ὀνοστόν,,,,,0
70645,ο01642,ὀνοστύππαξ,n,n-s---mn3v,ὀνοστύππακος,,,,,0
70646,ο01643,ὀνοσφαγία,n,n-s---fn1l,ὀνοσφαγίας,,,,,0
70647,ο01644,ὀνοτάζω,v,----------,,,,,,0
70648,ο01645,ὀνοτός,a,aps---mn1-,ὀνοτός ὀνοτή ὀνοτόν,,,,,0
70650,ο01647,ὄνουρις,n,----------,,,,,,0
70651,ο01648,ὀνοφορβός,n,----------,,,,,,0
70652,ο01649,ὀνόφυλλον,n,n-s---nn2-,ὀνοφύλλου,,,,,0
70653,ο01650,ὀνοχειλές,n,----------,,,,,,0
70654,ο01651,ὀνόχηλον,n,n-s---nn2-,ὀνοχήλου,,,,,0
70655,ο01652,ὄντα,n,n-p---nn2-,ὄντων,,,,,0
70656,ο01654,ὀντοποιέω,v,----------,,,,,,0
70657,ο01655,ὀντότης,n,n-s---fn3t,ὀντότητος,,,,,0
70658,ο01656,ὄντως,r,----------,,,,,,0
70659,ο01657,ὅνυ,n,----------,,,,,,0
70611,ο01608,ὀνομαστός,a,aps---mn1-,ὀνομαστός ὀνομαστή ὀνομαστόν,,,/o.no.mas.tós/,,0
70665,ο01663,ὀνυχίζω,v,----------,,,,,,0
70667,ο01665,ὀνύχινος,a,aps---mn1-,ὀνύχινος ὀνυχίνη ὀνύχινον,,,,,0
70668,ο01666,ὀνύχιον,n,n-s---nn2-,ὀνυχίου,,,,,0
70669,ο01667,ὀνυχισμός,n,----------,,,,,,0
70670,ο01668,ὀνυχιστήρ,n,n-s---mn3r,ὀνυχιστῆρος,,,,,0
70671,ο01669,ὀνυχιστήριον,n,n-s---nn2-,ὀνυχιστηρίου,,,,,0
70672,ο01670,ὀνυχίτης,n,n-s---mn1e,ὀνυχίτου,,,,,0
70673,ο01671,ὀνυχογραφέομαι,v,----------,,,,,,0
70675,ο01673,ὀνυχόπαχος,a,aps---cn2-,ὀνυχόπαχος ὀνυχόπαχος ὀνυχόπαχον,,,,,0
70676,ο01674,ὀνυχοτόμον,n,n-s---nn2-,ὀνυχοτόμου,,,,,0
70678,ο01676,ὀνυχόω,v,----------,,,,,,0
70679,ο01677,ὀνώδης,a,aps---cn3s,ὀνώδης ὀνώδης ὀνώ͂δες,,,,,0
70680,ο01678,ὄνωνις,n,n-s---fn3d,ὀνώνιδος,,,,,0
70681,ο01679,ὀξάλειος,a,aps---cn2-,ὀξάλειος ὀξάλειος ὀξάλειον,,,,,0
70682,ο01680,ὀξαλίς,n,n-s---fn3d,ὀξαλίδος,,,,,0
70683,ο01681,ὀξάλμη,n,n-s---fn1e,ὀξάλμης,,,,,0
70684,ο01683,ὀξέα,n,----------,,,,,,0
70685,ο01684,ὀξέλαιον,n,n-s---nn2-,ὀξελαίου,,,,,0
70686,ο01685,ὀξερίας,n,----------,,,,,,0
70687,ο01686,ὀξηλίς,n,n-s---fn3d,ὀξηλίδος,,,,,0
70688,ο01687,ὀξηρός,a,aps---mn1-,ὀξηρός ὀξηρά ὀξηρόν,,,,,0
70689,ο01688,ὀξίδιον,n,n-s---nn2-,ὀξιδίου,,,,,0
70690,ο01689,ὀξίζω,v,----------,,,,,,0
70691,ο01690,ὀξίνα,n,----------,,,,,,0
70692,ο01691,ὀξίνης,n,n-s---mn1e,ὀξίνου,,,,,0
70693,ο01692,ὀξίς,n,n-s---fn3d,ὀξίδος,,,,,0
70695,ο01693,ὀξόβαφον,n,----------,,,,,,0
70696,ο01694,ὀξοπώλης,n,n-s---mn1e,ὀξοπώλου,,,,,0
70697,ο01695,ὄξος,n,n-s---nn3v,ὄξεος,,,,,0
70698,ο01697,ὀξύα,n,n-s---fn1l,ὀξύας,,,,,0
70699,ο01698,ὀξυάκανθα,n,n-s---fn1s,ὀξυάκανθας,,,,,0
70701,ο01700,ὀξυαύγεια,n,n-s---fn1s,ὀξυαύγειας,,,,,0
70702,ο01701,ὀξύβαρις,n,----------,,,,,,0
70704,ο01703,ὀξύβαφον,n,n-s---nn2-,ὀξυβάφου,,,,,0
70705,ο01704,ὀξυβελής,a,----------,,,,,,0
70706,ο01705,ὀξύβλαττα,n,n-s---fn1s,ὀξύβλαττας,,,,,0
70707,ο01706,ὀξυβλεπτέω,v,----------,,,,,,0
70708,ο01707,ὀξυβλέπτης,n,n-s---mn1e,ὀξυβλέπτου,,,,,0
70709,ο01708,ὀξυβλεψία,n,n-s---fn1l,ὀξυβλεψίας,,,,,0
70710,ο01709,ὀξυβόας,n,n-s---mn1a,ὀξυβόου,,,,,0
70712,ο01711,ὀξυβουλία,n,n-s---fn1l,ὀξυβουλίας,,,,,0
70713,ο01712,ὀξυβρέχω,v,----------,,,,,,0
70714,ο01713,ὀξύγαλα,n,n-s---nn3d,ὀξυγάακτος,,,,,0
70715,ο01714,ὀξυγαλάκτινος,a,aps---mn1-,ὀξυγαλάκτινος ὀξυγαλακτίνη ὀξυγαλάκτινον,,,,,0
70716,ο01715,ὀξύγαρον,n,n-s---nn2-,ὀξυγάρου,,,,,0
70664,ο01662,ὀνυχιαῖος,a,aps---mn1-,ὀνυχιαῖος ὀνυχιαῖα ὀνυχιαῖον,,,,,0
70720,ο01719,ὀξύγη,n,n-s---fn1e,ὀξύγης,,,,,0
70721,ο01720,ὀξύγλυκυ,n,----------,,,,,,0
70722,ο01721,ὀξύγλυκυς,n,----------,,,,,,0
70723,ο01722,ὀξύγονον,n,n-s---nn2-,ὀξυγόνου,,,/ok.sý.ɡo.non/,,0
70724,ο01723,ὀξύγοος,a,aps---cn2-,ὀξύγοος ὀξύγοος ὀξύγοον,,,,,0
70725,ο01724,ὀξυγράφος,a,aps---cn2-,ὀξυγράφος ὀξυγράφος ὀξυγράφον,,,,,0
70727,ο01726,ὀξυγωνιότης,n,n-s---fn3t,ὀξυγωνιότητος,,,,,0
70728,ο01727,ὀξυδερκέω,v,----------,,,,,,0
70729,ο01728,ὀξυδερκής,a,aps---cn5s,ὀξυδερκής ὀξυδερκής ὀξυδερκές,,,,,0
70730,ο01729,ὀξυδερκία,n,n-s---fn1l,ὀξυδερκίας,,,,,0
70731,ο01730,ὀξυδερκικός,a,aps---mn1-,ὀξυδερκικός ὀξυδερκική ὀξυδερκικόν,,,,,0
70732,ο01731,ὀξυδερκώ,n,n-s---fn3c,ὀξυδερκοῦς,,,,,0
70733,ο01732,ὀξυδορκέω,v,----------,,,,,,0
70734,ο01733,ὀξυδορκία,n,n-s---fn1l,ὀξυδορκίας,,,,,0
70736,ο01735,ὀξύδουπος,a,aps---cn2-,ὀξύδουπος ὀξύδουπος ὀξύδουπον,,,,,0
70738,ο01737,ὀξυέθειρ,a,----------,,,,,,0
70739,ο01738,ὀξυέλαιον,n,n-s---nn2-,ὀξυελαίου,,,,,0
70740,ο01739,ὀξυζύμια,n,n-p---nn2-,ὀξυζυμίων,,,,,0
70741,ο01740,ὀξύζω,v,----------,,,,,,0
70742,ο01741,ὀξύζωμος,a,aps---cn2-,ὀξύζωμος ὀξύζωμος ὀξύζωμον,,,,,0
70743,ο01742,ὀξύη,n,----------,,,,,,0
70744,ο01743,ὀξυηκοί̈α,n,n-s---fn1l,ὀξυηκοί̈ας,,,,,0
70745,ο01744,ὀξυήκοος,a,aps---cn2-,ὀξυήκοος ὀξυήκοος ὀξυήκοον,,,,,0
70746,ο01745,ὀξυηχής,a,aps---cn5s,ὀξυηχής ὀξυηχής ὀξυηχές,,,,,0
70747,ο01746,ὀξύηχος,a,aps---cn2-,ὀξύηχος ὀξύηχος ὀξύηχον,,,,,0
70748,ο01747,ὀξυθανασία,n,n-s---fn1l,ὀξυθανασίας,,,,,0
