,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
15971,α16462,ἀσφαλτίας,n,n-s---mn1a,ἀσφαλτίου,,,,,0
15972,α16463,ἀσφαλτίζω,v,----------,,,,,,0
15973,α16464,ἀσφάλτιον,n,n-s---nn2-,ἀσφαλτίου,,,,,0
15974,α16465,ἀσφαλτίτης,a,----------,,,,,,0
15975,α16466,ἀσφαλτόπισσα,n,n-s---fn1s,ἀσφαλτόπισσας,,,,,0
15976,α16467,ἄσφαλτος,n,n-s---fn2-,ἀσφάλτου,,,,,0
15930,α16421,ἀσύννευστος,a,aps---cn2-,ἀσύννευστος ἀσύννευστος ἀσύννευστον,,,,,0
15979,α16470,ἀσφαλτωδεύομαι,v,----------,,,,,,0
15980,α16471,ἀσφαλτώδης,a,aps---cn3s,ἀσφαλτώδης ἀσφαλτώδης ἀσφαλτώ͂δες,,,,,0
15981,α16472,ἀσφάλτωσις,n,n-s---fn3v,ἀσφαλτωσέως,,,,,0
15982,α16473,ἀσφαλών,n,n-s---mn3n,ἀσφαλῶνος,,,,,0
15983,α16474,ἀσφαραγέω,v,----------,,,,,,0
15985,α16476,ἀσφάραγος,n,----------,,,,,,0
15986,α16477,ἀσφάραγος,n,n-s---mn2-,ἀσφαράγου,,,,,0
15987,α16478,ἀσφαραγωνία,n,n-s---fn1l,ἀσφαραγωνίας,,,,,0
15988,α16479,ἄσφε,n,----------,,,,,,0
15990,α16481,ἄσφιγκτος,a,aps---cn2-,ἄσφιγκτος ἄσφιγκτος ἄσφιγκτον,,,,,0
15992,α16483,ἀσφόδελος,n,n-s---mn2-,ἀσφοδέλου,,,/as.pʰó.de.los/,,0
15993,α16484,ἀσφοδελώδης,a,aps---cn3s,ἀσφοδελώδης ἀσφοδελώδης ἀσφοδελώ͂δες,,,,,0
15994,α16485,ἀσφράγιστος,a,----------,,,,,,0
15995,α16486,ἀσφυγμία,n,n-s---fn1l,ἀσφυγμίας,,,,,0
15996,α16487,ἀσφυκτέω,v,----------,,,,,,0
15997,α16488,ἄσφυκτος,a,aps---cn2-,ἄσφυκτος ἄσφυκτος ἄσφυκτον,,,,,0
15998,α16489,ἀσφυξία,n,n-s---fn1l,ἀσφυξίας,,,/as.pʰyk.sí.aː/,,0
15999,α16490,ἀσχαδής,a,aps---cn5s,ἀσχαδής ἀσχαδής ἀσχαδές,,,,,0
16000,α16491,ἀσχαλάω,v,----------,,,,,,0
16001,α16492,ἀσχαλιάζω,v,----------,,,,,,0
16002,α16493,ἄσχαστος,a,aps---cn2-,ἄσχαστος ἄσχαστος ἄσχαστον,,,,,0
16003,α16494,ἀσχέδωρος,n,n-s---mn2-,ἀσχεδώρου,,,,,0
16004,α16495,ἄσχετος,a,aps---cn2-,ἄσχετος ἄσχετος ἄσχετον,,,,,0
16005,α16496,ἀσχημάτιστος,n,----------,,,,,,0
16006,α16497,ἀσχημονέω,v,----------,,,,,,0
16008,α16499,ἄσχημος,a,aps---cn2-,ἄσχημος ἄσχημος ἄσχημον,,,,,0
16009,α16500,ἀσχημοσύνη,n,n-s---fn1e,ἀσχημοσύνης,,,,,0
16010,α16501,ἀσχήμων,a,aps---cn3n,ἀσχήμων ἀσχήμων ἀσχήμον,,,,,0
16011,α16502,ἀσχιδής,a,aps---cn5s,ἀσχιδής ἀσχιδής ἀσχιδές,,,,,0
16012,α16503,ἀσχίον,n,n-s---nn2-,ἀσχίου,,,,,0
16013,α16504,ἀσχιστόπους,a,----------,,,,,,0
16015,α16506,ἀσχολέω,v,----------,,,,,,0
16017,α16508,ἀσχολία,n,n-s---fn1l,ἀσχολίας,,,,,0
16018,α16509,ἄσχολος,a,aps---cn2-,ἄσχολος ἄσχολος ἄσχολον,,,,,0
16019,α16510,ἄσχυ,n,n-s---nn3s,,,,,,0
16020,α16511,ἄσω,v,----------,,,,,,0
16021,α16512,ἀσώδης,a,----------,,,,,,0
16022,α16513,ἀσωματία,n,n-s---fn1l,ἀσωματίας,,,,,0
16023,α16514,ἀσώματος,a,aps---cn2-,ἀσώματος ἀσώματος ἀσώματον,,,,,0
16024,α16515,ἀσωματότης,n,n-s---fn3t,ἀσωματότητος,,,,,0
16025,α16516,ἀσωματόω,v,----------,,,,,,0
16026,α16517,ἄσωμος,a,aps---cn2-,ἄσωμος ἄσωμος ἄσωμον,,,,,0
16027,α16518,ἄσωστος,a,aps---cn2-,ἄσωστος ἄσωστος ἄσωστον,,,,,0
16028,α16519,ἀσωτεῖον,n,n-s---nn2-,ἀσωτείου,,,,,0
15978,α16469,ἀσφαλτόω,v,----------,,,,,,0
16034,α16525,ἀταβυρίτης,v,----------,,,,,,0
16035,α16526,ἀταγία,n,n-s---fn1l,ἀταγίας,,,,,0
16036,α16542,ἀταῖος,n,----------,,,,,,0
16037,α16527,ἀτακτέω,v,----------,,,,,,0
16038,α16528,ἀτάκτημα,n,n-s---nn3t,ἀτακτήματος,,,,,0
16039,α16529,ἄτακτος,a,aps---cn2-,ἄτακτος ἄτακτος ἄτακτον,,,,,0
16041,α16531,ἀτάλαντος,a,----------,,,,,,0
16042,α16532,ἀταλάφρων,n,----------,,,,,,0
16043,α16533,ἀτάλλω,v,----------,,,,,,0
16044,α16534,ἄταλμα,v,----------,,,,,,0
16045,α16535,ἀταλός,a,----------,,,,,,0
16046,α16536,ἀταλόφρων,n,----------,,,,,,0
16047,α16537,ἀταλόψυχος,a,aps---cn2-,ἀταλόψυχος ἀταλόψυχος ἀταλόψυχον,,,,,0
16048,α16538,ἀτάλυμνος,n,n-s---mn2-,ἀταλύμνου,,,,,0
16049,α16539,ἀταμίευτος,a,aps---cn2-,ἀταμίευτος ἀταμίευτος ἀταμίευτον,,,,,0
16050,α16540,ἀταξία,n,n-s---fn1l,ἀταξίας,,,,,0
16051,α16541,ἀτάομαι,v,----------,,,,,,0
16053,α16544,ἀτάρ,c,----------,,,,,,0
16054,α16545,ἀταρακτέω,v,----------,,,,,,0
16055,α16546,ἀταρακτοποιησία,n,n-s---fn1l,ἀταρακτοποιησίας,,,,,0
16056,α16547,ἀτάρακτος,a,aps---cn2-,ἀτάρακτος ἀτάρακτος ἀτάρακτον,,,,,0
16057,α16548,ἀταραξία,n,n-s---fn1l,ἀταραξίας,,,/a.ta.rak.sí.aː/,,0
16058,α16549,ἀτάραχος,a,aps---cn2-,ἀτάραχος ἀτάραχος ἀτάραχον,,,,,0
16059,α16550,ἀταραχώδης,a,aps---cn3s,ἀταραχώδης ἀταραχώδης ἀταραχώ͂δες,,,,,0
16060,α16551,ἀτάρβακτος,a,aps---cn2-,ἀτάρβακτος ἀτάρβακτος ἀτάρβακτον,,,,,0
16061,α16552,ἀταρβής,a,aps---cn5s,ἀταρβής ἀταρβής ἀταρβές,,,,,0
16062,α16553,ἀτάρβητος,a,aps---cn2-,ἀτάρβητος ἀτάρβητος ἀτάρβητον,,,,,0
16063,α16554,ἀταρβομάχας,v,----------,,,,,,0
16064,,Ἀταργατῖς,n,----------,,,,,,0
16065,α16555,ἀταρίχευτος,a,----------,,,,,,0
16067,α16557,ἀταρπιτός,n,----------,,,,,,0
16068,α16558,ἀταρτάομαι,v,----------,,,,,,0
16070,α16560,ἄταρχον,n,----------,,,,,,0
16071,α16561,ἀτάρχυτος,a,----------,,,,,,0
16072,α16562,ἀτασθαλία,n,n-s---fn1l,ἀτασθαλίας,,,/a.tas.tʰa.lí.aː/,,0
16073,α16563,ἀτασθάλλω,v,v1spia--1-,,,,/a.tas.tʰál.lɔː/,,0
16074,α16564,ἀτάσθαλος,a,aps---mn1-,,,,/a.tás.tʰa.los/,,0
16076,α16566,ἀταφία,n,n-s---fn1l,ἀταφίας,,,,,0
16077,α16567,ἄταφος,a,aps---cn2-,ἄταφος ἄταφος ἄταφον,,,,,0
16078,α16568,ἀτάω,v,----------,,,,,,0
16079,α16569,ἅτε,r,----------,,,,,,0
16080,α16570,ἇτε,n,----------,,,,,,0
16082,α16572,ἀτειρής,a,aps---cn5s,ἀτειρής ἀτειρής ἀτειρές,,,,,0
16083,α16573,ἀτείχιστος,a,aps---cn2-,ἀτείχιστος ἀτείχιστος ἀτείχιστον,,,/a.těː.kʰis.tos/,,0
16033,α16524,ἀσωφρόνως,r,----------,,,,,,0
16086,α16576,ἀτεκνέω,v,----------,,,,,,0
16087,α16577,ἀτεκνία,n,n-s---fn1l,ἀτεκνίας,,,,,0
16088,α16578,ἄτεκνος,a,aps---cn2-,ἄτεκνος ἄτεκνος ἄτεκνον,,,,,0
16089,α16579,ἀτεκνόω,v,----------,,,,,,0
16090,α16580,ἀτέκνωσις,n,n-s---fn3v,ἀτεκνωσέως,,,,,0
16091,α16581,ἀτέλεια,n,n-s---fn1s,ἀτέλειας,,,,,0
16092,α16582,ἀτέλειος,a,aps---mn1-,ἀτέλειος ἀτέλεια ἀτέλειον,,,,,0
16093,α16583,ἀτελειότης,n,n-s---fn3t,ἀτελειότητος,,,,,0
16095,α16585,ἀτελεσιούργητος,a,aps---cn2-,ἀτελεσιούργητος ἀτελεσιούργητος ἀτελεσιούργητον,,,,,0
16096,α16586,ἀτέλεστος,a,aps---cn2-,ἀτέλεστος ἀτέλεστος ἀτέλεστον,,,,,0
16097,α16587,ἀτελεσφόρητος,a,aps---cn2-,ἀτελεσφόρητος ἀτελεσφόρητος ἀτελεσφόρητον,,,,,0
16098,α16588,ἀτελεύτητος,a,aps---cn2-,ἀτελεύτητος ἀτελεύτητος ἀτελεύτητον,,,,,0
16099,α16589,ἀτέλευτος,a,aps---cn2-,ἀτέλευτος ἀτέλευτος ἀτέλευτον,,,,,0
16100,α16590,ἀτελής,a,aps---cn5s,ἀτελής ἀτελής ἀτελές,,,/a.te.lɛ̌ːs/,,0
16101,α16591,ἀτελώνητος,a,aps---cn2-,ἀτελώνητος ἀτελώνητος ἀτελώνητον,,,,,0
16102,α16592,ἀτέμβω,v,----------,,,,,,0
16103,α16593,ἀτενής,a,aps---cn5s,ἀτενής ἀτενής ἀτενές,,,,,0
16104,α16594,ἀτενίζω,v,----------,,,,,,0
16105,α16595,ἀτένισις,n,n-s---fn3v,ἀτενισέως,,,,,0
16106,α16596,ἀτενισμός,n,----------,,,,,,0
16108,α16599,ἄτερ,a,----------,,,,,,0
16109,α16600,ἀτεραμνία,n,n-s---fn1l,ἀτεραμνίας,,,,,0
16111,α16602,ἀτεραμνότης,n,n-s---fn3t,ἀτεραμνότητος,,,,,0
16112,α16603,ἀτεραμνώδης,a,aps---cn3s,ἀτεραμνώδης ἀτεραμνώδης ἀτεραμνώ͂δες,,,,,0
16113,α16604,ἀτεράμων,a,aps---cn3n,ἀτεράμων ἀτεράμων ἀτεράμον,,,,,0
16114,α16605,ἀτεράτευτος,a,----------,,,,,,0
16116,α16607,ἄτερθε,a,----------,,,,,,0
16117,α16608,ἀτερμάτιστος,a,----------,,,,,,0
16118,α16609,ἀτέρμων,a,aps---cn3n,ἀτέρμων ἀτέρμων ἀτέρμον,,,,,0
16119,α16610,ἁτερόπλευρος,a,aps---cn2-,ἁτερόπλευρος ἁτερόπλευρος ἁτερόπλευρον,,,,,0
16120,α16611,ἁτερόπτιλλος,a,aps---cn2-,ἁτερόπτιλλος ἁτερόπτιλλος ἁτερόπτιλλον,,,,,0
16121,α16612,ἅτερος,n,----------,,,,,,0
16122,α16613,ἀτέρπεια,n,n-s---fn1s,ἀτέρπειας,,,,,0
16123,α16614,ἀτερπής,a,aps---cn5s,ἀτερπής ἀτερπής ἀτερπές,,,,,0
16124,α16615,ἄτερπνος,a,aps---cn2-,ἄτερπνος ἄτερπνος ἄτερπνον,,,,,0
16125,α16616,ἄτερπος,a,aps---cn2-,ἄτερπος ἄτερπος ἄτερπον,,,,,0
16126,α16617,ἀτερψία,n,n-s---fn1l,ἀτερψίας,,,,,0
16127,α16618,ἀτευκτέω,v,----------,,,,,,0
16128,α16619,ἄτευκτος,a,aps---cn2-,ἄτευκτος ἄτευκτος ἄτευκτον,,,,,0
16129,α16620,ἀτευξία,n,n-s---fn1l,ἀτευξίας,,,,,0
16130,α16621,ἀτευχής,a,aps---cn5s,ἀτευχής ἀτευχής ἀτευχές,,,,,0
16085,α16575,ἀτέκμων,n,----------,,,,,,0
16135,α16626,ἀτεχνής,a,aps---cn5s,ἀτεχνής ἀτεχνής ἀτεχνές,,,,,0
16136,α16627,ἀτεχνία,n,n-s---fn1l,ἀτεχνίας,,,,,0
16137,α16628,ἀτεχνίτευτος,a,----------,,,,,,0
16138,α16629,ἄτεχνος,a,aps---cn2-,ἄτεχνος ἄτεχνος ἄτεχνον,,,,,0
16139,α16630,ἀτέχνως,r,----------,,,,,,0
16140,α16631,ἀτέω,v,----------,,,,,,0
16141,α16632,ἄτη,n,n-s---fn1e,ἄτης,,,/á.tɛː/,,0
16142,α16633,ἄτηκτος,a,aps---cn2-,ἄτηκτος ἄτηκτος ἄτηκτον,,,,,0
16143,α16634,ἀτημέλεια,n,n-s---fn1s,ἀτημέλειας,,,,,0
16144,α16635,ἀτημελέω,v,----------,,,,,,0
16146,α16637,ἀτημέλητος,a,aps---cn2-,ἀτημέλητος ἀτημέλητος ἀτημέλητον,,,,,0
16147,α16638,ἀτημελία,n,n-s---fn1l,ἀτημελίας,,,,,0
16148,α16639,ἀτηρής,n,----------,,,,,,0
16149,α16640,ἀτήρητος,a,aps---cn2-,ἀτήρητος ἀτήρητος ἀτήρητον,,,,,0
16150,α16641,ἀτηρία,a,----------,,,,,,0
16151,α16642,ἀτηρός,a,----------,,,,,,0
16152,,Ἀτθίς,n,n-s---fn3d,Ἀτθίδος,,,/atʰ.tʰís/,,0
16153,α16643,ἀτίετος,n,----------,,,,,,0
16154,α16644,ἀτίζω,v,----------,,,,,,0
16155,α16645,ἀτιθάσευτος,a,----------,,,,,,0
16156,α16646,ἀτίθασος,a,aps---cn2-,ἀτίθασος ἀτίθασος ἀτίθασον,,,,,0
16157,α16647,ἀτίθηνος,v,----------,,,,,,0
16158,α16648,ἀτιμαγελέω,v,----------,,,,,,0
16160,α16650,ἀτιμάζω,v,v1spia--1-,,,,/a.tiː.máz.dɔː/,,0
16161,α16651,ἀτιμαλφέω,v,----------,,,,,,0
16162,α16652,ἀτιμασμός,n,----------,,,,,,0
16164,α16654,ἀτιμαστήρ,n,n-s---mn3r,ἀτιμαστῆρος,,,,,0
16165,α16655,ἀτιμαστής,n,n-s---mn1e,ἀτιμαστού,,,,,0
16167,α16657,ἀτιμάω,v,----------,,,,,,0
16168,α16658,ἀτιμητεί,r,----------,,,,,,0
16169,α16659,ἀτιμητέον,v,----------,,,,,,0
16170,α16660,ἀτίμητος,a,aps---cn2-,ἀτίμητος ἀτίμητος ἀτίμητον,,,,,0
16171,α16661,ἀτιμία,n,n-s---fn1l,ἀτιμίας,,,/a.tiː.mí.aː/,,0
16172,α16662,ἀτιμοπενθής,a,aps---cn5s,ἀτιμοπενθής ἀτιμοπενθής ἀτιμοπενθές,,,,,0
16173,α16663,ἄτιμος,a,aps---cn2-,ἄτιμος ἄτιμος ἄτιμον,,,,,0
16174,α16664,ἀτιμόω,v,----------,,,,,,0
16175,α16665,ἀτιμωρητεί,r,----------,,,,,,0
16177,α16667,ἀτίμωσις,n,----------,,,,,,0
16178,α16668,ἀτίνακτος,a,----------,,,,,,0
16179,α16669,ἀτιτάλλω,v,----------,,,,,,0
16180,α16670,ἀτιτάλτας,n,n-s---mn1a,ἀτιτάλτου,,,,,0
16181,α16671,ἀτιτέω,v,----------,,,,,,0
16182,α16672,ἀτίτης,v,----------,,,,,,0
16183,α16673,ἄτιτος,a,aps---cn2-,ἄτιτος ἄτιτος ἄτιτον,,,,,0
16184,α16674,ἀτίω,v,----------,,,,,,0
16185,,Ἀτλαγενής,a,aps---cn5s,Ἀτλαγενής Ἀτλαγενής Ἀτλαγενές,,,,,0
16134,α16625,ἀτεχνέω,v,----------,,,,,,0
16191,α16678,ἄτλητος,a,aps---cn2-,ἄτλητος ἄτλητος ἄτλητον,,,,,0
16192,α16680,ἀτμενία,n,n-s---fn1l,ἀτμενίας,,,,,0
16193,α16681,ἀτμένιος,a,aps---cn2-,ἀτμένιος ἀτμένιος ἀτμένιον,,,,,0
16194,α16682,ἄτμενος,n,n-s---mn2-,ἀτμένου,,,,,0
16195,α16683,ἀτμεύω,v,----------,,,,,,0
16196,α16684,ἀτμή,n,n-s---fn1e,ἀτμῆς,,,,,0
16197,α16685,ἀτμήν,n,----------,,,,,,0
16198,α16686,ἀτμησίφρων,n,----------,,,,,,0
16200,α16688,ἀτμιάω,v,----------,,,,,,0
16201,α16689,ἀτμιδόομαι,v,----------,,,,,,0
16203,α16691,ἀτμιδώδης,a,aps---cn3s,ἀτμιδώδης ἀτμιδώδης ἀτμιδώ͂δες,,,,,0
16204,α16692,ἀτμίζω,v,----------,,,,,,0
16205,α16693,ἀτμίς,v,----------,,,,,,0
16206,α16694,ἀτμιστός,a,aps---mn1-,ἀτμιστός ἀτμιστή ἀτμιστόν,,,,,0
16207,α16695,ἀτμοειδής,a,aps---cn5s,ἀτμοειδής ἀτμοειδής ἀτμοειδές,,,,,0
16208,α16696,ἀτμός,n,n-s---mn2-,ἀτμοῦ,,,/aːt.mós/,,0
16209,α16697,ἀτμώδης,a,aps---cn3s,ἀτμώδης ἀτμώδης ἀτμώ͂δες,,,,,0
16210,α16698,ἄτοιχος,a,aps---cn2-,ἄτοιχος ἄτοιχος ἄτοιχον,,,,,0
16211,α16699,ἀτοκεῖον,n,n-s---nn2-,ἀτοκείου,,,,,0
16212,α16700,ἀτοκέω,v,----------,,,,,,0
16213,α16701,ἀτοκί,r,----------,,,,,,0
16214,α16702,ἀτοκία,n,n-s---fn1l,ἀτοκίας,,,,,0
16215,α16703,ἀτόκιος,a,aps---cn2-,ἀτόκιος ἀτόκιος ἀτόκιον,,,,,0
16217,α16705,ἀτολμέω,v,----------,,,,,,0
16219,α16707,ἀτόλμητος,a,aps---cn2-,ἀτόλμητος ἀτόλμητος ἀτόλμητον,,,,,0
16220,α16708,ἀτολμία,n,n-s---fn1l,ἀτολμίας,,,,,0
16221,α16709,ἄτολμος,a,aps---cn2-,ἄτολμος ἄτολμος ἄτολμον,,,,,0
16222,α16710,ἄτομος,a,aps---cn2-,ἄτομος ἄτομος ἄτομον,,,,,0
16223,α16711,ἀτομόω,v,----------,,,,,,0
16224,α16712,ἀτονέω,v,----------,,,,,,0
16225,α16713,ἀτονία,n,n-s---fn1l,ἀτονίας,,,,,0
16226,α16714,ἀτονόω,v,----------,,,,,,0
16228,α16716,ἀτόξευτος,a,aps---cn2-,ἀτόξευτος ἀτόξευτος ἀτόξευτον,,,,,0
16229,α16717,ἄτοξος,a,aps---cn2-,ἄτοξος ἄτοξος ἄτοξον,,,,,0
16230,α16718,ἀτόπαστος,a,aps---cn2-,ἀτόπαστος ἀτόπαστος ἀτόπαστον,,,,,0
16231,α16719,ἀτόπημα,n,n-s---nn3t,ἀτοπήματος,,,,,0
16232,α16720,ἀτοπηματοποιός,n,----------,,,,,,0
16233,α16721,ἀτοπία,n,n-s---fn1l,ἀτοπίας,,,,,0
16234,α16722,ἄτοπος,a,aps---cn2-,ἄτοπος ἄτοπος ἄτοπον,,,/á.to.pos/,,0
16235,α16723,ἀτόρητος,a,aps---cn2-,ἀτόρητος ἀτόρητος ἀτόρητον,,,,,0
16237,α16725,ἀτόρυνητος,a,aps---cn2-,ἀτόρυ<νη>τος ἀτόρυ<νη>τος ἀτόρυ<νη>τον,,,,,0
16239,α16727,ἀτραγῴδητος,a,aps---cn2-,ἀτραγῴδητος ἀτραγῴδητος ἀτραγῴδητον,,,,,0
16240,α16728,ἀτράγῳδος,a,aps---cn2-,ἀτράγῳδος ἀτράγῳδος ἀτράγῳδον,,,,,0
16190,α16677,ἀτλητέω,v,----------,,,,,,0
16265,α16752,ἀτρέμα,a,----------,,,,,,0
16266,α16754,ἀτρεμαῖος,a,----------,,,,,,0
16267,α16753,ἀτρεμαιότης,n,n-s---fn3t,ἀτρεμαιότητος,,,,,0
16268,α16755,ἄτρεμας,r,----------,,,,,,0
16269,α16756,ἀτρεμεί,r,----------,,,,,,0
16270,α16757,ἀτρεμέω,v,----------,,,,,,0
16271,α16758,ἀτρεμής,a,----------,,,,,,0
16272,α16759,ἀτρεμί,r,----------,,,,,,0
16274,α16761,ἀτρεμίζω,v,----------,,,,,,0
16275,α16762,ἀτρεπί,r,----------,,,,,,0
16276,α16763,ἄτρεπτος,a,aps---cn2-,ἄτρεπτος ἄτρεπτος ἄτρεπτον,,,,,0
16277,α16764,ἄτρεστος,a,aps---cn2-,ἄτρεστος ἄτρεστος ἄτρεστον,,,,,0
16278,α16765,ἀτρεφής,n,----------,,,,,,0
16279,α16766,ἀτρεχής,a,aps---cn5s,ἀτρεχής ἀτρεχής ἀτρεχές,,,,,0
16280,α16767,ἄτρητος,a,aps---cn2-,ἄτρητος ἄτρητος ἄτρητον,,,,,0
16281,α16768,ἀτρήχυντος,n,----------,,,,,,0
16282,α16769,ἀτριάκαστος,a,aps---cn2-,ἀτριάκαστος ἀτριάκαστος ἀτριάκαστον,,,,,0
16283,α16770,ἀτρίακτος,a,----------,,,,,,0
16284,α16771,ἀτρίαστος,r,----------,,,,,,0
16285,α16772,ἀτρίβαστος,v,----------,,,,,,0
16286,α16773,ἀτριβής,a,aps---cn5s,ἀτριβής ἀτριβής ἀτριβές,,,,,0
16287,α16774,ἄτριβος,a,aps---cn2-,ἄτριβος ἄτριβος ἄτριβον,,,,,0
16288,α16775,ἀτρίβων,a,aps---cn3n,ἀτρίβων ἀτρίβων ἀτρίβον,,,,,0
16289,α16776,ἄτριον,n,n-s---nn2-,ἀτρίου,,,,,0
16290,α16777,ἄτριπτος,a,aps---cn2-,ἄτριπτος ἄτριπτος ἄτριπτον,,,,,0
16291,α16778,ἄτριστος,a,aps---cn2-,ἄτριστος ἄτριστος ἄτριστον,,,,,0
16292,α16779,ἀτριχέω,v,----------,,,,,,0
16293,α16780,ἄτριχος,a,aps---cn2-,ἄτριχος ἄτριχος ἄτριχον,,,,,0
16348,,Ἀττικιστί,r,----------,,,,,,0
16257,α16745,ἀτράχηλος,n,----------,,,,,,0
16258,α16746,ἀτράχυντος,a,aps---cn2-,ἀτράχυντος ἀτράχυντος ἀτράχυντον,,,,,0
16259,α16747,ἀτρεής,a,aps---cn5s,ἀτρεής ἀτρεής ἀτρεές,,,,,0
16260,,Ἀτρείδης,n,n-s---mn1e,Ἀτρείδου,,,/a.trěː.dɛːs/,,0
16261,α16748,ἀτρέκεια,n,n-s---fn1s,ἀτρέκειας,,,,,0
16262,α16749,ἀτρεκέω,v,----------,,,,,,0
16263,α16750,ἀτρεκής,a,aps---cn5s,ἀτρεκής ἀτρεκής ἀτρεκές,,,/a.tre.kɛ̌ːs/,,0
16264,α16751,ἀτρεκότης,n,n-s---fn3t,ἀτρεκότητος,,,,,0
16273,α16760,ἀτρεμία,n,n-s---fn1l,ἀτρεμίας,,,,,0
16310,α16797,ἄτρυγος,a,aps---cn2-,ἄτρυγος ἄτρυγος ἄτρυγον,,,,,0
16311,α16798,ἀτρύμων,a,aps---cn3n,ἀτρύμων ἀτρύμων ἀτρύμον,,,,,0
16312,α16799,ἀτρύπητος,n,----------,,,,,,0
16313,α16800,ἄτρυτος,a,aps---cn2-,ἄτρυτος ἄτρυτος ἄτρυτον,,,,,0
16314,,Ἀτρυτώνη,n,n-s---fn1e,Ἀτρυτώνης,,,,,0
16315,α16801,ἀτρύφερος,a,----------,,,,,,0
16316,α16802,ἀτρύφητος,a,aps---cn2-,ἀτρύφητος ἀτρύφητος ἀτρύφητον,,,,,0
16317,α16803,ἄτρυφος,a,aps---cn2-,ἄτρυφος ἄτρυφος ἄτρυφον,,,,,0
16318,α16804,ἀτρώς,n,n-s---cn3d,ἀτρῶτος,,,,,0
16319,α16805,ἀτρωσία,n,n-s---fn1l,ἀτρωσίας,,,,,0
16320,α16806,ἄτρωτος,a,aps---cn2-,ἄτρωτος ἄτρωτος ἄτρωτον,,,,,0
16321,α16808,ἄττα,n,n-s----n--,,,,,,0
16322,α16807,ἄττα,v,----------,,,,,,0
16323,α16809,ἀτταβυγάς,v,----------,,,,,,0
16324,α16813,ἀτταγᾶς,n,n-s---mn2c,ἀτταγᾶ,,,,,0
16325,α16810,ἀτταγεινός,n,----------,,,,,,0
16326,α16811,ἀτταγήν,n,n-s---mn3n,ἀτταγῆνος,,,/at.ta.ɡɛ̌ːn/,,0
16327,α16812,ἀτταγηνάριον,n,n-s---nn2-,ἀτταγηναρίου,,,,,0
16328,α16814,ἀτταγῆς,n,----------,,,,,,0
16329,α16815,ἀττάκης,n,n-s---mn1e,ἀττάκου,,,,,0
16330,,Ἀτταλεῖον,n,n-s---nn2-,Ἀτταλείου,,,,,0
16331,,Ἀτταλιανόν,n,----------,,,,,,0
16332,,Ἀτταλίς,n,n-s---fn3d,Ἀτταλίδος,,,,,0
16333,,Ἀτταλισταί,n,n-p---mn2-,Ἀτταλιστῶν,,,,,0
16334,α16816,ἀττάμιος,a,aps---cn2-,ἀττάμιος ἀττάμιος ἀττάμιον,,,,,0
16335,α16817,ἀττάραγος,n,n-s---mn2-,ἀτταράγου,,,,,0
16336,α16818,ἀτταταῖ,n,----------,,,,,,0
16337,α16819,ἀττέλαβος,n,n-s---mn2-,ἀττελάβου,,,,,0
16338,α16820,ἀττελεβόφθαλμος,a,aps---cn2-,ἀττελεβόφθαλμος ἀττελεβόφθαλμος ἀττελεβόφθαλμον,,,,,0
16339,α16821,ἀττηγός,n,----------,,,,,,0
16340,,Ἄττης,n,----------,,,,,,0
16341,,Ἀττίδεια,n,n-p---nn2-,Ἀττιδείων,,,,,0
16342,,Ἀττικηρῶς,r,----------,,,,,,0
16343,,Ἀττικιανός,a,aps---mn1-,Ἀττικιανός Ἀττικιανή Ἀττικιανόν,,,,,0
16344,,Ἀττικίζω,v,----------,,,,,,0
16345,,Ἀττίκισις,n,n-s---fn3v,Ἀττικισέως,,,,,0
16346,,Ἀττικισμός,n,----------,,,,,,0
16347,,Ἀττικιστής,n,n-s---mn1e,Ἀττικιστού,,,,,0
16306,α16793,ἄτροφος,a,aps---cn2-,ἄτροφος ἄτροφος ἄτροφον,,,,,0
16307,α16794,ἀτρύγετος,a,aps---mn1-,ἀτρύγετος ἀτρυγέτη ἀτρύγετον,,,,,0
16308,α16795,ἀτρυγής,a,aps---cn5s,ἀτρυγής ἀτρυγής ἀτρυγές,,,,,0
16309,α16796,ἀτρύγητος,a,aps---cn2-,ἀτρύγητος ἀτρύγητος ἀτρύγητον,,,,,0
16352,,Ἀττικουργής,a,aps---cn5s,Ἀττικουργής Ἀττικουργής Ἀττικουργές,,,,,0
16353,,Ἀττικωνικός,a,aps---mn1-,Ἀττικωνικός Ἀττικωνική Ἀττικωνικόν,,,,,0
16354,α16823,ἄττομαι,v,----------,,,,,,0
16355,,ᾄττω,v,----------,,,,,,0
16357,α16825,ἀτύζομαι,v,----------,,,,,,0
16358,α16826,ἄτυκτος,a,aps---cn2-,ἄτυκτος ἄτυκτος ἄτυκτον,,,,,0
16359,α16827,ἀτύλωτος,v,----------,,,,,,0
16360,α16828,ἀτύμβευτος,a,aps---cn2-,ἀτύμβευτος ἀτύμβευτος ἀτύμβευτον,,,,,0
16361,α16829,ἄτυμβος,a,aps---cn2-,ἄτυμβος ἄτυμβος ἄτυμβον,,,,,0
16362,α16830,ἄτυπος,a,aps---cn2-,ἄτυπος ἄτυπος ἄτυπον,,,,,0
16363,α16831,ἀτύπωτος,a,aps---cn2-,ἀτύπωτος ἀτύπωτος ἀτύπωτον,,,,,0
16365,α16833,ἀτύρωτος,a,----------,,,,,,0
16366,α16834,ἀτυφία,n,n-s---fn1l,ἀτυφίας,,,,,0
