0448605,a,9,excessively and uncomfortably conscious of your appearance or behavior; 'self-conscious teenagers'; 'wondered if she could ever be untidy without feeling self-conscious about it',
82730,00779846,a,9,only partly in existence; imperfectly formed; 'incipient civil disorder'; 'an incipient tumor'; 'a vague inchoate idea',
82731,00780032,a,9,(botany) appearing or developing early; 'precocious flowers appear before the leaves as in some species of magnolias',
82732,00780206,a,9,at or toward an end or late period or stage of development; 'the late phase of feudalism'; 'a later symptom of the disease'; 'later medical science could have saved the child',
82733,00780461,a,9,comparatively late in a course of development; 'the illness had reached an advanced stage'; 'an advanced state of exhaustion',
82734,00780644,a,9,(linguistics) of an early stage in the development of a language or literature; 'the Early Hebrew alphabetical script is that used mainly from the 11th to the 6th centuries B.C.'; 'Early Modern English is represented in documents printed from 1476 to 1700',
82735,00780988,a,9,(linguistics) of a very early stage in development; 'Old English is also called Anglo Saxon'; 'Old High German is High German from the middle of the 9th to the end of the 11th century',
82736,00781222,a,9,(linguistics) of a stage in the development of a language or literature between earlier and later stages; 'Middle English is the English language from about 1100 to 1500'; 'Middle Gaelic',
82737,00781480,a,9,(linguistics) of a later stage in the development of a language or literature; used especially of dead languages; 'Late Greek',
82738,00781711,a,9,(linguistics) used of a living language; being the current stage in its development; 'Modern English'; 'New Hebrew is Israeli Hebrew',
82739,00781903,a,9,(linguistics) in use after Medieval times; 'New Eqyptian was the language of the 18th to 21st dynasties',
82740,00782057,a,9,gained or acquired; especially through merit or as a result of effort or action; 'a well-earned reputation for honesty'; 'earned income'; 'an earned run in baseball',
82741,00782293,a,9,achieved or reached; 'the actual attained achievement test score',
82742,00782413,a,9,not gained by merit or labor or service; 'accepted the unearned rewards that came his ways as well as the unearned criticism'; 'unearned income'; 'an unearned run',
82743,00782649,a,9,given as an honor without the normal duties; 'an honorary degree',
82744,00782769,a,9,"free from worry or anxiety; 'knowing that I had done my best, my mind was easy'; 'an easy good-natured manner'; 'by the time the child faced the actual problem of reading she was familiar and at ease with all the elements words'",
82745,00783094,a,9,lacking a sense of security or affording no ease or reassurance; 'farmers were uneasy until rain finally came'; 'uneasy about his health'; 'gave an uneasy laugh'; 'uneasy lies the head that wears the crown'; 'an uneasy coalition government'; 'an uneasy calm'; 'an uneasy silence fell on the group',
82746,00783553,a,9,mentally upset over possible misfortune or danger etc; worried; 'anxious parents'; 'anxious about her job'; 'not used to a city and anxious about small things'; 'felt apprehensive about the consequences',
82747,00783825,a,9,affording no ease or reassurance; 'a precarious truce',
82748,00783947,a,9,not at ease or comfortable; 'felt strange among so many important people',
82749,00784074,a,9,situated in or facing or moving toward the east,
82750,00784280,a,9,moving toward the east; 'eastbound trains',
82751,00784389,a,9,from the east; used especially of winds; 'an east wind'; 'the winds are easterly',
82752,00784535,a,9,lying in or toward the east; 'the east side of NY'; 'eastern cities',
82753,00784668,a,9,lying toward or situated in the east; 'the eastern end of the island',
82754,00784791,a,9,farthest to the east,
82755,00784880,a,9,of the eastern part of a city e.g. Manhattan; 'the eastside silk-stocking district',
82756,00785018,a,9,situated in or facing or moving toward the west,
82757,00785224,a,9,moving toward the west; 'westbound pioneers',
82758,00785346,a,9,lying toward or situated in the west; 'our company's western office',
82759,00785468,a,9,of wind; from the west,
82760,00785555,a,9,lying in or toward the west,
82761,00785647,a,9,farthest to the west,
82762,00785736,a,9,of the western part of a city; 'he lives in upper westside Manhattan',
82763,00785860,a,9,relating to or characteristic of regions of western parts of the world; 'the Western Hemisphere'; 'Western Europe'; 'the Western Roman Empire',
100707,N0000432,n,10,,
82765,00786285,a,9,relating to or characteristic of regions of eastern parts of the world; 'the Eastern Hemisphere'; 'Eastern Europe'; 'the Eastern religions',
82767,00786877,a,9,(poetic) 'the orient sun',
82768,00786955,a,9,of or characteristic of regions of the United States west of the Mississippi River; 'a Western ranch',
82769,00787200,a,9,of a region of the United States generally including New Mexico; Arizona; Texas; California; and sometimes Nevada; Utah; Colorado,
82770,00787388,a,9,of a region of the United States generally including Ohio; Indiana; Illinois; Iowa; Missouri; Kansas; Nebraska; and sometimes Michigan; Wisconsin; Minnesota; 'a midwestern city'; 'midwestern accent',
82771,00787643,a,9,of a region of the United States generally including Washington; Oregon; Idaho; and sometimes Montana; Wyoming,
82772,00787812,a,9,of a region of the United States usually including Colorado; Nevada; Utah,
82773,00787944,a,9,of or characteristic of eastern regions of the United States; 'the Eastern establishment',
82774,00788177,a,9,"of a region of the United States generally including Kentucky, West_Virginia",
82775,00788312,a,9,of a region of the United States generally including Delaware; Maryland; Virginia; and usually New York; Pennsylvania; New Jersey; 'mid-Atlantic states',
82776,00788541,a,9,of a region of the United States generally including the New England states; New York; and sometimes New Jersey and Pennsylvania,
82777,00788728,a,9,of a region of the United States generally including Alabama; Georgia; Florida; Tennessee; South Carolina; North Carolina,
82778,00788908,a,9,having a lightly-muscled build with long limbs,
82779,00789066,a,9,having a slender physique,
82780,00789146,a,9,having a squat and fleshy build; 'a pyknic practical joke',
82781,00789325,a,9,a chubby body; 'the boy had a rounded face and fat cheeks',
82782,00789443,a,9,(anatomy) having a robust muscular body-build characterized by predominance of structures (bone and muscle and connective tissue) developed from the embryonic mesodermal layer,
82783,00789723,a,9,having a sturdy and well proportioned body; 'an athletic build',
82784,00789841,a,9,suitable for use as food,
82785,00790031,a,9,"fit to kill, especially for food",
82786,00790118,a,9,safe to eat,
82787,00790199,a,9,not suitable for food,
82788,00790359,a,9,not safe to eat,
82789,00790430,a,9,possessing an education (especially having more than average knowledge),
82790,00790754,a,9,highly educated; having extensive information or understanding; 'an enlightened public'; 'knowing instructors'; 'a knowledgeable critic'; 'a knowledgeable audience',
82791,00791051,a,9,(all used chiefly with qualifiers `well' or `poorly' or `un-') having received specific instruction; 'unschooled ruffians'; 'well tutored applicants',
82792,00791287,a,9,able to read and write,
82793,00791364,a,9,educated by your own efforts rather than by formal instruction,
82794,00791486,a,9,literate but poorly informed,
82795,00791573,a,9,not having a good education,
82796,00791837,a,9,ignorant of the fundamentals of a given art or branch of knowledge; 'ignorant of quantum mechanics'; 'musically illiterate',
82797,00792028,a,9,lacking general education or knowledge; 'an ignorant man'; 'nescient of contemporary literature'; 'an unlearned group incapable of understanding complex issues'; 'exhibiting contempt for his unlettered companions',
82798,00792348,a,9,poorly or insufficiently educated,
82799,00792441,a,9,lacking in schooling; 'untaught people whose verbal skills are grossly deficient'; 'an untutored genius'; 'uneducated children',
82800,00792648,a,9,lacking knowledge gained by study often in a particular field; 'is unstudied in Latin as he is in may other matters',
82801,00792820,a,9,able to understand and use numbers,
82802,00792963,a,9,adequately educated in the use of numerical terms and concepts especially in arithmetical operations,
82803,00793118,a,9,lacking knowledge and understanding of mathematical concepts and methods,
82804,00793301,a,9,not adequately educated in the use of numerical terms and concepts,
82805,00793424,a,9,being in force or having or exerting force; 'operative regulations'; 'the major tendencies operative in the American political system',
82806,00793686,a,9,having influence or producing an effect; 'many emotional determinants at work'; 'an operant conscience',
82807,00793856,a,9,exerting force or influence; 'the law is effective immediately'; 'a warranty good for two years'; 'the law is already in effect (or in force)',
82849,00802442,a,9,sudden and strong; 'an emphatic no',
82809,00794408,a,9,serving to permit or facilitate further work or activity; 'discussed the working draft of a peace treaty'; 'they need working agreements with their neighbor states on interstate projects',
82810,00794649,a,9,not operating; 'an inoperative law',
82811,00794778,a,9,not functioning; 'we can't work because the computer is down',
82812,00794890,a,9,no longer in force or use; inactive; 'a defunct (or dead) law'; 'a defunct organization',
82814,00795656,a,9,characterized by or full of force and vigor; 'a hard-hitting expose'; 'a trenchant argument',
82815,00795819,a,9,markedly effective as if by emotional pressure; 'impelling skill as a teller of tales'; 'an impelling personality',
82816,00795989,a,9,producing a strong effect; 'gave an impressive performance as Othello'; 'a telling gesture',
82817,00796147,a,9,not producing an intended effect; 'an ineffective teacher'; 'ineffective legislation',
82818,00796462,a,9,lacking necessary force for effectiveness; 'a toothless piece of legislation',
82819,00796595,a,9,not producing desired results; 'the talks between labor and management were unproductive',
82820,00796743,a,9,sufficient to produce a result; 'a man to whom painting was but another and less effectual way of writing dramas or novels or history',
82821,00796951,a,9,not sufficient to produce a desired result; 'an ineffectual effort to block the legislation',
82822,00797119,a,9,requiring great physical effort,
82823,00797350,a,9,characterized by toilsome effort to the point of exhaustion; especially physical effort; 'worked their arduous way up the mining valley'; 'a grueling campaign'; 'hard labor'; 'heavy work'; 'heavy going'; 'spent many laborious hours on the project'; 'set a punishing pace',
82824,00797776,a,9,"requiring much effort and trouble; 'the mountain climb was long, steep, and difficult'",
82825,00797918,a,9,marked by a painfully slow and effortful manner; 'it was a strange dragging approach'; 'years of dragging war',
82826,00798083,a,9,producing exhaustion; 'an exhausting march'; 'the visit was especially wearing',
82827,00798249,a,9,requiring or showing effort; 'heavy breathing'; 'the subject made for labored reading',
82828,00798408,a,9,(of movement) slow and laborious; 'leaden steps',
82829,00798520,a,9,"taxing to the utmost; testing powers of endurance; 'his final, straining burst of speed'; 'a strenuous task'; 'your willingness after these six arduous days to remain here'- F.D.Roosevelt",
82830,00798785,a,9,requiring or apparently requiring no effort; 'the swallows glided in an effortless way through the busy air',
82831,00799004,a,9,performing adroitly and without effort; 'her easy grace'; 'a facile hand',
82832,00799137,a,9,not resulting from undue effort; not forced; 'a voice with a pleasingly unforced quality'; 'his playing is facile and unstrained',
82833,00799334,a,9,marked by qualities giving the power to produce an intended effect; 'written propaganda is less efficacious than the habits and prejudices...of the readers'-Aldous Huxley; 'the medicine is efficacious in stopping a cough',
82834,00799667,a,9,works well as a means or remedy; 'an effective reprimand'; 'a lotion that is effective in cases of prickly heat',
82835,00799835,a,9,lacking the power to produce a desired effect; 'laws that are inefficacious in stopping crime',
82836,00800025,a,9,being effective without wasting time or effort or expense; 'an efficient production manager'; 'efficient engines save gas',
82837,00800347,a,9,exhibiting methodical and systematic characteristics that would be useful in business,
82838,00800491,a,9,using the minimum of time or resources necessary for effectiveness; 'an economic use of home heating oil'; 'a modern economical heating system'; 'an economical use of her time',
82839,00800735,a,9,characterized by speed and efficiency,
82840,00800852,a,9,used of gasoline; having a high octane number,
82841,00800955,a,9,made efficient by stripping off nonessentials; 'short streamlined meetings',
82842,00801088,a,9,not spending at the normal rate,
82843,00801176,a,9,not producing desired results; wasteful; 'an inefficient campaign against drugs'; 'outdated and inefficient design and methods',
82844,00801415,a,9,inefficient in use of time and effort and materials; 'a clumsy and wasteful process'; 'wasteful duplication of effort'; 'uneconomical ebb and flow of power',
82845,00801641,a,9,characterized by or full of force or strength (often but not necessarily physical); 'a forceful speaker'; 'a forceful personality'; 'forceful measures'; 'a forceful plan for peace',
82846,00802038,a,9,brutally forceful and compelling; 'protected from the bruising facts of battle',
82847,00802172,a,9,powerfully persuasive; 'a cogent argument'; 'a telling presentation'; 'a weighty argument',
82852,00802879,a,9,forcing forward or onward; impelling; 'an impellent power'; 'an impellent cause',
82853,00803015,a,9,marked by violent force; 'impetuous heving waves',
82854,00803120,a,9,quick and forceful; 'a sharp blow',
82855,00803206,a,9,lacking force; feeble; 'a forceless argument',
82856,00803345,a,9,weak and ineffectual,
82857,00803427,a,9,capable of resuming original shape after stretching or compression; springy; 'an elastic band'; 'a youthful and elastic walk',
82858,00803840,a,9,rebounds readily; 'clean bouncy hair'; 'a lively tennis ball'; 'as resiliant as seasoned hickory'; 'springy turf',
82859,00804053,a,9,of a consistency requiring chewing; 'chewy caramels',
82860,00804157,a,9,capable of being shaped or bent or drawn out; 'ductile copper'; 'malleable metals such as gold'; 'they soaked the leather to made it pliable'; 'pliant molten glass'; 'made of highly tensile steel alloy',
82861,00804465,a,9,made with strands or inserts of elastic; 'slacks with an elasticized waistband',
82862,00804602,a,9,(of gases) capable of expansion,
82863,00804728,a,9,capable of being molded or modeled (especially of earth or clay or other soft material); 'plastic substances such as wax or clay',
82864,00804932,a,9,bends and snaps back readily without breaking,
82865,00805032,a,9,having a texture resembling rubber,
82866,00805133,a,9,resembling a spring or the action of a spring,
82867,00805235,a,9,easily stretched; 'stretch hosiery',
82868,00805324,a,9,capable of being easily stretched and resuming former size or shape,
82869,00805460,a,9,(physics) having viscous as well as elastic properties,
82870,00805573,a,9,not elastic; 'economists speak of an inelastic price structure',
82871,00805764,a,9,lacking resilience or bounce; 'a dead tennis ball',
82872,00805865,a,9,not resilient,
82873,00805937,a,9,lacking in elasticity or vitality; 'went off with springless steps',
82874,00806061,a,9,subject to popular election; 'elective official',
82875,00806210,a,9,relating to or composed of electors; 'electoral college',
82876,00806322,a,9,filled by popular election rather than by appointment,
82877,00806435,a,9,subject to appointment,
82878,00806562,a,9,appointed by nomination,
82879,00806654,a,9,filled by appointment rather than by election; 'a nonappointive office',
82880,00806783,a,9,appointed to a post or duty; 'assigned personnel'; 'assigned duties',
82881,00806942,a,9,given as a task; 'her allotted chores',
82882,00807035,a,9,selected for a job; 'the one appointed for guard duty',
82883,00807145,a,9,not assigned; 'unassigned personnel',
82884,00807238,a,9,possible but not necessary; left to personal choice,
82885,00807416,a,9,not compulsory; 'elective surgery'; 'an elective course of study',
82886,00807536,a,9,as a favor; not compelled by legal right; 'ex gratia payments made to nonstriking workers',
82887,00807682,a,9,not compulsory; 'facultative courses in the sciences',
82888,00807793,a,9,not required by rule or law,
82889,00807895,a,9,morally or legally constraining or binding; 'attendance is obligatory'; 'an obligatory contribution',
82890,00808196,a,9,morally obligatory; 'my bounden duty',
82891,00808287,a,9,required by rule; 'in most schools physical education are compulsory'; 'attendance is mandatory'; 'required reading',
82892,00808483,a,9,required by etiquette or usage or fashion; 'instruction as to when and where a silk hat is de rigueur',
82893,00808642,a,9,set forth authoritatively as obligatory; 'the imposed taxation'; 'rules imposed by society',
82894,00808787,a,9,morally binding or necessary; 'it is incumbent on me to attend',
82895,00808912,a,9,unavoidable; 'the routine but indispensable ceremonies of state',
82896,00809036,a,9,required as a prior condition or course of study,
82898,00809716,a,9,small and elegant; 'bijou villas'; 'can Americans be persuaded to pay out dollars for bijou cars?',
82899,00809866,a,9,affecting extreme elegance in dress and manner,
82900,00809989,a,9,elegant and sumptuous; 'a deluxe car'; 'luxe accommodations'; 'a luxury condominium',
82901,00810155,a,9,characterized by elegance or refinement; 'looking fine in her Easter suit'; 'a fine gentleman',
82903,00810418,a,9,lavishly elegant and refined,
82905,00810705,a,9,(informal) luxuriously elegant,
82906,00810787,a,9,cleverly simple; used of e.g. a solution to a problem; 'his proposal is elegantly simple',
82907,00810929,a,9,polished and well-groomed; showing sophisticated elegance,
82908,00811049,a,9,lacking in refinement or grace or good taste,
82909,00811257,a,9,lacking social polish; 'too gauche to leave the room when the conversation became intimate'; 'their excellent manners always may be feel gauche',
82910,00811479,a,9,without artificial refinement or elegance; 'plain homely furniture'; 'homely manners',
82911,00811617,a,9,qualified for or allowed or worthy of being chosen; 'eligible to run for office'; 'eligible for retirement benefits'; 'an eligible bachelor',
82912,00811939,a,9,eligible for bail; 'a bailable defendant',
82913,00812035,a,9,worthy of being chosen especially as a spouse; 'the parents found the girl suitable for their son',
82914,00812209,a,9,qualified for by right according to law; 'we are all entitled to equal protection under the law',
82915,00812360,a,9,awaiting something; especially something due; 'people were in line at the checkout counter'; 'she was in line for promotion',
82916,00812538,a,9,(sports) allowed by official rules; 'a legal pass receiver',
82917,00812649,a,9,entitled to receive a pension; 'a pensionable employee',
82918,00812762,a,9,not eligible; 'ineligible to vote'; 'ineligible for retirement benefits',
82919,00812981,a,9,disqualified by law or rule or provision,
82920,00813080,a,9,(sports) barred from competition for violation of rules; 'a disqualified player',
82921,00813219,a,9,not worthy of being chosen (especially as a spouse),
82922,00813341,a,9,having no right or entitlement; 'a distinction to which he was unentitled',
82923,00813486,a,9,of more than usual emotion; 'his behavior was highly emotional',
82924,00813947,a,9,characterized by emotion,
82926,00814355,a,9,emotionally purging (of e.g. art),
82927,00814456,a,9,fraught with great emotion; 'an atmosphere charged with excitement'; 'an emotionally charged speech',
82928,00814625,a,9,(of jazz) having the soulful feeling of early blues,
82929,00814739,a,9,(informal) worked up emotionally by anger or excitement; 'was terribly het up over the killing of the eagle'; 'got really het up over the new taxes'; 'he was suddenly het up about racing cars',
82930,00814987,a,9,prone to emotion; 'hot-blooded Latin-Americans',
82931,00815092,a,9,having or resembling the psychology or temper characteristic of people of Latin America; 'very Latin in temperament'; 'a Latin disdain'; 'his hot Latin blood',
82932,00815302,a,9,expressing deep personal emotion; 'the dancer's lyrical performance',
82933,00815432,a,9,intensely affecting the mind or emotions; 'spending a week in the jungle was a mind-blowing experience'; 'a mind-blowing horror story',
82934,00815625,a,9,subject to sharply varying moods; 'a temperamental opera singer',
82935,00815757,a,9,excessively or abnormally emotional,
82936,00815852,a,9,full of or expressing deep emotion; 'soulful eyes'; 'soulful music',
82937,00815973,a,9,used of music,
82938,00816043,a,9,unsusceptible to or destitute of or showing no emotion,
82939,00816371,a,9,not characterized by emotion; 'a female form in marble--a chilly but ideal medium for depicting abstract virtues'-C.W.Cunningham,
82940,00816552,a,9,lacking warmth or emotional involvement; 'a dry greeting'; 'a dry reading of the lines'; 'a dry critique',
82941,00816707,a,9,"having or revealing little emotion or sensibility; not easily aroused or excited; 'her impassive remoteness'; 'he remained impassive, showing neither interest in nor concern for our plight'- Nordhoff & Hall; 'a silent stolid creature who took it all as a matter of course'-Virginia Woolf; 'her face showed nothing but stolid indifference'",
82942,00817110,a,9,characterized by the attitude of a philosopher; meeting trouble with level-headed detachment; 'philosophical resignation'; 'a philosophic attitude toward life',
82943,00817343,a,9,showing little emotion; 'a phlegmatic...and certainly undemonstrative man',
82944,00817489,a,9,seeming unaffected by pleasure or pain; impassive; 'stoic courage'; 'stoic patience'; 'a stoical sufferer',
82945,00817657,a,9,showing no visible emotion; 'stood unblinking and accepted a sentence of a year',
82946,00817794,a,9,derived from experiment and observation rather than theory; 'an empirical basis for an ethical theory'; 'empirical laws'; 'empirical data'; 'an empirical treatment of a disease about which little is known',
82947,00818181,a,9,requiring evidence for validation or support,
82950,00818721,a,9,relying on observation or experiment; 'experimental results that supported the hypothesis',
82951,00818899,a,9,of the nature of or undergoing an experiment; 'an experimental drug'; 'a pilot project'; 'a test run'; 'a trial separation',
82952,00819124,a,9,relying to some extent on observation or experiment,
82953,00819235,a,9,trying out various means or theories until error is satisfactorily reduced or eliminated; 'he argued that all learning is a trial-and-error process that resembles biological evolution',
82954,00819481,a,9,concerned primarily with theories or hypotheses rather than practical considerations; 'theoretical science',
82955,00819784,a,9,of an abstracting nature or having the power of abstracting; 'abstractive analysis',
82956,00819925,a,9,based on hypothesis or theory rather than experiment,
82958,00820398,a,9,based on hypothesis; 'a hypothetical situation'; 'the site of a hypothetical colony',
82959,00820554,a,9,not based on fact or investigation; 'a notional figure of cost helps in determining production costs'; 'speculative knowledge',
82960,00820749,a,9,highly abstract and over-theoretical; 'metaphysical reasoning',
82961,00820870,a,9,based in theory rather than experiment; 'theory-based arguments and positions',
82962,00821007,a,9,concerned with theories rather than their practical applications; 'theoretical physics',
82963,00821206,a,9,dealing with a subject in the abstract without practical purpose or intention; 'abstract reasoning'; 'abstract science',
82964,00821380,a,9,hypothetical or theoretical and not expected to produce an immediate or practical result; 'an academic discussion'; 'an academic question',
82965,00821573,a,9,concerned with theory and data rather than practice; opposed to applied; 'pure science',
82966,00821711,a,9,"concerned with concrete problems or data rather than with fundamental principles; opposed to theoretical; 'applied physics'; 'applied psychology'; 'technical problems in medicine, engineering, economics and other applied disciplines'- Sidney Hook",
82967,00822029,a,9,having or put to a practical purpose or use; 'practical mathematics'; 'practical applications of calculus',
82968,00822191,a,9,having your services engaged for; or having a job especially one that pays wages or a salary; 'most of our graduates are employed',
82969,00822466,a,9,having services contracted for; 'the carpenter engaged (or employed) for the job is sick',
82970,00822609,a,9,working for yourself,
82971,00822704,a,9,having services engaged for a fee; 'hired hands'; 'a hired gun',
82972,00822819,a,9,actively engaged in paid work; 'the working population'; 'the ratio of working men to unemployed'; 'a working mother'; 'robots can be on the job day and night',
82973,00823051,a,9,not engaged in a gainful occupation; 'unemployed workers marched on the capital',
82974,00823260,a,9,idle; between jobs; (euphemism for `unemployed'),
82975,00823368,a,9,having lost your job,
82976,00823491,a,9,not having a job; 'idle carpenters'; 'jobless transients'; 'many people in the area were out of work',
82977,00823667,a,9,physically and mentally capable of working a a regular job and available,
82978,00823796,a,9,not acceptable for employment as a worker; 'his illiteracy made him unemployable',
82979,00823936,a,9,influenced as by charms or incantations,
82980,00824085,a,9,filled with wonder and delight,
82981,00824230,a,9,under a spell,
82982,00824313,a,9,having your attention fixated as though by a spell,
82983,00824498,a,9,freed from enchantment,
82984,00824633,a,9,freed of a mistaken or misguided notion; 'some people are still not disabused of the old idea that the universe revolves around the Earth',
82985,00824843,a,9,freed from illusion,
82986,00824936,a,9,giving courage or confidence or hope; 'encouraging advances in medical research',
82987,00825200,a,9,giving strong encouragement,
82988,00825323,a,9,cheerfully encouraging,
82989,00825416,a,9,tending to further or encourage,
82990,00825503,a,9,rousing or recalling to unity and renewed effort; 'a rallying cry',
82991,00825624,a,9,depriving of confidence or hope or enthusiasm and hence often deterring action; 'where never is heard a discouraging word',
82992,00825931,a,9,discouraging through fear,
82993,00826026,a,9,destructive of morale and self-reliance,
82994,00826169,a,9,discouraging by hindering,
82997,00826652,a,9,bearing a physically heavy weight or load; 'tree limbs burdened with ice'; 'a heavy-laden cart'; 'loaded down with packages',
82998,00826859,a,9,loaded with something that hinders motion; 'The wings of birds were clogged with ice and snow'-Dryden,
82999,00827014,a,9,entangled or hindered as if e.g. in mire; 'the difficulties in which the question is involved'; 'brilliant leadership mired in details and confusion',
83000,00827226,a,9,"burdened with legal or financial obligations; 'his house, his business, indeed, his whole life was heavily mortgaged'",
83001,00827399,a,9,free of encumbrance; 'inherited an unencumbered estate',
83002,00827549,a,9,not encumbered with a physical burden or load,
83003,00827664,a,9,(especially of a title) 'I have clear title to this property',
83004,00827791,a,9,bearing a heavy burden of work or difficulties or responsibilities; 'she always felt burdened by the load of paper work',
83005,00828020,a,9,heavily burdened with work or cares; 'bowed_down with troubles'; 'found himself loaded down with responsibilities'; 'overburdened social workers'; 'weighed down with cares',
83006,00828302,a,9,burdened psychologically or mentally; 'laden with grief'; 'oppressed by a sense of failure',
83007,00828457,a,9,subject to an imposed burden; 'left me saddled with the bill'; 'found himself saddled with more responsibility than power',
83008,00828633,a,9,not burdened with difficulties or responsibilities; 'unburdened by an overarching theory'- Alex Inkeles,
83009,00828811,a,9,not burdened with cares or responsibilities; 'living an unencumbered life',
83010,00828944,a,9,grammar; fulfilling the grammatical role of one of its constituents--as 'three blind mice'--which serves as a noun,
83011,00829116,a,9,grammar; not fulfilling the same grammatical role of any of its constituents--as 'until last Easter'--which serves as an adverb,
83012,00829300,a,9,(anthropology),
83013,00829389,a,9,of marriage within a class or tribe as required by custom or law,
83014,00829524,a,9,(anthropology),
83015,00829630,a,9,of marriage outside a class or tribe as required by custom or law,
83016,00829766,a,9,(biology),
83017,00829868,a,9,fertilized by its own pollen,
83018,00829976,a,9,(biology),
83019,00830078,a,9,fertilized by pollen from another flower of the same plant,
83020,00830192,a,9,(biology),
83021,00830293,a,9,reproduced by fusion of gametes of different ancestries,
83022,00830403,a,9,(of a nuclear reaction) occurring with absorption of energy,
83023,00830555,a,9,(of a nuclear reaction) occurring with evolution or releasing of energy,
83024,00830718,a,9,(of a chemical reaction or compound) occurring or formed with absorption of heat,
83025,00830905,a,9,(of a chemical reaction or compound) occurring or formed with evolution of heat,
83026,00831089,a,9,derived or originating internally,
83027,00831197,a,9,endogenous,
83028,00831277,a,9,derived or originating externally,
83029,00831402,a,9,exogenous,
83030,00831479,a,9,exogenous,
83031,00831543,a,9,(verse) having a rhetorical pause at the end of each line,
83032,00831658,a,9,(verse) without a rhetorical pause between lines,
83033,00831759,a,9,possessing or exerting or displaying energy; 'an energetic fund raiser for the college'; 'an energetic group of hikers',
83034,00832150,a,9,characterized by energetic bodily activity; 'tennis is an active sport'; 'a very physical dance performance',
83036,00832581,a,9,(British) lively and brisk,
83037,00832659,a,9,acting with vigor; 'responsibility turned the spoiled playboy into a driving young executive',
83038,00832806,a,9,showing sustained enthusiastic action with unflagging vitality; 'an indefatigable advocate of equal rights'; 'a tireless worker'; 'unflagging pursuit of excellence',
83039,00833067,a,9,characterized by or performed with much energy or force; 'strenuous exercise',
83040,00833200,a,9,characterized by forceful and energetic action or activity; 'a vigorous hiker'; 'gave her skirt a vigorous shake'; 'a vigorous campaign'; 'a vigorous foreign policy'; 'vigorous opposition to the war',
83041,00833454,a,9,deficient in alertness or activity; 'bullfrogs became lethargic with the first cold nights',
83042,00833685,a,9,stunned or confused and slow to react (as from blows or drunkenness or exhaustion),
83043,00833855,a,9,lacking spirit or liveliness; 'a lackadaisical attempt'; 'a languid mood'; 'a languid wave of the hand'; 'a hot languorous afternoon',
83045,00834188,a,9,endowed with the rights of citizenship especially the right to vote,
83046,00834314,a,9,deprived of the rights of citizenship especially the right to vote,
83047,00834469,a,9,suitable for export; 'exportable cultural schievements',
83048,00834599,a,9,capable of being marketed; 'the marketable surplus',
83049,00834707,a,9,not suitable for export,
83051,00835115,a,9,designed to orient or acquaint with the a situation before proceeding; 'a preliminary investigation',
83052,00835273,a,9,exploring thoroughly,
83053,00835349,a,9,(of a mine or oil well) drilled speculatively in an area not known to be productive; 'drilling there would be strictly a wildcat operation'; 'a wildcat mine'; 'wildcat drilling'; 'wildcat wells',
83054,00835597,a,9,not exploratory,
83055,00835722,a,9,given to inquiry; 'an inquiring mind',
83056,00835923,a,9,designed to find information or ascertain facts; 'a fact-finding committee'; 'investigative reporting',
83057,00836116,a,9,inquiring or appearing to inquire; 'an inquiring look'; 'the police are proverbially inquisitive',
83058,00836271,a,9,having the authority to conduct official investigations; 'the inquisitorial power of the Senate',
83059,00836427,a,9,marked by inquisitive interest; especially suggestive of an ecclesiastical inquisitor; 'the press was inquisitorial to the point of antagonism'; 'a practical police force with true inquisitorial talents'- Waldo Frank,
83060,00836703,a,9,diligent and thorough in inquiry or investigation; 'a probing inquiry'; 'a searching investigation of their past dealings',
83061,00836905,a,9,not inquiring,
83062,00836992,a,9,made greater in size or amount or degree,
83063,00837232,a,9,periodically accumulated over time; 'accrued interest'; 'accrued leave',
83064,00837371,a,9,added to or made greater in amount or number or strength; 'his augmented renown'; 'a greatly augmented collection of books',
83065,00837550,a,9,increased or intensified in value or beauty or quality; 'her enhanced beauty was the result of a good night's sleep rather than makeup'; 'careful cleaning was responsible for the enhanced value of the painting',
83066,00837815,a,9,enlarged beyond truth or reasonableness; 'had an exaggerated (or inflated) opinion of himself'; 'a hyperbolic style',
83067,00838013,a,9,enlarged to an abnormal degree; 'thick lenses exaggerated the size of her eyes',
83068,00838173,a,9,greatly increased as by multiplication,
83069,00838268,a,9,increased especially to abnormal levels; 'the raised prices frightened away customers'; 'inflated wages'; 'an inflated economy',
83070,00838462,a,9,become much greater in intensity or size or amount; 'we faced redoubled attacks from the enemy'; 'despite our redoubled efforts',
83071,00838646,a,9,made less in size or amount or degree,
83072,00838929,a,9,made smaller or less by melting or erosion or vaporization; 'the rocket's ablated head shield',
83073,00839077,a,9,reduced in strength; 'the faded tones of an old recording',
83074,00839223,a,9,(electronics) of an electrical signal; reduced in amplitude with little or no distortion,
83075,00839368,a,9,diminished or moderated; 'our bated enthusiasm'; 'his bated hopes',
83076,00839486,a,9,made to seem smaller or less (especially in worth); 'her comments made me feel small',
83077,00839648,a,9,(used of rates or prices) reduced usually sharply; 'the slashed prices attracted buyers',
83078,00839796,a,9,(of musical intervals) reduction by a semitone of any perfect or minor musical interval; 'a diminished fifth',
83079,00839962,a,9,reduced to the smallest possible size or amount or degree,
83080,00840075,a,9,(of a disease) characterized by periods of diminished severity; 'a remittent fever',
