nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
32026,05207532,n,9,the Slavic language of modern Macedonia,1969
32027,05207628,n,9,a Slavic language spoken in Bulgaria,1969
32033,05208808,n,9,a branch of the Germanic languages,1969
32035,05209381,n,9,the English language as used in the US,1969
32036,05209531,n,9,a nonstandard form of American English spoken by some American Black people,1969
32037,05209703,n,9,the nonstandard dialect of natives of the E end of London,1969
32038,05209814,n,9,standard southern British English,1969
32039,05209908,n,9,English from about 1100 to 1450,1969
32041,05210268,n,9,a dialect of Middle English,1969
32042,05210354,n,9,a dialect of Middle English that developed into Scottish Lallans,1969
32043,05210473,n,9,a dialect of Middle English,1969
32044,05210554,n,9,a dialect of Middle English,1969
32045,05210653,n,9,English since about 1450,1969
32046,05210738,n,9,English prior to about 1100,1969
32047,05210891,n,9,a literary dialect of Old English,1969
32048,05210981,n,9,one of the major dialects of Old English,1969
32049,05211075,n,9,one of the major dialects of Old English,1969
32050,05211178,n,9,the dialect of English spoken at Oxford University and regarded by many as affected and pretentious,1969
32051,05211338,n,9,the dialect of English used in Scotland,1969
32052,05211474,n,9,a dialect of English spoken in the Lowlands of Scotland,1969
32054,05211830,n,9,High German prior to 1200,1969
32055,05211917,n,9,High German from 1100 to 1500,1969
32057,05212168,n,9,a dialect of High German spoken in parts of Pennsylvania and Maryland,1969
32058,05212302,n,9,a German dialect spoken in northern Germany,1969
32059,05212453,n,9,Low German prior to 1200,1969
32060,05212533,n,9,Low German from 1100 to 1500,1969
32061,05212625,n,9,the West Germanic language of the Netherlands,1969
32064,05213082,n,9,the Germanic language of Scandinavia up until about 700,1969
32069,05213933,n,9,a Scandinavian language that is the official language of Iceland,1969
32070,05214053,n,9,a Scandinavian language that is spoken in Norway,1969
32029,05208040,n,9,a dead language of the non-German Prussians (extinct after 1700); thought to belong to the Baltic branch of Indo-European,1969
32073,05214484,n,9,a Scandinavian language that is the official language of Sweden and one of two official languages of Finland,1969
32074,05214646,n,9,a Scandinavian language (closely related to Icelandic) that is spoken on the Faroe Islands,1969
95328,02786893,a,9,of or relating to Mahatma Gandhi or his teachings,"1565,1718,2768"
32076,05214936,n,9,an extinct branch of the Germanic languages,1969
32078,05215289,n,9,a (postulated) group of languages including many of the indigenous languages of Russia (but not Russian),1969
32079,05215487,n,9,a family of Ural-Altaic languages,1969
32081,05215901,n,9,one of two branches of the Finno-Ugric languages; a family of languages including Finnish and Estonian (but not Hungarian),1969
32090,05217277,n,9,the official language of Estonia; belongs to the Baltic-Finnic family of languages,1969
32097,05218185,n,9,the official language of Hungary (also spoken in Rumania); belongs to the Ugric family of languages,1969
32080,05215645,n,9,a family of Uralic languages indigenous to Scandinavia and Hungary and Russia and westrn Siberia (prior to the Slavic expansion into those regions),1969
32093,05217618,n,9,the official language of Finland; belongs to the Baltic Finnic family of languages,1969
32082,05216151,n,9,the Finnic language spoken by the Votyak people,1969
32083,05216260,n,9,a group of Finnic languages spoken in the northwest Urals,1969
32084,05216406,n,9,the Finnic language spoken by the Komi people,1969
32085,05216511,n,9,a group of Finnic languages spoken around the Volga river,1969
32086,05216658,n,9,the Finnic language spoken by the Cheremis people,1969
32087,05216781,n,9,the Finnic language spoken by the Mordvin people,1969
32088,05216905,n,9,a group of Finnic languages including Finnish and Estonian,1969
32089,05217149,n,9,the Finnic language spoken by the people of Livonia in Estonia and Latvia,1969
32091,05217426,n,9,a Finnic language spoken by the people of Karelia,1969
32092,05217541,n,9,a Baltic-Finnic language,1969
32094,05217762,n,9,a Finnic language spoken by the Veps people,1969
32095,05217874,n,9,a Finnic language spoken by the Ingrian people,1969
32098,05218349,n,9,a Ugric language (related to Hungarian) spoken by the Ostyak people,1969
32099,05218478,n,9,the Ugric language (related to Hungarian) spoken by the Vogul people,1969
32100,05218606,n,9,any of the languages spoken by the Lapp people and generally assumed to be Uralic languages,1969
32101,05218778,n,9,the language of the nomadic Lapp people in N Scandinavia and the Kola Peninsula,1969
32102,05218915,n,9,the Uralic languages spoken by the Samoyed people in NW Siberia,1969
32103,05219116,n,9,a Uralic language spoken by a Samoyed people of N Siberia,1969
32104,05219260,n,9,the Uralic language spoken by the Yeniseian people,1969
32105,05219418,n,9,the Uralic language spoken by the Nganasan people,1969
32106,05219522,n,9,the Uralic language spoken by the Ostyak-Samoyed people,1969
32108,05219897,n,9,any of several related languages of the Celts in Ireland and Scotland,1969
32109,05220091,n,9,the Celtic language of Ireland,1969
32110,05220206,n,9,Irish Gaelic from 1100 to 1500,1969
32111,05220295,n,9,the Gaelic language of Scotland,1969
32112,05220403,n,9,the Gaelic language formerly spoken on the Isle of Man,1969
32113,05220508,n,9,a southern group of Celtic languages,1969
32114,05220666,n,9,a Celtic language of Wales,1969
32115,05220744,n,9,a Celtic language formerly spoken in Cornwall,1969
32116,05220843,n,9,a Celtic language of Brittany,1969
32117,05220925,n,9,a branch of the Indo-European languages of which Latin is the chief representative,1969
32119,05221298,n,9,an extinct Italic language of ancient S Italy,1969
32120,05221397,n,9,an extinct Italic language of ancient S Italy,1969
32121,05221494,n,9,an extinct Osco-Umbrian language of ancient Italy that survives only in a few inscriptions,1969
32122,05221640,n,9,any dialect of the language of ancient Rome,1969
32124,05222036,n,9,any dialect of Latin other than the classical,1969
32126,05222315,n,9,the form of Latin written between the 3rd and 8th centuries,1969
32127,05222448,n,9,Latin used for liturgical purposes during the Middle Ages,1969
32129,05222695,n,9,the group of languages derived from Latin,1969
32075,05214801,n,9,a West Germanic language spoken in the NW Netherlands; a near relative of English,1969
95329,02786997,a,9,in the manner of Paul Gauguin,2511
95330,02787085,a,9,of or relating to or in the manner of Goethe,2657
95331,02787213,a,9,of or relating to or in the manner of George Frederick Handel,2536
32130,05222955,n,9,the Romance language spoken in Italy,1969
32131,05223063,n,9,a dialect of Italian spoken in Tuscany (especially Florence),1969
32132,05223176,n,9,the Romance language spoken in France and in countries colonized by France,1969
32133,05223411,n,9,medieval provincial dialects of French spoken in central and northern France,1969
32134,05223568,n,9,medieval provincial dialects of French formerly spoken in the S of France,1969
32146,05225094,n,9,an extinct ancient language of unknown affinities; spoken by the Elamites,1969
32160,05227349,n,9,a Magadhan language spoken by the Bengali people; the official language of Bangladesh and West Bengal,1969
32162,05227669,n,9,an Indic language; the state language of Maharashtra in west central India; written in the Devanagari script,1969
32136,05223856,n,9,the medieval Norman dialect of Old French,1969
32137,05223976,n,9,the French (Norman) language used in medieval England,1969
32138,05224103,n,9,"the French language as spoken in Quebec, Canada",1969
32140,05224314,n,9,the Romance language spoken in Portugal and Brazil,1969
32141,05224439,n,9,the dialect of Portuguese (sometimes regarded as a dialect of Spanish) spoken in Galicia NW Spain,1969
32143,05224721,n,9,the Romance language spoken in most of Spain and the countries colonized by Spain,1969
32144,05224856,n,9,the Romance language spoken in Catalonia in E Spain (related to Spanish and Occitan),1969
32145,05224994,n,9,an eastern Romance language spoken in Rumania,1969
32147,05225241,n,9,an ancient language spoken by the Kassite people,1969
32148,05225353,n,9,a branch of the Indo-European language family that originated in central Asia during the first millennium A.D.,1969
32150,05225664,n,9,a dialect of Tocharian,1969
32152,05226187,n,9,the Indic language of the Sindhi people,1969
32153,05226279,n,9,the Indic language of the Gypsies,1969
32156,05226812,n,9,a form of Hindi spoken around Delhi,1969
32157,05226931,n,9,the Indic language spoken in Bihar (and by some people in Pakistan and Bangladesh),1969
32158,05227066,n,9,a subfamily of Indic languages,1969
32161,05227504,n,9,a Magadhan language that is spoken by the Oriya people and is the official language of the Indian state of Orissa,1969
32163,05227842,n,9,the Indic language spoken by the people of India who live in Gujarat in western India,1969
32164,05227993,n,9,the Indic language spoken by most people in Punjab in NW India,1969
32165,05228119,n,9,the Indic language spoken by the people of Sri Lanka,1969
32166,05228250,n,9,the branch of the Indo-European family of languages including the Indic and Iranian language groups,1969
32167,05228468,n,9,a branch of the Indo-Iranian family of languages,1969
32168,05228635,n,9,any of a group of Indic languages spoken in Kashmir and E Afghanistan and N Pakistan,1969
32171,05229050,n,9,a Dardic language spoken by the Kafir people in NE Afghanistan,1969
32172,05229165,n,9,the official state language of Kashmir,1969
32173,05229258,n,9,the official state language of Nepal,1969
32174,05229347,n,9,the modern Persian language spoken in Iran,1969
32175,05229624,n,9,an ancient Iranian language,1969
32176,05229712,n,9,an ancient Iranian language,1969
32177,05229792,n,9,the language of Persia (Iran) in any of its ancient forms,1969
32178,05229911,n,9,an Iranian language spoken in Afghanistan,1969
32179,05230018,n,9,an Iranian language spoken in Iran and Russia,1969
32180,05230116,n,9,an Iranian language spoken in Turkey and Iran and Iraq and Syria and Russia,1969
32181,05230245,n,9,an Iranian language spoken in Pakistan and Iran and Afghanistan and Russia and the Persian gulf,1969
32182,05230404,n,9,an Iranian language spoken in Afghanistan and Pakistan,1969
32183,05230538,n,9,a NE Iranian language spoken in Russia,1969
32185,05230937,n,9,the principal language of the Anatolian group,1969
32186,05231036,n,9,an Anatolian language,1969
32187,05231110,n,9,an Anatolian language,1969
32188,05231193,n,9,an Anatolian language,1969
32189,05231267,n,9,an Anatolian language,1969
32139,05224212,n,9,the medieval dialects of Langue d'oc,1969
95332,02787330,a,9,of or relating to Hegel or his dialectic philosophy,"1451,2768"
95333,02787436,a,9,in the manner of Ernest Hemingway,2657
32190,05231341,n,9,the Hellenic branch of the Indo-European family of languages,1969
32191,05231574,n,9,the Greek language as spoken and written today,1969
32192,05231715,n,9,the modern Greek vernacular,1969
32193,05231805,n,9,literary style of Modern Greek containing features borrowed from Koine,1969
32194,05231933,n,9,the Greek language in the 3rd to 8th centuries,1969
32195,05232036,n,9,the Greek language from about 600 to 1200 AD,1969
32196,05232174,n,9,a Greek dialect that flourished under the Roman Empire,1969
32197,05232280,n,9,the Greek language prior to the Roman Empire,1969
32199,05232612,n,9,the dialect of Ancient Greek spoken in Thessaly and Boeotia and Aeolis,1969
32200,05232743,n,9,the dialect of Ancient Greek spoken by Arcadians,1969
32201,05232845,n,9,the dialect of Ancient Greek spoken in the Peloponnesus,1969
32202,05232952,n,9,the dialect of Ancient Greek spoken in Ionia,1969
32203,05233048,n,9,a number of language spoken in the Caucasus that have no known affiliations to languages spoken elsewhere,1969
32204,05233284,n,9,a S Caucasian language with 3 million speakers and a long literary tradition,1969
32205,05233415,n,9,a N Caucasian language spoken by the Circassian people,1969
32206,05233526,n,9,a virtually extinct Caucasian language spoken exclusively in Turkey,1969
32207,05233645,n,9,a large family of languages spoken in south and central India and Sri Lanka,1969
32208,05233880,n,9,a Dravidian language spoken primarily in southern India,1969
32209,05234141,n,9,a Dravidian language closely related to Tamil that is spoken in a hilly section of SW India,1969
32210,05234284,n,9,a Dravidian language spoken by the Kodagu people,1969
32211,05234385,n,9,a Dravidian language spoken by the Kota people,1969
32212,05234490,n,9,the Dravidian language spoken by the Toda people in S India,1969
32213,05234600,n,9,the dialect of Kannada that is spoken by the Badaga people,1969
32214,05234711,n,9,a Dravidian language spoken in southern India,1969
32215,05234839,n,9,a Dravidian language spoken by the Tulu people,1969
32216,05234936,n,9,a Dravidian language (closely related to Tamil) that is spoken in SW India,1969
32217,05235066,n,9,the Dravidian language spoken since prehistoric times by the Tamil people in southern India and Sri Lanka,1969
32218,05235223,n,9,a Dravidian language spoken primarily in south central India,1969
32219,05235479,n,9,a Dravidian language spoken by the Telugu people in SE India,1969
32220,05235592,n,9,a Dravidian language spoke by the Savara people in SE India (north of Madras),1969
32221,05235722,n,9,a Dravidian language spoken by the Gond people in S central India,1969
32222,05235839,n,9,a Dravidian language spoken in south central India,1969
32223,05235941,n,9,a Dravidian language spoken in south central India,1969
32224,05236043,n,9,the Dravidian language spoken by the Kui people in SE India,1969
32226,05236249,n,9,a Dravidian language spoken primarily in central India,1969
32227,05236457,n,9,the Dravidian language spoken by the Kolam people in central India,1969
32228,05236576,n,9,a Dravidian language spoken in south central India,1969
32229,05236678,n,9,a Dravidian language spoken in south central India,1969
32230,05236780,n,9,a Dravidian language spoken in south central India,1969
32231,05236883,n,9,the Dravidian language spoken by the Gadaba people,1969
32232,05236986,n,9,a Dravidian language spoken primarily in eastern India,1969
32233,05237156,n,9,a Dravidian language spoken in eastern India,1969
32234,05237252,n,9,the Dravidian language spoken by the Malto people,1969
32237,05237634,n,9,a Chadic language spoken in northern Nigeria and closely related to Hausa,1969
32238,05237768,n,9,a Chadic language spoken in northern Nigeria and closely related to Hausa,1969
32239,05237893,n,9,a Chadic language spoken in northern Nigeria,1969
32240,05238004,n,9,a Chadic language spoken in northern Nigeria,1969
32241,05238099,n,9,a Chadic language spoken in northern Nigeria,1969
32242,05238195,n,9,a Chadic language spoken in northern Nigeria,1969
32244,05238574,n,9,a three-tone Chadic language,1969
32245,05238674,n,9,a Chadic language spoken south of Lake Chad,1969
32246,05238776,n,9,a Chadic language spoken south of Lake Chad,1969
32243,05238300,n,9,a group of Chadic languages spoken in northern Nigeria; Hausa in the most important member,1969
95334,02787530,a,9,of or relating to or suggestive of Adolph Hitler or his Nazi regime in Germany,2768
95335,02787664,a,9,in the manner of Victor Hugo,2657
32248,05239026,n,9,a Chadic language spoken south of Lake Chad,1969
32249,05239130,n,9,a Chadic language spoke south of Lake Chad,1969
32250,05239224,n,9,a Chadic language spoken south of Lake Chad,1969
32251,05239334,n,9,a Chadic language spoken south of Lake Chad,1969
32272,05242603,n,9,the Semitic language of the Arabs; spoken in a variety of dialects,1969
32304,05247393,n,9,the Bantu language of the Buganda people; spoken in Uganda,1969
32252,05239428,n,9,a Chadic language spoken south of Lake Chad,1969
32253,05239524,n,9,a Chadic language spoken south of Lake Chad,1969
32254,05239636,n,9,a Chadic language spoken south of Lake Chad,1969
32255,05239731,n,9,a group of Chadic languages spoken in the Cameroon-Nigeria border area south of Lake Chad,1969
32256,05240076,n,9,a Chadic language spoken in Chad,1969
32257,05240170,n,9,a Chadic language spoken in Chad,1969
32258,05240256,n,9,a Chadic language spoken in Chad,1969
32260,05240488,n,9,a Chadic language spoken in Chad,1969
32261,05240573,n,9,a Chadic language spoken in Chad,1969
32262,05240658,n,9,a group of Chadic languages spoken in Chad,1969
32263,05240866,n,9,an independent group of closely related Chadic languages spoken in the area between the Biu-Mandara and East Chadic languages,1969
32264,05241042,n,9,a family of Afroasiatic tonal languages (mostly two tones) spoken in the regions west and south of Lake Chad in north central Africa,1969
32265,05241324,n,9,a large family of related languages spoken both in Asia and Africa,1969
32266,05241645,n,9,a major branch of the Afro-Asiatic language family,1969
32267,05241839,n,9,the ancient Canaanitic language of the Hebrews that has been revived as the official language of Israel,1969
32269,05242129,n,9,an ancient branch of the Semitic languages,1969
32270,05242244,n,9,an extinct language of the Assyrians regarded as a dialect of Akkadian,1969
32273,05242740,n,9,an ancient group of related Semitic dialects some of which are still spoken in Syria,1969
32274,05242896,n,9,the form of Aramaic that was spoken in Palestine in the time of the New Testament,1969
32275,05243040,n,9,a group of Semitic languages,1969
32276,05243219,n,9,the extinct language of the Semitic people who occupied Canaan before the Israelite conquest,1969
32277,05243367,n,9,the extinct language of an ancient Semitic people who dominated trade in the ancient world,1969
32278,05243532,n,9,the Phoenician dialect of ancient Carthage,1969
32279,05243626,n,9,an extinct Semitic language of northern Syria,1969
32280,05243726,n,9,a group of North African languages related to Semitic,1969
32284,05244362,n,9,the dialect of Berber spoken by the Tuareg people,1969
32285,05244464,n,9,a group of languages spoken in Ethiopia and Somalia and NW Kenya and adjacent regions,1969
32286,05244622,n,9,the Cushitic language spoken by the Somali people,1969
32289,05245202,n,9,a group of languages spoken in the relatively small Kordofan area of the south Sudan,1969
32290,05245344,n,9,a family of African language spoken in west Africa,1969
32291,05245560,n,9,a family of languages widely spoken in the southern half of the African continent,1969
32292,05246126,n,9,the Bantu language of the Chewa people of east central Africa,1969
32293,05246242,n,9,a Bantu language spoken in southern Somalia,1969
32294,05246340,n,9,a Bantu language that is one of the two major languages of Zimbabwe,1969
32296,05246548,n,9,a Bantu language spoken in western Kenya,1969
32297,05246641,n,9,a Bantu language spoken in the coastal regions of eastern Kenya,1969
32298,05246758,n,9,a Bantu language spoken by the Kamba people in Kenya,1969
32299,05246862,n,9,a Bantu language spoken by the Chaga people in northern Tanzania,1969
32300,05246997,n,9,a Bantu language,1969
32301,05247071,n,9,a Bantu language,1969
32302,05247143,n,9,the Bantu language spoken by the Kongo people living in the tropical forests of Zaire and Congo and Angola,1969
32303,05247301,n,9,a Bantu language spoken in southern Zaire,1969
32305,05247505,n,9,a Bantu language,1969
32306,05247573,n,9,a Bantu language,1969
32268,05242013,n,9,Hebrew used in Israel today; revived from ancient Hebrew,1969
32307,05247641,n,9,a Bantu language spoken in southern coastal Tanzania,1969
32308,05247745,n,9,a group of southern Bantu languages,1969
32309,05247904,n,9,a Bantu language sometimes considered a dialect of Zulu,1969
32310,05248024,n,9,a Bantu language closely related to Zulu,1969
32324,05249988,n,9,a West African language closely related to Fula; spoken primarily in Senegal and Gambia,1969
32342,05252535,n,9,"a diagram or picture illustrating textual material: ""the area covered can be seen from Figure 2""",1422
32311,05248116,n,9,a Bantu language closely related to Zulu,1969
32312,05248208,n,9,a Bantu language of considerable literary importance in southeastern Africa,1969
32313,05248334,n,9,a Bantu language spoken in central Tanzania,1969
32314,05248432,n,9,a Bantu language spoken in the Kenyan coastal areas of East Africa,1969
32315,05248551,n,9,any of the mutually intelligible southern Bantu languages of the Sotho people in Botswana and South Africa and Lesotho,1969
32316,05248757,n,9,a Bantu language spoken in Angola,1969
32318,05248982,n,9,the dialect of Sotho spoken by the Tswana people in Botswana,1969
32320,05249316,n,9,the language of the Tonga people of south central Africa (Zambia and Rhodesia),1969
32321,05249446,n,9,a group of Niger-Congo languages spoken primarily in SE Mali and N Ghana,1969
32322,05249578,n,9,a group of languages spoken in the extreme western part of West Africa,1969
32325,05250127,n,9,the West AFrican language of the Wolof people in Senegal,1969
32326,05250235,n,9,a group of African languages in the Niger-Congo group spoken from Senegal east as far as the Ivory Coast,1969
32327,05250391,n,9,a group of African language in the Niger-Congo group spoken from the Ivory Coast east to Nigeria,1969
32328,05250591,n,9,a Kwa language spoken by the Yoruba people in SW Nigeria,1969
32329,05250706,n,9,a Kwa language spoken in Ghana and the Ivory Coast,1969
32330,05250807,n,9,a Kwa language spoken by the Ewe people in Ghana and Togo and Benin,1969
32331,05250924,n,9,a family of E African languages spoken by Nilotic peoples from the Sahara south to Kenya and Tanzania,1969
32334,05251528,n,9,a Nilotic language,1969
32335,05251598,n,9,a Nilotic language,1969
32336,05251666,n,9,a Nilotic language,1969
32337,05251736,n,9,a Nilo-Saharan language spoken in parts of Chad,1969
32338,05251837,n,9,a Nilo-Saharan language spoken by the Songhai people in Mali and Niger,1969
32339,05251961,n,9,photographs or other visual representations in a printed publication,1422
32340,05252175,n,9,artwork that helps make something clear or attractive,1422
32346,05253348,n,9,(electronics) a graph of frequency response with signal amplitude or gain plotted against frequency,2284
32361,05255565,n,9,a sequence of drawings in a newspaper telling a story,1422
32323,05249761,n,9,a family of languages of the Fula people of west Africa in the sub-Shara regions from Senegal to Chad; the best known of the West African Niger-Congo languages,1969
95285,02781577,a,9,"relating to the Alps and their inhabitants: ""Alpine countries, Switzerland, Italy, France, and Germany""","1820,2121,2772"
32366,05256340,n,9,the art of writing and producing plays,2610
32369,05256907,n,9,the production of a drama on the stage,"1935,2425"
32370,05257041,n,9,a highly successful theatrical production,"1935,2425"
32379,05258594,n,9,"a subdivision of an act of a play: ""the first act has three scenes""","2610,2657"
32385,05259571,n,9,"words making up the dialogue of a play: ""the actor forgot his lines""","1969,2610,2657"
32380,05258732,n,9,a written version of a play or other dramatic composition; used in preparing for a performance,"2610,2657"
32396,05261047,n,9,"a linear string of words expressing some idea: ""the letter consisted of three short lines""",1969
32368,05256705,n,9,"a presentation for the stage or screen or radio or television: ""have you seen the new production of Hamlet?""","1935,2425"
32407,05262807,n,9,drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity,"2610,2657"
32371,05257144,n,9,a sensational bit of stagecraft,"1935,2425"
32415,05264069,n,9,a theatrical entertainment of broad and earthy humor; consists of comic skits and short turns (and sometimes striptease),"1935,2610"
32420,05264726,n,9,an allegorical play popular in the 15th and 16th centuries; characters personified virtues and vices,"2610,2657"
32387,05259958,n,9,an actor's line that immediately precedes and serves as a reminder for some action or speech,1969
32372,05257256,n,9,a play for performance on the stage or television or in a movie etc.,"2610,2657"
32376,05258261,n,9,an introduction to a play,"2610,2657"
32377,05258360,n,9,a short play,"2610,2657"
32378,05258426,n,9,a subdivision of a play or opera or ballet,"2536,2610,2621,2657"
32381,05259025,n,9,the copy of the playscript used by the prompter,"2610,2657"
32382,05259143,n,9,a detailed script used in making a film in order to avoid discontinuities from shot to shot,"2610,2657"
32383,05259291,n,9,the lines spoken by characters in drama or fiction,"2610,2657"
32384,05259442,n,9,a part of the script in which the speaking roles are limited to two actors,"2610,2657"
32386,05259824,n,9,a line spoken by an actor to the audience but not intended for others on the stage,1969
32388,05260118,n,9,a (usually long) dramatic speech by a single actor,1969
32389,05260224,n,9,a (usually long) dramatic speech intended to give the illusion of unspoken reflections,1969
32390,05260366,n,9,words spoken in a casual way with conscious under-emphasis,1969
32391,05260480,n,9,a cue given to a performer (usually the beginning of the next line to be spoken),1969
32392,05260613,n,9,the words of an opera or musical play,"2536,2610,2657"
32393,05260705,n,9,an outline or synopsis of a play,"2610,2657"
32395,05260927,n,9,the final detailed script for making a movie or TV program,"2610,2657"
32397,05261386,n,9,plausible glib talk (especially useful to a salesperson),1969
32398,05261517,n,9,a linear sequence of words as spoken or written,1969
32403,05262250,n,9,a grouping of words in a sentence,1969
32404,05262341,n,9,drama more suitable for reading that for performing,"2610,2657"
32405,05262451,n,9,light and humorous drama with a happy ending,"2610,2657"
32406,05262692,n,9,a comedy with serious elements or overtones,"2610,2657"
32408,05263002,n,9,a dramatic composition involving elements of both tragedy and comedy usually with the tragic predominating,"2610,2657"
32409,05263166,n,9,a humorous television program based on situations that could arise in everyday life,1935
32411,05263511,n,9,a humorous drama based on situations that might arise in day-to-day life,"2610,2657"
32412,05263646,n,9,Italian comedy of the 16th to 18th centuries improvised from standardized situations and stock characters,"2610,2657"
32413,05263816,n,9,an extravagant comedy in which action is more salient than characterization,"2610,2657"
32414,05263947,n,9,a boisterous comedy with chases and collisions and practical jokes,"2610,2657"
32416,05264245,n,9,a comedy characterized by broad satire and improbable situations,"2610,2657"
32418,05264489,n,9,a comedy characterized by slapstick and burlesque,"2610,2657"
32419,05264595,n,9,a medieval play representing episodes from the life of a saint or martyr,"2610,2657"
32373,05257517,n,9,"a dramatic work intended for performance by actors on a stage: ""he wrote several plays but only one was produced on Broadway""","2610,2657"
95286,02781733,a,9,"relating to or characteristic of alps: ""alpine sports""","2121,2772"
32421,05264886,n,9,a medieval play representing episodes from the life of Christ,"2610,2657"
32422,05265006,n,9,a play representing the Passion of Christ,"2610,2657"
32423,05265106,n,9,an ancient Greek burlesque with a chorus of satyrs,"2610,2657"
32425,05265364,n,9,a play or film whose action and dialogue is interspersed with singing and dancing,"2536,2610"
32426,05265552,n,9,a short play presented before the main play,2610
32468,05272723,n,9,a subordinate musical part; provides background for more important parts,2536
32454,05270417,n,9,"a succession of notes forming a distinctive sequence: ""she was humming an air from Beethoven""",2536
32427,05265656,n,9,a drama executed by throwing shadows on a wall,"1935,2425"
32428,05265789,n,9,a show in which the actors are puppets,"1935,2425"
32429,05265899,n,9,a form of erotic entertainment in which a person gradually undresses to music,"1935,2425"
32430,05266046,n,9,a variety show with topical sketches and songs and dancing and comedians,"1935,2425"
32431,05266197,n,9,a revue with elaborate costuming,"1935,2425"
32432,05266283,n,9,a show consisting of a series of short unrelated performances,"1935,2425"
32433,05266449,n,9,a variety show with songs and comic acts etc.,"1935,2425"
32434,05266564,n,9,an artistic form of nonverbal communication,2621
32437,05267811,n,9,music consisting of a single vocal part (usually with accompaniment),2536
32438,05267951,n,9,music arranged in parts for several voices or instruments,2536
32439,05268119,n,9,music that uses two or more different keys at the same time,2536
32440,05268252,n,9,music adapted to the understanding and taste of the majority,2536
32441,05268369,n,9,a musical form involving the simultaneous sound of two or more melodies,2536
32442,05268499,n,9,music conforming to an established form and appealing to critical interest and developed musical taste,2536
32443,05268805,n,9,serious music performed by a small group of musicians,2536
32445,05269194,n,9,opera with a happy ending and in which some of the text is spoken,2536
32446,05269375,n,9,opera in which all the text is sung,2536
32448,05269638,n,9,a short amusing opera,2536
32449,05269728,n,9,the structure of music with respect to the composition and progression of chords,2536
102088,W0003121,n,10,"nell'architettura classica, stile architettonico caratterizzato da determinati rapporti strutturali ed elementi decorativi; ordine ionico; ordine corinzio",2446
34514,05578076,n,9,disgust so strong it makes you feel sick,1502
34528,05579963,n,9,a painful emotion resulting from an awareness of inadequacy or guilt,1502
34530,05580284,n,9,shame resulting from strong dislike of yourself or your actions,1502
34531,05580420,n,9,the shame you feel when your inadequacy or guilt is made public,1502
34533,05580828,n,9,feeling embarrassed about yourself,1502
34534,05580938,n,9,strong feelings of embarrassment,1502
34535,05581054,n,9,a feeling of embarrassment that leaves you confused,1502
34536,05581180,n,9,feeling embarrassed due to modesty,1502
34537,05581284,n,9,anxious embarrassment,1502
34538,05581430,n,9,a feeling of self-respect and personal worth,1502
34539,05581613,n,9,a feeling of pride in yourself,1502
34540,05581714,n,9,an inflated feeling of pride in your superiority to others,1502
34541,05581850,n,9,feelings of excessive pride,1502
34543,05582161,n,9,the feeling of patient submissive humbleness,1502
34551,05583266,n,9,the feeling that something is about to happen,1502
34552,05583387,n,9,pleasurable expectation,1502
34555,05583804,n,9,nervous excitement of an inexperienced hunter,1502
34515,05578169,n,9,"a feeling of thankfulness and appreciation: ""he was overwhelmed with gratitude for their help""",1502
34557,05584043,n,9,feeling an inappropriate lack of seriousness,1502
34558,05584176,n,9,a festive merry feeling,1502
34559,05584266,n,9,a solemn and dignified feeling,1502
34560,05584398,n,9,an earnest and sincere feeling,1502
34561,05584512,n,9,sensitivity to emotional feelings (of self and others),1502
34562,05584730,n,9,sensitivity leading to easy irritation or upset,1502
34565,05585222,n,9,a feeling of understanding,1502
34566,05585334,n,9,a sensuous feeling,1502
34569,05585811,n,9,a feeling of restless agitation,1502
34572,05586217,n,9,"an extreme state of worry and agitation: ""his stewing over the fight kept him awake most of the night""",1502
34568,05585608,n,9,the feeling of being agitated; not calm,1502
34575,05586574,n,9,"keen and shared excitement: ""the stage crackled with electricity whenever she was on it""",1502
34576,05586720,n,9,"a general feeling of excitement: ""the announcement caused a sensation""",1502
34587,05588413,n,9,"a feeling of intense anger: ""hell hath no fury like a woman scorned""; ""his face turned red with rage""",1502
34578,05587029,n,9,a feeling of calmness; a quiet and undisturbed feeling,1502
34579,05587152,n,9,"calm and unruffled self-assurance; ""he performed with all the coolness of a veteran""",1502
34585,05588172,n,9,"a feeling of intense indignation (now used only in the phrase ""in high dudgeon"")",1502
34596,05589637,n,9,"a sudden outburst of anger: ""his temper sparked like damp firewood""",1502
34593,05589169,n,9,"a feeling of anger and animosity: ""having one's hackles or dander up""",1502
34612,05592156,n,9,"a feeling of evil to come: ""a steadily escalating sense of foreboding""; ""the lawyer had a presentiment that the judge would dismiss the case""",1502
34571,05586117,n,9,a restless desire for change and excitement,1502
34573,05586373,n,9,emotional agitation and excitement,1502
34574,05586494,n,9,violent agitation,1502
34580,05587339,n,9,a state of peace and quiet,1502
34581,05587497,n,9,the absence of mental stress or anxiety,1502
34582,05587663,n,9,a state of refreshing tranquility,1502
34583,05587782,n,9,a relaxed comfortable feeling,1502
34586,05588321,n,9,intense anger (usually on an epic scale),1502
34588,05588618,n,9,a state of fury so great the face becomes discolored,1502
34589,05588725,n,9,a feeling of intense anger,1502
34591,05588960,n,9,a feeling of righteous anger,1502
