11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
72909,π00122,πάθνη,n,n-s---fn1e,πάθνης,πάθνη,0
72963,π00174,παιδεράστρια,n,n-s---fn1s,παιδεράστριας,παιδεράστρια,0
72964,π00175,παιδέρως,n,----------,,παιδέρως,0
72965,π00176,παίδευμα,n,n-s---nn3t,παιδεύματος,παίδευμα,0
72966,π00177,παίδευσις,n,n-s---fn3v,παιδευσέως,παίδευσις,0
72967,π00178,παιδευτέος,a,aps---mn1-,παιδευτέος παιδευτέα παιδευτέον,παιδευτέος,0
72968,π00179,παιδευτήριον,n,n-s---nn2-,παιδευτηρίου,παιδευτήριον,0
72969,π00180,παιδευτής,n,n-s---mn1e,παιδευτού,παιδευτής,0
72971,π00182,παιδευτός,a,aps---mn1-,παιδευτός παιδευτή παιδευτόν,παιδευτός,0
72972,π00183,παιδεύω,v,----------,,παιδεύω,0
72974,π00185,παιδία,n,n-s---fn1l,παιδίας,παιδία,0
72975,π00186,παιδιά,n,n-s---fn1l,,παιδιά,0
72976,π00187,παιδιακός,a,aps---mn1-,παιδιακός παιδιακή παιδιακόν,παιδιακός,0
72977,π00188,παιδικός,a,aps---mn1-,παιδικός παιδική παιδικόν,παιδικός,0
72978,π00189,παιδικυνηγεσία,n,n-s---fn1l,παιδικυνηγεσίας,παιδικυνηγεσία,0
72979,π00190,παιδιόθεν,r,----------,,παιδιόθεν,0
72980,π00191,παίδιον,n,n-s---nn2-,παιδίου,παίδιον,0
72981,π00192,παιδιότης,n,n-s---fn3t,παιδιότητος,παιδιότης,0
72984,π00195,παιδίσκη,n,n-s---fn1e,παιδίσκης,παιδίσκη,0
72985,π00196,παιδισκιωρός,n,----------,,παιδισκιωρός,0
72986,π00197,παίδισκος,n,n-s---mn2-,παιδίσκου,παίδισκος,0
72988,π00199,παιδνός,a,aps---mn1-,παιδνός παιδνή παιδνόν,παιδνός,0
72989,π00200,παιδοβόρος,a,aps---cn2-,παιδοβόρος παιδοβόρος παιδοβόρον,παιδοβόρος,0
72991,π00202,παιδοβρώς,n,n-s---cn3d,παιδοβρῶτος,παιδοβρώς,0
72992,π00203,παιδοβρωσία,n,n-s---fn1l,παιδοβρωσίας,παιδοβρωσία,0
72993,π00204,παιδόβρωτος,n,----------,,παιδόβρωτος,0
72994,π00206,παιδογονία,n,n-s---fn1l,παιδογονίας,παιδογονία,0
72995,π00205,παιδογόνια,n,n-p---nn2-,παιδογονίων,παιδογόνια,0
72996,π00207,παιδογόνος,a,aps---cn2-,παιδογόνος παιδογόνος παιδογόνον,παιδογόνος,0
72997,π00208,παιδοδιδάσκαλος,n,n-s---mn2-,παιδοδιδασκάλου,παιδοδιδάσκαλος,0
72998,π00209,παιδόεις,a,aps---mn4i,παιδόεις παιδόεσσα παιδόεν,παιδόεις,0
72999,π00210,παίδοθεν,r,----------,,παίδοθεν,0
73000,π00211,παιδοκομέω,v,----------,,παιδοκομέω,0
73002,π00213,παιδοκόμος,a,aps---cn2-,παιδοκόμος παιδοκόμος παιδοκόμον,παιδοκόμος,0
73003,π00214,παιδοκόραξ,n,n-s---mn3e,παιδοκόρακος,παιδοκόραξ,0
73004,π00215,παιδοκόρης,n,n-s---mn1e,παιδοκόρου,παιδοκόρης,0
73005,π00216,παιδοκράτωρ,n,----------,,παιδοκράτωρ,0
73006,π00217,παιδοκτίσω,v,----------,,παιδοκτίσω,0
72960,π00171,παιδεραστής,n,n-s---mn1e,παιδεραστού,παιδεραστής,0
73011,π00222,παιδολέτις,n,n-s---fn3d,παιδολέτιδος,παιδολέτις,0
73013,π00224,παιδολέτωρ,n,n-s---cn3r,παιδολέτορος,παιδολέτωρ,0
73014,π00225,παιδολυμάς,n,n-s---fn3d,παιδολυμάδος,παιδολυμάς,0
73015,π00226,παιδομαθής,a,aps---cn5s,παιδομαθής παιδομαθής παιδομαθές,παιδομαθής,0
73016,π00227,παιδομαθία,n,n-s---fn1l,παιδομαθίας,παιδομαθία,0
73018,π00229,παιδομανία,n,n-s---fn1l,παιδομανίας,παιδομανία,0
73019,π00230,παιδονομέω,v,----------,,παιδονομέω,0
73020,π00231,παιδονομία,n,n-s---fn1l,παιδονομίας,παιδονομία,0
73021,π00232,παιδονομικός,a,aps---mn1-,παιδονομικός παιδονομική παιδονομικόν,παιδονομικός,0
73022,π00233,παιδονόμος,n,n-s---mn2-,παιδονόμου,παιδονόμος,0
73023,π00234,παιδόπαις,n,----------,,παιδόπαις,0
73024,π00235,παιδοπίπης,n,n-s---mn1e,παιδοπίπου,παιδοπίπης,0
73025,π00236,παιδοποιέω,v,----------,,παιδοποιέω,0
73027,π00238,παιδοποίησις,n,n-s---fn3v,παιδοποιησέως,παιδοποίησις,0
73028,π00239,παιδοποιητέον,a,----------,,παιδοποιητέον,0
73030,π00241,παιδοποιός,a,aps---cn2-,παιδοποιός παιδοποιός παιδοποιόν,παιδοποιός,0
73031,π00242,παιδοπόρος,a,aps---cn2-,παιδοπόρος παιδοπόρος παιδοπόρον,παιδοπόρος,0
73032,π00244,παιδοσπορέω,v,----------,,παιδοσπορέω,0
73034,π00246,παιδοσύνη,n,n-s---fn1e,παιδοσύνης,παιδοσύνη,0
73035,π00247,παιδοτόκος,a,aps---cn2-,παιδοτόκος παιδοτόκος παιδοτόκον,παιδοτόκος,0
73036,π00248,παιδοτριβέω,v,----------,,παιδοτριβέω,0
73037,π00249,παιδοτρίβης,n,n-s---mn1e,παιδοτρίβου,παιδοτρίβης,0
73038,π00250,παιδοτριβία,n,n-s---fn1l,παιδοτριβίας,παιδοτριβία,0
73040,π00252,παιδότριψ,n,n-s---mn3l,παιδότριβος,παιδότριψ,0
73041,π00253,παιδοτροφέω,v,----------,,παιδοτροφέω,0
73042,π00254,παιδοτροφία,n,n-s---fn1l,παιδοτροφίας,παιδοτροφία,0
73045,π00257,παιδότρωτος,a,aps---cn2-,παιδότρωτος παιδότρωτος παιδότρωτον,παιδότρωτος,0
73046,π00258,παιδουργέω,v,----------,,παιδουργέω,0
73047,π00259,παιδουργία,n,n-s---fn1l,παιδουργίας,παιδουργία,0
73048,π00260,παιδουργός,a,aps---cn2-,παιδουργός παιδουργός παιδουργόν,παιδουργός,0
73049,π00243,παιδοῦς,a,aps---mn1c,παιδοῦς παιδοῦσσα παιδοῦν,παιδοῦς,0
73050,π00261,παιδοφάγος,n,----------,,παιδοφάγος,0
73051,π00262,παιδοφιλέω,v,----------,,παιδοφιλέω,0
73053,π00264,παιδόφιλος,a,aps---cn2-,παιδόφιλος παιδόφιλος παιδόφιλον,παιδόφιλος,0
73054,π00265,παιδοφονεύς,n,n-s---mn3v,παιδοφονέως,παιδοφονεύς,0
73055,π00266,παιδοφονία,n,n-s---fn1l,παιδοφονίας,παιδοφονία,0
73010,π00221,παιδολετήρ,n,n-s---mn3r,παιδολετῆρος,παιδολετήρ,0
73068,π00276,παικτικός,a,aps---mn1-,παικτικός παικτική παικτικόν,παικτικός,0
73069,π00277,πάϊλλος,n,n-s---mn2-,παΐλλου,πάϊλλος,0
73070,π00603,παῖμα,n,n-s---nn3t,παίματος,παῖμα,0
73071,π00278,παίνεται,n,----------,,παίνεται,0
73072,,Παίονες,n,----------,,Παίονες,0
73073,,Παιόνια,n,----------,,Παιόνια,0
73074,π00279,παιονίη,n,----------,,παιονίη,0
73076,π00281,παιπαλάω,v,----------,,παιπαλάω,0
73077,π00282,παιπάλεος,a,----------,,παιπάλεος,0
73078,π00283,παιπάλη,n,n-s---fn1e,παιπάλης,παιπάλη,0
73079,π00284,παιπάλημα,n,n-s---nn3t,παιπαλήματος,παιπάλημα,0
73080,π00285,παιπάλιμος,a,aps---cn2-,παιπάλιμος παιπάλιμος παιπάλιμον,παιπάλιμος,0
73081,π00286,παιπαλόεις,a,aps---mn4i,παιπαλόεις παιπαλόεσσα παιπαλόεν,παιπαλόεις,0
73082,π00287,παίπαλον,n,n-s---nn2-,παιπάλου,παίπαλον,0
73083,π00288,παιπαλώδης,a,aps---cn3s,παιπαλώδης παιπαλώδης παιπαλώ͂δες,παιπαλώδης,0
73084,π03390,παῖς,n,n-s---mn3u,παιδός,παῖς,0
73085,π00289,παίσδω,v,----------,,παίσδω,0
73086,π00290,παιστέον,v,----------,,παιστέον,0
73087,π00291,παίστης,n,n-s---mn1e,παίστου,παίστης,0
73088,π00292,παιστικός,a,aps---mn1-,παιστικός παιστική παιστικόν,παιστικός,0
73089,π03460,παῖστρα,n,n-s---fn1s,παῖστρης,παῖστρα,0
73090,π00293,παίταυρα,n,----------,,παίταυρα,0
73091,π00294,παιφάσσω,v,----------,,παιφάσσω,0
73092,π00295,παίχνιον,n,n-s---nn2-,παιχνίου,παίχνιον,0
73093,π00296,παίω,v,----------,,παίω,0
73094,,Παιών,n,----------,,Παιών,0
73096,π00297,παιωνία,n,n-s---fn1l,παιωνίας,παιωνία,0
73057,π00268,παιδοφόντης,n,n-s---mn1e,παιδοφόντου,παιδοφόντης,0
73058,π00269,παιδοφορέω,v,----------,,παιδοφορέω,0
73059,π00270,παιδοφύλαξ,n,----------,,παιδοφύλαξ,0
73060,π00271,παίδωσις,n,n-s---fn3v,παιδωσέως,παίδωσις,0
73061,π00272,παίζω,v,v1spia--1-,,παίζω,0
73062,,Παιηόνιος,a,aps---mn1-,Παιηόνιος Παιηόνια Παιηόνιον,Παιηόνιος,0
73063,,Παιηοσύνη,n,n-s---fn1e,Παιηοσύνης,Παιηοσύνη,0
73064,π00273,παιητέον,v,----------,,παιητέον,0
73065,,Παιήων,n,n-s---mn3n,Παιήονος,Παιήων,0
73066,π00274,παικτέον,n,----------,,παικτέον,0
73067,π00275,παίκτης,n,n-s---mn1e,παίκτου,παίκτης,0
73528,π00717,παμωχέω,v,----------,,παμωχέω,0
73714,,Πάνεμος,n,----------,,Πάνεμος,0
74073,π01229,πάξ,n,----------,,πάξ,0
74461,π01621,παρακαταβολή,n,n-s---fn1e,παρακαταβολῆς,παρακαταβολή,0
74462,π01622,παρακαταγωγή,n,n-s---fn1e,παρακαταγωγῆς,παρακαταγωγή,0
74463,π01623,παρακαταζεύγνυμι,v,----------,,παρακαταζεύγνυμι,0
74464,π01624,παρακαταθάπτω,v,----------,,παρακαταθάπτω,0
74465,π01625,παρακαταθετέον,a,----------,,παρακαταθετέον,0
74466,π01626,παρακαταθήκη,n,n-s---fn1e,παρακαταθήκης,παρακαταθήκη,0
74467,π01627,παρακαταθνῄσκω,v,----------,,παρακαταθνῄσκω,0
74468,π01628,παρακατάκειμαι,v,----------,,παρακατάκειμαι,0
74469,π01629,παρακατακλίνω,v,----------,,παρακατακλίνω,0
74470,π01630,παρακαταλείπω,v,----------,,παρακαταλείπω,0
74471,π01631,παρακαταλέχομαι,v,----------,,παρακαταλέχομαι,0
74472,π01632,παρακαταλογή,n,n-s---fn1e,παρακαταλογῆς,παρακαταλογή,0
74473,π01633,παρακαταπήγνυμι,v,----------,,παρακαταπήγνυμι,0
74474,π01634,παρακατασκευάζω,v,----------,,παρακατασκευάζω,0
74475,π01635,παρακατάστασις,n,n-s---fn3v,παρακαταστασέως,παρακατάστασις,0
74478,π01638,παρακαταχράομαι,v,----------,,παρακαταχράομαι,0
74479,π01639,παρακάτειμι,v,----------,,παρακάτειμι,0
74480,π01640,παρακατεσθίω,v,----------,,παρακατεσθίω,0
74481,π01641,παρακατέχω,v,----------,,παρακατέχω,0
74483,π01643,παρακατοικίζω,v,----------,,παρακατοικίζω,0
74484,π01644,παρακατορύσσω,v,----------,,παρακατορύσσω,0
74485,π01645,παρακαττύω,v,----------,,παρακαττύω,0
74486,π01646,παρακάτω,r,rp--------,,παρακάτω,0
74487,π01647,παρακαυδωτόν,n,----------,,παρακαυδωτόν,0
74488,π01648,παρακαυλίζω,v,----------,,παρακαυλίζω,0
74489,π01649,παράκαυσις,n,n-s---fn3v,παρακαυσέως,παράκαυσις,0
74491,π01651,παράκειμαι,v,----------,,παράκειμαι,0
74493,π01653,παρακεκαλυμμένως,r,----------,,παρακεκαλυμμένως,0
74494,π01654,παρακεκινδυνευμένως,r,----------,,παρακεκινδυνευμένως,0
74495,π01655,παρακεκλιμένως,n,----------,,παρακεκλιμένως,0
74496,π01656,παρακεκομμένως,r,----------,,παρακεκομμένως,0
74498,π01658,παρακελεύομαι,v,----------,,παρακελεύομαι,0
74500,π01660,παρακέλευσμα,n,----------,,παρακέλευσμα,0
74502,π01662,παρακελευσμός,n,----------,,παρακελευσμός,0
74503,π01663,παρακελευστέον,a,----------,,παρακελευστέον,0
74505,π01665,παρακελευστικός,a,aps---mn1-,παρακελευστικός παρακελευστική παρακελευστικόν,παρακελευστικός,0
74506,π01666,παρακελευστός,a,aps---mn1-,παρακελευστός παρακελευστή παρακελευστόν,παρακελευστός,0
74507,π01667,παρακελητίζω,v,----------,,παρακελητίζω,0
74508,π01668,παρακέλομαι,v,----------,,παρακέλομαι,0
74509,π01669,παρακενόω,v,----------,,παρακενόω,0
74510,π01670,παρακεντέω,v,----------,,παρακεντέω,0
74513,π01673,παρακεντητήριον,n,n-s---nn2-,παρακεντητηρίου,παρακεντητήριον,0
74514,π01674,παρακεντητής,n,n-s---mn1e,παρακεντητού,παρακεντητής,0
74515,π01675,παρακεντητικός,a,aps---mn1-,παρακεντητικός παρακεντητική παρακεντητικόν,παρακεντητικός,0
74516,π01676,παρακένωσις,n,n-s---fn3v,παρακενωσέως,παρακένωσις,0
74517,π01677,παρακερδαίνω,v,----------,,παρακερδαίνω,0
74518,π01678,παρακερκίς,n,n-s---fn3d,παρακερκίδος,παρακερκίς,0
74520,π01680,παρακινδύνευμα,n,----------,,παρακινδύνευμα,0
74522,π01682,παρακινδυνευτέον,v,----------,,παρακινδυνευτέον,0
74524,π01684,παρακινδυνεύω,v,----------,,παρακινδυνεύω,0
74477,π01637,παρακατατίθημι,v,----------,,παρακατατίθημι,0
74531,π01691,παρακίρναμαι,v,----------,,παρακίρναμαι,0
74532,π01692,παρακίω,v,----------,,παρακίω,0
74533,π01693,παρακλαίω,v,----------,,παρακλαίω,0
74534,π01694,παρακλάομαι,v,----------,,παρακλάομαι,0
74535,π01695,παράκλασις,n,n-s---fn3v,παρακλασέως,παράκλασις,0
74536,π01696,παρακλαυσίθυρον,n,n-s---nn2-,παρακλαυσιθύρου,παρακλαυσίθυρον,0
74537,π01697,παρακλείδιος,v,----------,,παρακλείδιος,0
74538,π01698,παρακλείω,v,----------,,παρακλείω,0
74539,π01699,παρακλέπτω,v,----------,,παρακλέπτω,0
74540,π01700,παρακληί̈ω,v,----------,,παρακληί̈ω,0
74542,π01702,παρακλητέος,a,aps---mn1-,παρακλητέος παρακλητέα παρακλητέον,παρακλητέος,0
74543,π01703,παρακλητεύω,v,----------,,παρακλητεύω,0
74544,π01704,παρακλητικός,a,aps---mn1-,παρακλητικός παρακλητική παρακλητικόν,παρακλητικός,0
74546,π01706,παρακλήτρια,n,n-s---fn1s,παρακλήτριας,παρακλήτρια,0
74547,π01707,παρακλήτωρ,n,n-s---mn3r,παρακλήτορος,παρακλήτωρ,0
74548,π01708,παρακλιδόν,r,----------,,παρακλιδόν,0
74550,π01710,παρακλίνω,v,----------,,παρακλίνω,0
74551,π01711,παρακλίτης,n,n-s---mn1e,παρακλίτου,παρακλίτης,0
74552,π01712,παρακλύζω,v,----------,,παρακλύζω,0
74553,π01713,παρακλύω,v,----------,,παρακλύω,0
74554,π01714,παρακμάζω,v,----------,,παρακμάζω,0
74556,π01716,παρακμή,n,n-s---fn1e,παρακμῆς,παρακμή,0
74557,π01717,παρακνάομαι,v,----------,,παρακνάομαι,0
74558,π01718,παρακνήμιον,n,n-s---nn2-,παρακνημίου,παρακνήμιον,0
74559,π01719,παρακνημόομαι,v,----------,,παρακνημόομαι,0
74560,π01720,παρακοάω,v,----------,,παρακοάω,0
74561,π01721,παρακοή,n,n-s---fn1e,παρακοῆς,παρακοή,0
74562,π01722,παρακοιμάομαι,v,----------,,παρακοιμάομαι,0
74563,π01723,παρακοίμημα,n,n-s---nn3t,παρακοιμήματος,παρακοίμημα,0
74566,π01726,παρακοιμίζω,v,----------,,παρακοιμίζω,0
74567,π01727,παρακοινάομαι,v,----------,,παρακοινάομαι,0
74568,π01728,παρακοιτέω,v,----------,,παρακοιτέω,0
74570,π01730,παράκοιτις,n,----------,,παράκοιτις,0
74571,π01731,παράκοιτος,n,n-s---mn2-,παρακοίτου,παράκοιτος,0
74572,π01732,παρακολλάω,v,----------,,παρακολλάω,0
74573,π01733,παρακόλλημα,n,n-s---nn3t,παρακολλήματος,παρακόλλημα,0
74574,π01734,παρακόλλησις,n,n-s---fn3v,παρακολλησέως,παρακόλλησις,0
74576,π01736,παράκολλος,a,----------,,παράκολλος,0
74780,π01940,παραμπέχω,v,----------,,παραμπέχω,0
74529,π01689,παρακίνησις,n,n-s---fn3v,παρακινησέως,παρακίνησις,0
74582,π01742,παρακολυμβάω,v,----------,,παρακολυμβάω,0
74583,π01743,παρακομιδή,n,n-s---fn1e,παρακομιδῆς,παρακομιδή,0
74584,π01744,παρακομίζω,v,----------,,παρακομίζω,0
74585,π01745,παρακομιστής,n,n-s---mn1e,παρακομιστού,παρακομιστής,0
74586,π01746,παράκομμα,n,n-s---nn3t,παρακόμματος,παράκομμα,0
74588,π01748,παρακονάω,v,----------,,παρακονάω,0
74589,π01749,παρακονίασις,n,n-s---fn3v,παρακονιασέως,παρακονίασις,0
74590,π01750,παρακονιάω,v,----------,,παρακονιάω,0
74591,π01751,παρακοντίζω,v,----------,,παρακοντίζω,0
74592,π01752,παρακοπή,n,n-s---fn1e,παρακοπῆς,παρακοπή,0
74593,π01753,παράκοπος,a,aps---cn2-,παράκοπος παράκοπος παράκοπον,παράκοπος,0
74595,π01755,παρακόπτω,v,----------,,παρακόπτω,0
74596,π01756,παρακορέω,v,----------,,παρακορέω,0
74598,π01758,παρακοτέω,v,----------,,παρακοτέω,0
74599,π01759,παράκουσις,n,n-s---fn3v,παρακουσέως,παράκουσις,0
74600,π01760,παράκουσμα,n,n-s---nn3t,παρακούσματος,παράκουσμα,0
74601,π01761,παρακουσμάτιον,n,n-s---nn2-,παρακουσματίου,παρακουσμάτιον,0
74602,π01762,παρακουστέον,a,----------,,παρακουστέον,0
74603,π01763,παρακουφίζω,v,----------,,παρακουφίζω,0
74604,π01764,παρακούω,v,----------,,παρακούω,0
74605,π01765,παρακρατέω,v,----------,,παρακρατέω,0
74607,π01767,παρακρέμαμαι,v,----------,,παρακρέμαμαι,0
74608,π01768,παρακρεμάννυμι,v,----------,,παρακρεμάννυμι,0
74610,π01770,παρακρίνω,v,----------,,παρακρίνω,0
74611,π01771,παρακριτής,n,n-s---mn1e,παρακριτού,παρακριτής,0
74612,π01772,παρακροάομαι,v,----------,,παρακροάομαι,0
74614,π01774,παρακροκίζω,v,----------,,παρακροκίζω,0
74615,π01775,παρακροτέω,v,----------,,παρακροτέω,0
74616,π01776,παράκρουσις,n,n-s---fn3v,παρακρουσέως,παράκρουσις,0
74618,π01778,παράκρουσμα,n,n-s---nn3t,παρακρούσματος,παράκρουσμα,0
74620,π01780,παρακρούω,v,----------,,παρακρούω,0
74621,π01781,παρακρύπτω,v,----------,,παρακρύπτω,0
74622,π01782,παράκρυψις,n,n-s---fn3v,παρακρυψέως,παράκρυψις,0
74623,π01783,παρακρώζω,v,----------,,παρακρώζω,0
74624,π01785,παρακταῖος,a,aps---mn1-,παρακταῖος παρακταίη παρακταῖον,παρακταῖος,0
74625,π01784,παρακτάομαι,v,----------,,παρακτάομαι,0
74626,π01786,παρακτέον,v,----------,,παρακτέον,0
74627,π01787,παράκτης,n,n-s---mn1e,παράκτου,παράκτης,0
74579,π01739,παρακολούθησις,n,n-s---fn3v,παρακολουθησέως,παρακολούθησις,0
74632,π01792,παράκυκλος,n,n-s---mn2-,παρακύκλου,παράκυκλος,0
74634,π01794,παρακυνάγχη,n,n-s---fn1e,παρακυνάγχης,παρακυνάγχη,0
74635,π01795,παρακυπτικός,a,aps---mn1-,παρακυπτικός παρακυπτική παρακυπτικόν,παρακυπτικός,0
74636,π01796,παρακύπτω,v,----------,,παρακύπτω,0
74637,π01797,παρακυρόω,v,----------,,παρακυρόω,0
74638,π01798,παρακύρω,v,----------,,παρακύρω,0
74639,π01799,παράκυψις,n,n-s---fn3v,παρακυψέως,παράκυψις,0
74640,π01800,παρακωμῳδέω,v,----------,,παρακωμῳδέω,0
74641,π01801,παρακωχή,n,----------,,παρακωχή,0
74642,π01802,παραλαγχάνω,v,----------,,παραλαγχάνω,0
74643,π01803,παραλαλέω,v,----------,,παραλαλέω,0
74644,π01804,παραλαλία,n,n-s---fn1l,παραλαλίας,παραλαλία,0
74646,π01806,παραλάμπω,v,----------,,παραλάμπω,0
74648,π01808,παραλανθάνω,v,----------,,παραλανθάνω,0
74649,π01809,παράλασσις,n,n-s---fn3v,παραλάσσιος,παράλασσις,0
74650,π01810,παραλαχανίζω,v,----------,,παραλαχανίζω,0
74651,π01811,παραλεαίνω,v,----------,,παραλεαίνω,0
74653,π01813,παραλέγω,v,----------,,παραλέγω,0
74655,π01815,παραλειπτικός,a,aps---mn1-,παραλειπτικός παραλειπτική παραλειπτικόν,παραλειπτικός,0
74656,π01816,παραλειπτός,a,aps---cn2-,παραλειπτός παραλειπτός παραλειπτόν,παραλειπτός,0
74657,π01817,παραλείπω,v,----------,,παραλείπω,0
74658,π01818,παραλείφω,v,----------,,παραλείφω,0
74659,π01819,παράλειψις,n,n-s---fn3v,παραλειψέως,παράλειψις,0
74660,π01820,παραλεκτέον,a,----------,,παραλεκτέον,0
74662,π01822,παραλέχομαι,v,----------,,παραλέχομαι,0
74663,π01823,παραλήγω,v,----------,,παραλήγω,0
74665,π01825,παράληξις,n,n-s---fn3v,παραληξέως,παράληξις,0
74666,π01826,παραληπτέον,v,----------,,παραληπτέον,0
74668,π01828,παραληπτικός,a,aps---mn1-,παραληπτικός παραληπτική παραληπτικόν,παραληπτικός,0
74669,π01829,παραληπτός,a,aps---mn1-,παραληπτός παραληπτή παραληπτόν,παραληπτός,0
74670,π01830,παραλήπτωρ,n,n-s---mn3r,παραλήπτορος,παραλήπτωρ,0
74671,π01831,παραληρέω,v,----------,,παραληρέω,0
74672,π01832,παραλήρημα,n,n-s---nn3t,παραληρήματος,παραλήρημα,0
74675,π01835,παράληψις,n,n-s---fn3v,παραληψέως,παράληψις,0
74676,π01837,παραλιθάζω,v,----------,,παραλιθάζω,0
74677,π01838,παράλιμνος,a,aps---cn2-,παράλιμνος παράλιμνος παράλιμνον,παράλιμνος,0
74678,π01839,παραλιμπάνω,v,----------,,παραλιμπάνω,0
74679,π01840,παράλιον,n,n-s---nn2-,παραλίου,παράλιον,0
74631,π01791,παρακυέω,v,----------,,παρακυέω,0
74682,π01842,παραλίσκομαι,v,----------,,παραλίσκομαι,0
74683,π01843,παραλιταίνω,v,----------,,παραλιταίνω,0
74684,π01844,παραλίτης,n,n-s---mn1e,παραλίτου,παραλίτης,0
74685,π01845,παραλλαγή,n,n-s---fn1e,παραλλαγῆς,παραλλαγή,0
74686,π01846,παράλλαγμα,n,n-s---nn3t,παραλλάγματος,παράλλαγμα,0
74688,π01848,παραλλακτός,a,aps---cn2-,παραλλακτός παραλλακτός παραλλακτόν,παραλλακτός,0
74689,π01849,παραλλάξ,r,----------,,παραλλάξ,0
74690,π01850,παράλλαξις,n,n-s---fn3v,παραλλαξέως,παράλλαξις,0
74691,π01851,παραλλάσσω,v,----------,,παραλλάσσω,0
74692,π01852,παραλλαττόντως,r,----------,,παραλλαττόντως,0
74693,π01853,παραλληγορέω,v,----------,,παραλληγορέω,0
74696,π01856,παραλληλία,n,n-s---fn1l,παραλληλίας,παραλληλία,0
74697,π01857,παραλληλίζω,v,----------,,παραλληλίζω,0
74698,π01858,παραλληλισμός,n,----------,,παραλληλισμός,0
74701,π01861,παραλληλότης,n,n-s---fn3t,παραλληλότητος,παραλληλότης,0
74702,π01862,παραλογεία,n,n-s---fn1l,παραλογείας,παραλογεία,0
74703,π01863,παραλογεύομαι,v,----------,,παραλογεύομαι,0
74704,π01864,παραλογία,n,n-s---fn1l,παραλογίας,παραλογία,0
74705,π01865,παραλογίζομαι,v,----------,,παραλογίζομαι,0
74706,π01866,παραλογισμός,n,----------,,παραλογισμός,0
74707,π01867,παραλογιστής,n,n-s---mn1e,παραλογιστού,παραλογιστής,0
74709,π01869,παράλογος,a,aps---cn2-,παράλογος παράλογος παράλογον,παράλογος,0
74710,π01870,παράλοιπος,a,aps---cn2-,παράλοιπος παράλοιπος παράλοιπον,παράλοιπος,0
74711,π01872,παραλοξαίνομαι,v,----------,,παραλοξαίνομαι,0
74713,π01874,πάραλος,a,aps---cn2-,πάραλος πάραλος πάραλον,πάραλος,0
74714,π01871,παραλοῦμαι,v,----------,,παραλοῦμαι,0
74715,π01875,παραλουργής,a,aps---cn5s,παραλουργής παραλουργής παραλουργές,παραλουργής,0
74716,π01876,παραλουργίδιον,n,n-s---nn2-,παραλουργιδίου,παραλουργίδιον,0
74717,π01877,παραλουργίς,n,n-s---fn3d,παραλουργίδος,παραλουργίς,0
74719,π01879,παραλοφία,n,n-s---fn1l,παραλοφίας,παραλοφία,0
74720,π01880,παραλοχίζω,v,----------,,παραλοχίζω,0
74721,π01881,παράλπιος,a,aps---cn2-,παράλπιος παράλπιος παράλπιον,παράλπιος,0
74722,π01882,παραλυκίζω,v,----------,,παραλυκίζω,0
74723,π01883,παραλυπέω,v,----------,,παραλυπέω,0
74724,π01884,παράλυπρος,a,aps---cn2-,παράλυπρος παράλυπρος παράλυπρον,παράλυπρος,0
74725,π01885,παράλυσις,n,n-s---fn3v,παραλυσέως,παράλυσις,0
74726,π01886,παραλυτέον,v,----------,,παραλυτέον,0
74681,π01836,παραλία,n,n-s---fn1l,,παραλία,0
74730,π01890,παραλύω,v,----------,,παραλύω,0
74731,π01891,παράλωμα,n,n-s---nn3t,παραλώματος,παράλωμα,0
74733,π01893,παραμαξεύω,v,----------,,παραμαξεύω,0
74735,π01895,παραμαρτάνω,v,----------,,παραμαρτάνω,0
74736,π01896,παραμαρτυρία,n,n-s---fn1l,παραμαρτυρίας,παραμαρτυρία,0
74737,π01897,παραμασήτης,n,n-s---mn1e,παραμασήτου,παραμασήτης,0
74738,π01898,παραμασύντης,n,n-s---mn1e,παραμασύντου,παραμασύντης,0
74740,π01900,παραμβλύνω,v,----------,,παραμβλύνω,0
74741,π01901,παραμεθίημι,v,----------,,παραμεθίημι,0
74742,π01902,παραμείβω,v,----------,,παραμείβω,0
74744,π01904,παράμειξις,n,n-s---fn3v,παραμειξέως,παράμειξις,0
74745,π01905,παραμελέω,v,----------,,παραμελέω,0
74748,π01908,παραμένω,v,----------,,παραμένω,0
74749,π01909,παράμερος,n,----------,,παράμερος,0
74750,π01910,παραμεσάζω,v,----------,,παραμεσάζω,0
74751,π01911,παράμεσος,a,aps---cn2-,παράμεσος παράμεσος παράμεσον,παράμεσος,0
74752,π01912,παραμετρέω,v,----------,,παραμετρέω,0
74753,π01913,παραμέτρησις,n,n-s---fn3v,παραμετρησέως,παραμέτρησις,0
74754,π01914,παραμετρητής,n,n-s---mn1e,παραμετρητού,παραμετρητής,0
74756,π01916,παραμεύομαι,v,----------,,παραμεύομαι,0
74758,π01918,παραμηκύνω,v,----------,,παραμηκύνω,0
74760,π01920,παραμηρίδιος,a,aps---cn2-,παραμηρίδιος παραμηρίδιος παραμηρίδιον,παραμηρίδιος,0
74761,π01921,παραμηχανάομαι,v,----------,,παραμηχανάομαι,0
74762,π01922,παραμίγνυμι,v,----------,,παραμίγνυμι,0
74763,π01923,παραμικτέον,a,----------,,παραμικτέον,0
