40,προγεωργός,n,----------,,,,,,0
108732,χ00307,χαμαιάκτη,n,n-s---fn1e,χαμαιάκτης,,,,,0
108741,χ00316,χαμαιδρυί̈της,n,n-s---mn1e,χαμαιδρυΐτου,,,,,0
108749,χ00323,χαμαίκαυλος,a,aps---cn2-,χαμαίκαυλος χαμαίκαυλος χαμαίκαυλον,,,,,0
108761,χ00335,χαμαιλέων,n,n-s---mn3t,χαμαιλέοντος,,,/kʰa.mai̯.lé.ɔːn/,,0
108766,χ00339,χαμαιμήλινος,a,aps---mn1-,χαμαιμήλινος χαμαιμηλίνη χαμαιμήλινον,,,,,0
108777,χ00351,χαμαιράφανος,n,n-s---mn2-,χαμαιραφάνου,,,,,0
108785,χ00359,χαμαισχιδής,a,aps---cn5s,χαμαισχιδής χαμαισχιδής χαμαισχιδές,,,,,0
108788,χ00362,χαμαιτύπη,n,n-s---fn1e,χαμαιτύπης,,,,,0
108792,χ00366,χαμαίτυπος,a,aps---cn2-,χαμαίτυπος χαμαίτυπος χαμαίτυπον,,,,,0
108807,χ00381,χάμευνος,a,aps---cn2-,χάμευνος χάμευνος χάμευνον,,,,,0
108821,χ00397,χανδά,n,----------,,,,,,0
108830,χ00408,χάος,n,n-s---nn3s,,,,,,0
108836,χ00414,χαραγμή,n,n-s---fn1e,χαραγμῆς,,,,,0
108856,χ00434,χαρακοβολία,n,n-s---fn1l,χαρακοβολίας,,,,,0
108865,χ00443,χαρακτήρισμα,n,n-s---nn3t,χαρακτηρίσματος,,,,,0
108875,χ00453,χαραξίποντος,a,aps---cn2-,χαραξίποντος χαραξίποντος χαραξίποντον,,,,,0
108886,χ00463,χαριεργός,a,aps---cn2-,χαριεργός χαριεργός χαριεργόν,,,,,0
108903,χ00482,χαρίτινος,a,aps---mn1-,χαρίτινος χαριτίνη χαρίτινον,,,,,0
108912,χ00491,χαριτόπωλις,n,n-s---fn3d,χαριτοπώλιδος,,,,,0
108925,χ00503,χάρμη,n,n-s---fn1e,χάρμης,,,,,0
108929,χ00508,χαρμονικός,a,aps---mn1-,χαρμονικός χαρμονική χαρμονικόν,,,,,0
108943,χ00523,χαρτηρία,n,n-s---fn1l,χαρτηρίας,,,,,0
108957,χ00537,χαρτουλάριος,n,n-s---mn2-,χαρτουλαρίου,,,/kʰar.toː.lǎː.ri.os/,,0
108972,χ00550,χάσμα,n,n-s---nn3t,χάσματος,,,/kʰáz.ma/,,0
108980,χ00558,χάσμησις,n,n-s---fn3v,χασμησέως,,,,,0
108990,χ00396,χαῦναξ,n,n-s---mn3e,χαῦνακος,,,,,0
108996,χ00572,χαυνόσομφος,a,aps---cn2-,χαυνόσομφος χαυνόσομφος χαυνόσομφον,,,,,0
109026,χ00602,χειμαδεύω,v,----------,,,,,,0
109036,χ00613,χειμασία,n,n-s---fn1l,χειμασίας,,,,,0
109040,χ00617,χειματικός,a,aps---mn1-,χειματικός χειματική χειματικόν,,,,,0
109052,χ00629,χειμοσπορέομαι,v,----------,,,,,,0
109065,χ00642,χειραγωγία,n,n-s---fn1l,χειραγωγίας,,,,,0
109074,χ00646,χειραπτάζω,v,----------,,,,,,0
109079,χ00651,χειρεκμαγεῖον,n,n-s---nn2-,χειρεκμαγείου,,,,,0
109092,χ00663,χείρισμα,n,n-s---nn3t,χειρίσματος,,,,,0
109101,χ00673,χειροάλυσις,n,n-s---fn3v,χειροαλυσέως,,,,,0
109104,χ00676,χειροβάναυσος,a,aps---cn2-,χειροβάναυσος χειροβάναυσος χειροβάναυσον,,,,,0
109118,χ00690,χειροδάϊκτος,a,aps---cn2-,χειροδάϊκτος χειροδάϊκτος χειροδάϊκτον,,,,,0
109127,χ00699,χειροδρόπος,a,aps---cn2-,χειροδρόπος χειροδρόπος χειροδρόπον,,,,,0
109136,χ00708,χειροκρατησία,n,n-s---fn1l,χειροκρατησίας,,,,,0
109145,χ00717,χειρόμακτρον,n,n-s---nn2-,χειρομάκτρου,,,,,0
109155,χ00726,χειρόμυλον,n,n-s---nn2-,χειρομύλου,,,,,0
109169,χ00742,χειροποίητος,a,aps---cn2-,χειροποίητος χειροποίητος χειροποίητον,,,,,0
109180,χ00753,χειρότερος,a,aps---mn1-,χειρότερος χειροτέρη χειρότερον,,,,,0
109188,χ00760,χειροτεχνίτης,n,n-s---mn1e,χειροτεχνίτου,,,,,0
109197,χ00770,χειροτριβία,n,n-s---fn1l,χειροτριβίας,,,,,0
109201,χ00774,χειρουργητέος,a,aps---mn1-,χειρουργητέος χειρουργητέα χειρουργητέον,,,,,0
109217,,Χειρώνειος,a,aps---cn2-,Χειρώνειος Χειρώνειος Χειρώνειον,,,,,0
109227,χ00797,χελιδόνειος,a,aps---cn2-,χελιδόνειος χελιδόνειος χελιδόνειον,,,/kʰe.liː.dó.neː.os/,,0
109242,χ00812,χελιχελώνη,n,n-s---fn1e,χελιχελώνης,,,,,0
109251,χ00828,χέλυδρος,n,n-s---mn2-,χελύδρου,,,,,0
109260,χ00837,χελυοσσόος,a,aps---cn2-,χελυοσσόος χελυοσσόος χελυοσσόον,,,,,0
109274,χ00850,χελωνοειδής,a,aps---cn5s,χελωνοειδής χελωνοειδής χελωνοειδές,,,,,0
109283,χ00861,χερειότερος,a,aps---mn1-,χερειότερος χερειοτέρη χερειότερον,,,,,0
109299,χ00876,χερνητικός,a,aps---mn1-,χερνητικός χερνητική χερνητικόν,,,,,0
109313,χ00891,χερόνιπτρον,n,n-s---nn2-,χερονίπτρου,,,,,0
109329,χ00908,χέρσινος,a,aps---mn1-,χέρσινος χερσίνη χέρσινον,,,,,0
109338,χ00917,χερσόκοπος,n,n-s---mn2-,χερσοκόπου,,,,,0
109343,χ00922,χερσονησοειδής,a,aps---cn5s,χερσονησοειδής χερσονησοειδής χερσονησοειδές,,,,,0
109366,χ00943,χηλή,n,n-s---fn1e,χηλῆς,,,/kʰɛː.lɛ̌ː/,,0
109381,χ00957,χηναλωπέκειος,a,aps---mn1-,χηναλωπέκειος χηναλωπέκεια χηναλωπέκειον,,,,,0
109396,χ00972,χηνοβόσκιον,n,n-s---nn2-,χηνοβοσκίου,,,,,0
109404,χ00980,χηνώδης,a,aps---cn3s,χηνώδης χηνώδης χηνώ͂δες,,,,,0
109416,χ00991,χηραμών,n,n-s---mn3n,χηραμόνος,,,,,0
109424,χ00999,χηροσύνη,n,n-s---fn1e,χηροσύνης,,,,,0
109440,χ01014,χθιζινός,a,aps---mn1-,χθιζινός χθιζινή χθιζινόν,,,,,0
109448,χ01022,χθονοριφής,a,aps---cn5s,χθονοριφής χθονοριφής χθονοριφές,,,,,0
109464,χ01036,χιδρίας,n,----------,,,,,,0
109472,χ01043,χιλήγονος,a,aps---cn2-,χιλήγονος χιλήγονος χιλήγονον,,,,,0
109481,χ01052,χιλιαρχία,n,n-s---fn1l,χιλιαρχίας,,,,,0
109501,χ01072,χιλιοπλάσιος,r,----------,,,,,,0
109506,χ01077,χιλιοτάλαντος,a,aps---cn2-,χιλιοτάλαντος χιλιοτάλαντος χιλιοτάλαντον,,,,,0
109519,χ01090,χιμαίρειος,a,aps---mn1-,χιμαίρειος χιμαίρεια χιμαίρειον,,,,,0
109527,χ01098,χιμαροκτόνος,a,aps---cn2-,χιμαροκτόνος χιμαροκτόνος χιμαροκτόνον,,,,,0
109534,,Χιογενής,a,aps---cn5s,Χιογενής Χιογενής Χιογενές,,,,,0
109543,χ01112,χιονόβατος,a,aps---cn2-,χιονόβατος χιονόβατος χιονόβατον,,,,,0
109550,χ01119,χιονοθρέμμων,a,aps---cn2-,χιονοθρέμμων χιονοθρέμμων χιονόβοσκον,,,,,0
109564,χ01130,χιραλέος,a,aps---mn1-,χιραλέος χιραλέα χιραλέον,,,,,0
109576,κ05460,κιθωνίσκος,n,----------,,,,,,0
109599,χ01163,χλαμυρός,a,aps---mn1-,χλαμυρός χλαμυρά χλαμυρόν,,,,,0
109606,χ01171,χλανιδουργία,n,n-s---fn1l,χλανιδουργίας,,,,,0
109619,χ01185,χλευαστής,n,n-s---mn1e,χλευαστού,,,,,0
109631,χ01196,χλίβιον,n,n-s---nn2-,χλιβίου,,,,,0
109657,χ01222,χλοαυγής,a,aps---cn5s,χλοαυγής χλοαυγής χλοαυγές,,,,,0
109666,χ01231,χλοητόκος,a,aps---cn2-,χλοητόκος χλοητόκος χλοητόκον,,,,,0
109675,χ01241,χλοόμορφος,a,aps---cn2-,χλοόμορφος χλοόμορφος χλοόμορφον,,,,,0
109691,χ01256,χλωράκοπον,n,n-s---nn2-,χλωρακόπου,,,,,0
109697,χ01262,χλωρίασις,n,n-s---fn3v,χλωριασέως,,,,,0
109706,χ01270,χλωρόκομος,a,aps---cn2-,χλωρόκομος χλωρόκομος χλωρόκομον,,,,,0
109715,χ01279,χλωρότομος,a,aps---cn2-,χλωρότομος χλωρότομος χλωρότομον,,,,,0
109729,χ01297,χνόϊος,a,aps---mn1-,χνόϊος χνόϊα χνόϊον,,,,,0
109740,χ01309,χοεῖον,n,n-s---nn2-,χοείου,,,,,0
109747,χ01316,χοϊεῖος,a,aps---mn1-,χοϊεῖος χοϊεῖα χοϊεῖον,,,,,0
109756,χ01324,χοιράγχη,n,n-s---fn1e,χοιράγχης,,,,,0
109765,χ01333,χοιριδιέμπορος,n,n-s---mn2-,χοιριδιεμπόρου,,,,,0
109778,χ01346,χοίροθλιψ,n,----------,,,,,,0
109782,χ01350,χοιροκτόνος,a,aps---cn2-,χοιροκτόνος χοιροκτόνος χοιροκτόνον,,,,,0
109792,χ01359,χοιροσφάγος,a,aps---cn2-,χοιροσφάγος χοιροσφάγος χοιροσφάγον,,,,,0
109804,χ01372,χολαῖος,a,aps---mn1-,χολαῖος χολαῖα χολαῖον,,,,,0
109816,χ01383,χολήβαφος,a,aps---cn2-,χολήβαφος χολήβαφος χολήβαφον,,,,,0
109828,χ01395,χολοβαφής,a,aps---cn5s,χολοβαφής χολοβαφής χολοβαφές,,,,,0
109836,χ01403,χολοιβόρος,a,aps---cn2-,χολοιβόρος χολοιβόρος χολοιβόρον,,,,,0
109851,χ01419,χονδριωτός,a,aps---mn1-,χονδριωτός χονδριωτή χονδριωτόν,,,,,0
109860,χ01428,χονδρότυπος,a,aps---cn2-,χονδρότυπος χονδρότυπος χονδρότυπον,,,,,0
109874,χ01443,χοραγέτας,n,n-s---mn1a,χοραγέτου,,,,,0
109883,χ01454,χορδοποιός,n,----------,,,,,,0
109890,χ01461,χορεῖον,n,n-s---nn2-,χορείου,,,,,0
109899,χ01470,χορηγέτης,n,n-s---mn1e,χορηγέτου,,,,,0
109915,χ01485,χοριτεία,n,n-s---fn1l,χοριτείας,,,,,0
109920,χ01490,χοροδιδασκαλικός,a,aps---mn1-,χοροδιδασκαλικός χοροδιδασκαλική χοροδιδασκαλικόν,,,,,0
109933,χ01503,χοροκιθαριστής,n,n-s---mn1e,χοροκιθαριστού,,,,,0
109941,χ01511,χοροπλεκής,a,aps---cn5s,χοροπλεκής χοροπλεκής χοροπλεκές,,,,,0
109949,χ01520,χοροστατικός,a,aps---mn1-,χοροστατικός χοροστατική χοροστατικόν,,,,,0
109966,χ01537,χορτηγός,a,aps---cn2-,χορτηγός χορτηγός χορόνικον,,,,,0
109975,χ01546,χορτοκοπή,n,n-s---fn1e,χορτοκοπῆς,,,,,0
109982,χ01553,χορτολόγος,a,aps---cn2-,χορτολόγος χορτολόγος χορτολόγον,,,,,0
109993,χ01564,χορτόσπερμον,n,n-s---nn2-,χορτοσπέρμου,,,,,0
110000,χ01571,χορτοτόμος,a,aps---cn2-,χορτοτόμος χορτοτόμος χορτοτόμον,,,,,0
110009,χ01578,χορωφελήτης,n,n-s---mn1e,χορωφελήτου,,,,,0
110017,χ01588,χραισμήεις,a,aps---mn4i,χραισμήεις χραισμήεσσα χραισμήεν,,,,,0
110036,χ01630,χρεῖος,a,aps---cn2-,χρεῖος χρεῖος χρεῖον,,,,,0
110044,χ01614,χρεμέτισμα,n,n-s---nn3t,χρεμετίσματος,,,,,0
110053,χ01623,χρεμψιθέατρος,a,aps---cn2-,χρεμψιθέατρος χρεμψιθέατρος χρεμψιθέατρον,,,,,0
110077,χ01649,χρεωστία,n,n-s---fn1l,χρεωστίας,,,,,0
110083,χ01655,χρεωφυλακικός,a,aps---mn1-,χρεωφυλακικός χρεωφυλακική χρεωφυλακικόν,,,,,0
110096,χ01669,χρηματαγωγός,n,----------,,,,,,0
110102,χ01675,χρηματιστήριον,n,n-s---nn2-,χρηματιστηρίου,,,,,0
110109,χ01682,χρηματοφθορικός,a,aps---mn1-,χρηματοφθορικός χρηματοφθορική χρηματοφθορικόν,,,,,0
110127,χ01701,χρησμηγόρος,a,aps---cn2-,χρησμηγόρος χρησμηγόρος χρησμηγόρον,,,,,0
110137,χ01711,χρησμολογική,n,n-s---fn1e,χρησμολογικῆς,,,,,0
110145,χ01719,χρησμοφόρος,a,aps---cn2-,χρησμοφόρος χρησμοφόρος χρησμοφόρον,,,,,0
110153,χ01699,χρησμῳδός,a,aps---cn2-,χρησμῳδός χρησμῳδός χρησμῳδόν,,,,,0
110161,χ01728,χρηστηριώδης,a,aps---cn3s,χρηστηριώδης χρηστηριώδης χρηστηριώ͂δες,,,,,0
110172,χ01739,χρηστολόγος,a,aps---cn2-,χρηστολόγος χρηστολόγος χρηστολόγον,,,,,0
110185,χ01763,χρῖμα,n,n-s---nn3t,χρίματος,,,,,0
110194,χ01758,χριστιανός,n,----------,,,,,,0
110204,χ01773,χρόμαδος,n,n-s---mn2-,χρομάδου,,,,,0
110210,χ01779,χρόνιος,a,aps---mn1-,χρόνιος χρόνια χρόνιον,,aps---cn2-=χρόνιος aps---cn2-=χρόνιος aps---nn2-=χρόνιον,/kʰró.ni.os/,,0
110228,χ01802,χρούστη,n,n-s---fn1e,χρούστης,,,,,0
110234,χ01815,χρυσαλάκατος,a,aps---cn2-,χρυσαλάκατος χρυσαλάκατος χρυσαλάκατον,,,,,0
110246,χ01827,χρυσάντινος,a,aps---mn1-,χρυσάντινος χρυσαντίνη χρυσάντινον,,,,,0
110255,χ01836,χρυσαύγεια,n,n-s---fn1s,χρυσαύγειας,,,,,0
110262,χ01843,χρυσεγχής,a,aps---cn5s,χρυσεγχής χρυσεγχής χρυσεγχές,,,,,0
110269,χ01849,χρυσέμπαικτος,a,aps---cn2-,χρυσέμπαικτος χρυσέμπαικτος χρυσέμπαικτον,,,,,0
110277,χ01857,χρυσεόκυκλος,a,aps---cn2-,χρυσεόκυκλος χρυσεόκυκλος χρυσεόκυκλον,,,,,0
110286,χ01867,χρυσεοσάμβαλος,a,aps---cn2-,χρυσεοσάμβαλος χρυσεοσάμβαλος χρυσεοσάμβαλον,,,,,0
110294,χ01875,χρυσεοφεγγής,a,aps---cn5s,χρυσεοφεγγής χρυσεοφεγγής χρυσεοφεγγές,,,,,0
110309,χ01890,χρυσικός,a,aps---mn1-,χρυσικός χρυσική χρυσικόν,,,,,0
110318,χ01899,χρυσοβαφής,a,aps---cn5s,χρυσοβαφής χρυσοβαφής χρυσοβαφές,,,,,0
110324,χ01905,χρυσόγλωσσος,a,aps---cn2-,χρυσόγλωσσος χρυσόγλωσσος χρυσόγλωσσον,,,,,0
110332,χ01913,χρυσόδετος,a,aps---cn2-,χρυσόδετος χρυσόδετος χρυσόδετον,,aps---mn1-=χρυσόδετος aps---fn1=χρυσόδετα aps---nn1-=χρυσόδετον,,,0
110343,χ01924,χρυσόθρονος,a,aps---cn2-,χρυσόθρονος χρυσόθρονος χρυσόθρονον,,,,,0
110352,χ01933,χρυσοκέφαλος,a,aps---cn2-,χρυσοκέφαλος χρυσοκέφαλος χρυσοκέφαλον,,,,,0
110365,χ01946,χρυσοκόρυμβος,a,aps---cn2-,χρυσοκόρυμβος χρυσοκόρυμβος χρυσοκόρυμβον,,,,,0
110375,χ01956,χρυσολόγος,a,aps---cn2-,χρυσολόγος χρυσολόγος χρυσολόγον,,,,,0
110382,χ01963,χρυσομανής,a,aps---cn5s,χρυσομανής χρυσομανής χρυσομανές,,,,,0
110394,χ01975,χρυσόξιφος,a,aps---cn2-,χρυσόξιφος χρυσόξιφος χρυσόξιφον,,,,,0
110398,χ01978,χρυσόπαστος,a,aps---cn2-,χρυσόπαστος χρυσόπαστος χρυσόπαστον,,aps---mn1-=χρυσόπαστος aps---fn1=χρυσόπαστα aps---nn1-=χρυσόπαστον,,,0
110405,χ01985,χρυσοπήνιτος,a,aps---cn2-,χρυσοπήνιτος χρυσοπήνιτος χρυσοπήνιτον,,,,,0
110418,χ01998,χρυσοπράσιος,n,n-s---mn2-,χρυσοπρασίου,,,,,0
110425,χ02005,χρυσοπτερος,a,aps---cn2-,χρυσοπτερος χρυσοπτερος χρυσοπτερον,,,,,0
110432,χ02012,χρυσόρραβδος,a,aps---cn2-,χρυσόρραβδος χρυσόρραβδος χρυσόρραβδον,,,,,0
110441,χ02022,χρυσοσανδαλαιμοποτιχθονία,n,n-s---fn1l,χρυσοσανδαλαιμοποτιχθονίας,,,,,0
110447,χ02028,χρυσόσταθμος,a,aps---cn2-,χρυσόσταθμος χρυσόσταθμος χρυσόσταθμον,,,,,0
110457,χ02038,χρυσότερος,a,aps---mn1-,χρυσότερος χρυσότερα χρυσότερον,,,,,0
110462,χ02043,χρυσοτόρευτος,a,aps---cn2-,χρυσοτόρευτος χρυσοτόρευτος χρυσοτόρευτον,,,,,0
110473,χ02053,χρυσοφάεννος,a,aps---cn2-,χρυσοφάεννος χρυσοφάεννος χρυσοφάεννον,,,,,0
110483,χ02063,χρυσοφόρος,a,aps---cn2-,χρυσοφόρος χρυσοφόρος χρυσοφόρον,,,,,0
110492,χ02072,χρυσοχοεῖον,n,n-s---nn2-,χρυσοχοείου,,,,,0
110503,χ02084,χρυσωματοθήκη,n,n-s---fn1e,χρυσωματοθήκης,,,,,0
110510,χ02090,χρυσώρυφος,a,aps---cn2-,χρυσώρυφος χρυσώρυφος χρυσώρυφον,,,,,0
110523,χ01764,χρῶμα,n,n-s---nn3t,χρώματος,,,/kʰrɔ̂ː.ma/,,0
110529,χ02106,χρωματοποιία,n,n-s---fn1l,χρωματοποιίας,,,,,0
110540,χ02121,χυδαί̈ζομαι,v,----------,,,,,,0
110552,χ02133,χύλισμα,n,n-s---nn3t,χυλίσματος,,,,,0
110562,χ02143,χυλωτός,a,aps---mn1-,χυλωτός χυλωτή χυλωτόν,,,,,0
110572,χ02153,χυμώδης,a,aps---cn3s,χυμώδης χυμώδης χυμώ͂δες,,,,,0
110586,χ02167,χυτραῖος,a,aps---mn1-,χυτραῖος χυτραῖα χυτραῖον,,,,,0
110602,χ02183,χυτρόγαυλος,n,n-s---mn2-,χυτρογαύλου,,,,,0
110610,χ02191,χυτροφόρος,a,aps---cn2-,χυτροφόρος χυτροφόρος χυτροφόρον,,,,,0
110619,χ02200,χωλιαμβοποιέω,v,----------,,,,,,0
110631,χ02211,χωματεκβολία,n,n-s---fn1l,χωματεκβολίας,,,,,0
110638,χ02218,χωματικός,a,aps---mn1-,χωματικός χωματική χωματικόν,,,,,0
110648,χ02228,χωνευτήριον,n,n-s---nn2-,χωνευτηρίου,,,,,0
110662,χ02240,χώραυλος,a,aps---cn2-,χώραυλος χώραυλος χώραυλον,,,,,0
110675,χ02253,χωρικός,a,aps---mn1-,χωρικός χωρική χωρικόν,,,,,0
110684,χ02264,χωριστικός,a,aps---mn1-,χωριστικός χωριστική χωριστικόν,,,,,0
110693,χ02276,χωρόγραφος,a,aps---cn2-,χωρόγραφος χωρόγραφος χωρόγραφον,,,,,0
110709,χ02284,χωστός,a,aps---mn1-,χωστός χωστή χωστόν,,,,,0
110725,ψ00011,ψαινύθιος,a,aps---cn2-,ψαινύθιος ψαινύθιος ψαινύθιον,,,,,0
110737,ψ00023,ψακαλοῦχος,a,aps---cn2-,ψακαλοῦχος ψακαλοῦχος ψακαλοῦχον,,,,,0
110751,ψ00037,ψαλιδωτός,a,aps---mn1-,ψαλιδωτός ψαλιδωτή ψαλιδωτόν,,,,,0
110767,ψ00050,ψαλμῳδός,n,n-s---mn2-,,,,,,0
110776,ψ00056,ψαλτῳδός,a,aps---cn2-,ψαλτῳδός ψαλτῳδός ψαλτῳδόν,,,,,0
110788,ψ00074,ψαμμιαῖος,a,aps---mn1-,ψαμμιαῖος ψαμμιαῖα ψαμμιαῖον,,,,,0
110797,ψ00082,ψαμμοειδής,a,aps---cn5s,ψαμμοειδής ψαμμοειδής ψαμμοειδές,,,,,0
110815,ψ00097,ψαῦσις,n,n-s---fn3v,ψαύσεως,,,,,0
110825,ψ00108,ψαφαρόομαι,v,----------,,,,,,0
110837,ψ00122,ψεδνοκάρηνος,a,aps---cn2-,ψεδνοκάρηνος ψεδνοκάρηνος ψεδνοκάρηνον,,,,,0
110855,ψ00139,ψελιοφόρος,a,aps---cn2-,ψελιοφόρος ψελιοφόρος ψελιοφόρον,,,,,0
110871,ψ00158,ψευδαγγελία,n,n-s---fn1l,ψευδαγγελίας,,,,,0
110876,ψ00163,ψευδαιολικός,a,aps---mn1-,ψευδαιολικός ψευδαιολική ψευδαιολικόν,,,,,0
110890,ψ00177,ψευδαττικός,a,aps---mn1-,ψευδαττικός ψευδαττική ψευδαττικόν,,,,,0
110899,ψ00186,ψευδεπιεικής,a,aps---cn5s,ψευδεπιεικής ψευδεπιεικής ψευδεπιεικές,,,,,0
110911,ψ00198,ψευδησιόδειος,a,aps---cn2-,ψευδησιόδειος ψευδησιόδειος ψευδησιόδειον,,,,,0
110920,ψ00206,ψευδογράφημα,n,n-s---nn3t,ψευδογραφήματος,,,,,0
110924,ψ00210,ψευδοδιαλεκτικός,a,aps---mn1-,ψευδοδιαλεκτικός ψευδοδιαλεκτική ψευδοδιαλεκτικόν,,,,,0
110940,ψ00226,ψευδοκατηγορία,n,----------,,,,,,0
110947,ψ00232,ψευδοκόρη,n,n-s---fn1e,ψευδοκόρης,,,,,0
110952,ψ00237,ψευδόλιτρος,a,aps---cn2-,ψευδόλιτρος ψευδόλιτρος ψευδόλιτρον,,,,,0
110962,ψ00249,ψευδομάρτυρα,n,n-p---nn2-,ψευδομαρτύρων,,,,,0
110970,ψ00257,ψευδονέρων,n,n-s---mn3n,ψευδονέρωνος,,,,,0
110977,ψ00264,ψευδοπαρήχησις,n,n-s---fn3v,ψευδοπαρηχησέως,,,,,0
110988,ψ00275,ψευδοπόρφυρον,n,n-s---nn2-,ψευδοπορφύρου,,,,,0
110996,ψ00283,ψευδοραψῳδός,n,----------,,,,,,0
111004,ψ00290,ψευδοσέλινον,n,n-s---nn2-,ψευδοσελίνου,,,,,0
111010,ψ00296,ψευδόστομος,a,aps---cn2-,ψευδόστομος ψευδόστομος ψευδόστομον,,,,,0
111019,ψ00305,ψευδόφημος,a,aps---cn2-,ψευδόφημος ψευδόφημος ψευδόφημον,,,,,0
111024,ψ00310,ψευδυποβολιμαῖος,a,aps---mn1-,ψευδυποβολιμαῖος ψευδυποβολιμαῖα ψευδυποβολιμαῖον,,,,,0
111040,ψ00324,ψεφηνός,a,aps---mn1-,ψεφηνός ψεφηνή ψεφηνόν,,,,,0
111054,ψ00338,ψηλάφημα,n,n-s---nn3t,ψηλαφήματος,,,,,0
111062,ψ00346,ψηλαφίνδα,n,----------,,,,,,0
111071,ψ00354,ψηρός,a,aps---mn1-,ψηρός ψηρά ψηρόν,,,,,0
111081,ψ00363,ψηφιδώδης,a,aps---cn3s,ψηφιδώδης ψηφιδώδης ψηφιδώ͂δες,,,,,0
111090,ψ00372,ψηφισματώδης,a,aps---cn3s,ψηφισματώδης ψηφισματώδης ψηφισματώ͂δες,,,,,0
111102,ψ00384,ψηφολογητός,a,aps---cn2-,ψηφολογητός ψηφολογητός ψηφολογητόν,,,,,0
111109,ψ00391,ψηφοποιός,a,aps---cn2-,ψηφοποιός ψηφοποιός ψηφοποιόν,,,,,0
111123,ψ00405,ψιαθίζομαι,v,----------,,,,,,0
111136,ψ00418,ψίθιος,a,aps---mn1-,ψίθιος ψίθια ψίθιον,,,,,0
111154,ψ00435,ψιλικός,a,aps---mn1-,ψιλικός ψιλική ψιλικόν,,,,,0
111161,ψ00442,ψιλοκέραμος,n,n-s---mn2-,ψιλοκεράμου,,,,,0
111167,ψ00448,ψιλόκρανος,a,aps---cn2-,ψιλόκρανος ψιλόκρανος ψιλόκρανον,,,,,0
111185,ψ00467,ψιμυθίζω,v,----------,,,,,,0
111187,ψ00469,ψιμυθιοφανής,a,aps---cn5s,ψιμυθιοφανής ψιμυθιοφανής ψιμυθιοφανές,,,,,0
111211,ψ00495,ψογερός,a,aps---mn1-,ψογερός ψογερά ψογερόν,,,,,0
111223,ψ00507,ψοί̈της,n,n-s---mn1e,ψοΐτου,,,,,0
111232,ψ00516,ψόφημα,n,n-s---nn3t,ψοφήματος,,,,,0
111237,ψ00521,ψοφοειδής,a,aps---cn5s,ψοφοειδής ψοφοειδής ψοφοειδές,,,,,0
111253,ψ00540,ψυδράκιον,n,n-s---nn2-,ψυδρακίου,,,,,0
111268,ψ00554,ψυκτικός,a,aps---mn1-,ψυκτικός ψυκτική ψυκτικόν,,,,,0
111278,ψ00564,ψυλλόβρωτος,a,aps---cn2-,ψυλλόβρωτος ψυλλόβρωτος ψυλλόβρωτον,,,,,0
111294,ψ00579,ψυχαῖος,a,aps---mn1-,ψυχαῖος ψυχαῖα ψυχαῖον,,,,,0
111306,ψ00591,ψυχίδιον,n,n-s---nn2-,ψυχιδίου,,,,,0
111313,ψ00598,ψυχογονικός,a,aps---mn1-,ψυχογονικός ψυχογονική ψυχογονικόν,,,,,0
111323,ψ00608,ψυχολιπής,a,aps---cn5s,ψυχολιπής ψυχολιπής ψυχολιπές,,,,,0
111329,ψ00614,ψυχοπλανής,a,aps---cn5s,ψυχοπλανής ψυχοπλανής ψυχοπλανές,,,,,0
111340,ψ00687,ψῦχος,n,n-s---nn3v,ψῦχεος,,,/psŷː.kʰos/,,0
111344,ψ00628,ψυχοτακής,a,aps---cn5s,ψυχοτακής ψυχοτακής ψυχοτακές,,,,,0
111358,ψ00642,ψυχρηλατέω,v,----------,,,,,,0
111363,ψ00647,ψυχροβαφής,a,aps---cn5s,ψυχροβαφής ψυχροβαφής ψυχροβαφές,,,,,0
111368,ψ00652,ψυχροκοίλιος,a,aps---cn2-,ψυχροκοίλιος ψυχροκοίλιος ψυχροκοίλιον,,,,,0
111379,ψ00663,ψυχρομιγής,a,aps---cn5s,ψυχρομιγής ψυχρομιγής ψυχρομιγές,,,,,0
111389,ψ00673,ψυχροσταγής,a,aps---cn5s,ψυχροσταγής ψυχροσταγής ψυχροσταγές,,,,,0
111397,ψ00681,ψυχωφελής,a,aps---cn5s,ψυχωφελής ψυχωφελής ψυχωφελές,,,,,0
111414,ψ00702,ψωμόδουλος,n,n-s---mn2-,ψωμοδούλου,,,,,0
111420,ψ00708,ψωραγριάω,v,----------,,,,,,0
111427,ψ00715,ψωρικός,a,aps---mn1-,ψωρικός ψωρική ψωρικόν,,,,,0
111446,ω00008,ὤατον,n,n-s---nn2-,ὠάτου,,,,,0
111455,,Ὠγυγία,n,n-s---fn1l,Ὠγυγίας,,,,,0
111465,ω00020,ὠδινολύτης,n,n-s---mn1e,ὠδινολύτου,,,,,0
111479,ω00031,ὠθίζω,v,----------,,,,,,0
111493,,Ὠκεανόβρυτος,a,aps---cn2-,Ὠκεανόβρυτος Ὠκεανόβρυτος Ὠκεανόβρυτον,,,,,0
111508,ω00053,ὠκυδίδακτος,a,aps---cn2-,ὠκυδίδακτος ὠκυδίδακτος ὠκυδίδακτον,,,,,0
111518,ω00063,ὠκύμοιρος,a,aps---cn2-,ὠκύμοιρος ὠκύμοιρος ὠκύμοιρον,,,,,0
