ε05807,ἑληθερέω,v,----------,,,,,,0
37732,ε11656,ἐπικουρία,n,n-s---fn1l,ἐπικουρίας,,,,,0
37733,ε11657,ἐπικουρικός,a,aps---mn1-,ἐπικουρικός ἐπικουρική ἐπικουρικόν,,,,,0
37734,ε11658,ἐπικούριος,a,aps---cn2-,ἐπικούριος ἐπικούριος ἐπικούριον,,,,,0
37735,ε11659,ἐπίκουρος,a,aps---cn2-,ἐπίκουρος ἐπίκουρος ἐπίκουρον,,,/e.pí.koː.ros/,,0
37736,ε11660,ἐπικουφίζω,v,----------,,,,,,0
37737,ε11661,ἐπικουφισμός,n,----------,,,,,,0
37738,ε11662,ἐπικραδαίνω,v,----------,,,,,,0
37739,ε11663,ἐπικραδάω,v,----------,,,,,,0
37740,ε11664,ἐπικράζω,v,----------,,,,,,0
37741,ε11665,ἐπικραίνω,v,----------,,,,,,0
37743,ε11667,ἐπικράνισμα,n,n-s---nn3t,ἐπικρανίσματος,,,,,0
37744,ε11669,ἐπικρανῖτις,n,n-s---fn3d,ἐπικρανίτιδος,,,,,0
37745,ε11668,ἐπίκρανον,n,n-s---nn2-,ἐπικράνου,,,,,0
37746,ε11670,ἐπίκρασις,n,n-s---fn3v,ἐπικρασέως,,,,,0
37747,ε11671,ἐπικραταιόω,v,----------,,,,,,0
37749,ε11673,ἐπικρατέω,v,----------,,,,,,0
37750,ε11674,ἐπικρατής,a,aps---cn5s,ἐπικρατής ἐπικρατής ἐπικρατές,,,,,0
37751,ε11675,ἐπικράτησις,n,n-s---fn3v,ἐπικρατησέως,,,,,0
37753,ε11677,ἐπικρατήτωρ,n,n-s---mn3r,ἐπικρατήτορος,,,,,0
37754,ε11678,ἐπικρατίδες,n,n-p---fn3d,ἐπικρατιδίδων,,,,,0
37756,ε11680,ἐπικρατικός,a,aps---mn1-,ἐπικρατικός ἐπικρατική ἐπικρατικόν,,,,,0
37757,ε11681,ἐπικρατύνω,v,----------,,,,,,0
37758,ε11682,ἐπικραυγάζω,v,----------,,,,,,0
37759,ε11683,ἐπικρεμάννυμι,v,----------,,,,,,0
37760,ε11684,ἐπικρήδιος,n,n-s---mn2-,ἐπικρηδίου,,,,,0
37761,ε11685,ἐπικρήηνον,n,----------,,,,,,0
37763,ε11687,ἐπικρηπῖδες,n,n-p---fn1l,ἐπικρηπιδῶν,,,,,0
37764,ε11710,ἐπικρῆσαι,n,----------,,,,,,0
38030,ε11952,ἐπιμέλας,a,----------,,,,,,0
37717,ε11642,ἐπικορύσσομαι,v,----------,,,,,,0
37767,ε11690,ἐπίκριμα,n,----------,,,,,,0
37768,ε11691,ἐπικρίνω,v,----------,,,,,,0
37771,ε11694,ἐπικριτέον,v,----------,,,,,,0
37772,ε11695,ἐπικριτήριον,n,n-s---nn2-,ἐπικριτηρίου,,,,,0
37773,ε11696,ἐπικριτής,n,n-s---mn1e,ἐπικριτού,,,,,0
37774,ε11697,ἐπικριτικός,a,aps---mn1-,ἐπικριτικός ἐπικριτική ἐπικριτικόν,,,,,0
37775,ε11698,ἐπίκριτος,a,aps---cn2-,ἐπίκριτος ἐπίκριτος ἐπίκριτον,,,,,0
37776,ε11699,ἐπικροταλίζω,v,----------,,,,,,0
37777,ε11700,ἐπικροτέω,v,----------,,,,,,0
37780,ε11703,ἐπίκρουμα,n,n-s---nn3t,ἐπικρούματος,,,,,0
37781,ε11704,ἐπίκρουσις,n,n-s---fn3v,ἐπικρουσέως,,,,,0
37782,ε11705,ἐπίκρουσμα,n,n-s---nn3t,ἐπικρούσματος,,,,,0
37783,ε11706,ἐπικρουστήριον,n,n-s---nn2-,ἐπικρουστηρίου,,,,,0
37785,ε11708,ἐπικρούστιον,n,n-s---nn2-,ἐπικρουστίου,,,,,0
37786,ε11709,ἐπικρούω,v,----------,,,,,,0
37787,ε11711,ἐπικρύπτω,v,----------,,,,,,0
37788,ε11712,ἐπίκρυφος,a,aps---cn2-,ἐπίκρυφος ἐπίκρυφος ἐπίκρυφον,,,,,0
37789,ε11713,ἐπίκρυψις,n,n-s---fn3v,ἐπικρυψέως,,,,,0
37790,ε11714,ἐπικρώζω,v,----------,,,,,,0
37791,ε11715,ἐπικτάομαι,v,----------,,,,,,0
37792,ε11716,ἐπικτείνω,v,----------,,,,,,0
37793,ε11717,ἐπικτένιον,n,n-s---nn2-,ἐπικτενίου,,,,,0
37794,ε11718,ἐπικτερεί̈ζω,v,----------,,,,,,0
37796,ε11720,ἐπικτηνίτης,n,n-s---mn1e,ἐπικτηνίτου,,,,,0
37797,ε11721,ἐπίκτησις,n,n-s---fn3v,ἐπικτησέως,,,,,0
37798,ε11722,ἐπικτητικός,a,aps---mn1-,ἐπικτητικός ἐπικτητική ἐπικτητικόν,,,,,0
37799,ε11723,ἐπίκτητος,a,aps---cn2-,ἐπίκτητος ἐπίκτητος ἐπίκτητον,,,,,0
37800,ε11724,ἐπικτίζω,v,----------,,,,,,0
37801,ε11725,ἐπικτόριον,n,n-s---nn2-,ἐπικτορίου,,,,,0
37802,ε11726,ἐπικτός,n,----------,,,,,,0
37803,ε11727,ἐπικτυπέω,v,----------,,,,,,0
37806,ε11730,ἐπικυδιάω,v,----------,,,,,,0
37807,ε11731,ἐπικυέω,v,----------,,,,,,0
37808,ε11732,ἐπικύημα,n,n-s---nn3t,ἐπικυήματος,,,,,0
37809,ε11733,ἐπικύησις,n,n-s---fn3v,ἐπικυησέως,,,,,0
37810,ε11734,ἐπικυί̈σκομαι,v,----------,,,,,,0
37811,ε11735,ἐπικυκλέω,v,----------,,,,,,0
37813,ε11737,ἐπικυκλίδιος,n,----------,,,,,,0
37814,ε11738,ἐπικύκλιος,a,aps---cn2-,ἐπικύκλιος ἐπικύκλιος ἐπικύκλιον,,,,,0
37815,ε11739,ἐπίκυκλος,n,n-s---mn2-,ἐπικύκλου,,,,,0
37816,ε11740,ἐπικυκλόω,v,----------,,,,,,0
37817,ε11741,ἐπικυλίδες,n,n-p---fn3d,ἐπικυλιδίδων,,,,,0
38191,ε12112,ἐπινέω,n,----------,,,,,,0
37766,ε11689,ἐπικριδόν,r,----------,,,,,,0
37820,ε11744,ἐπικυλινδρόομαι,v,----------,,,,,,0
37821,ε11745,ἐπικύλιον,n,n-s---nn2-,ἐπικυλίου,,,,,0
37822,ε11746,ἐπικυλισμός,n,----------,,,,,,0
37823,ε11747,ἐπικυλλόω,v,----------,,,,,,0
37824,ε11748,ἐπικύλλωμα,n,n-s---nn3t,ἐπικυλλώματος,,,,,0
37825,ε11749,ἐπικυμαίνω,v,----------,,,,,,0
37827,ε11751,ἐπικυμάτωσις,n,----------,,,,,,0
37828,ε11752,ἐπικυνέω,v,----------,,,,,,0
37829,ε11753,ἐπικύπτω,v,----------,,,,,,0
37830,ε11754,ἐπικύρβιος,a,aps---cn2-,ἐπικύρβιος ἐπικύρβιος ἐπικύρβιον,,,,,0
37831,ε11755,ἐπικυρόω,v,----------,,,,,,0
37833,ε11757,ἐπικυρτόω,v,----------,,,,,,0
37834,ε11758,ἐπικύρω,v,----------,,,,,,0
37835,ε11759,ἐπικύρωσις,v,----------,,,,,,0
37836,ε11760,ἐπικυρωτέον,a,----------,,,,,,0
37837,ε11761,ἐπικυστίς,n,n-s---fn3d,ἐπικυστίδος,,,,,0
37838,ε11762,ἐπίκυφος,a,aps---cn2-,ἐπίκυφος ἐπίκυφος ἐπίκυφον,,,,,0
37839,ε11763,ἐπικύψ,n,----------,,,,,,0
37840,ε11764,ἐπικυψέλιος,n,n-s---mn2-,ἐπικυψελίου,,,,,0
37841,ε11765,ἐπίκυψις,n,n-s---fn3v,ἐπικυψέως,,,,,0
37842,ε11766,ἐπικωθωνίζομαι,v,----------,,,,,,0
37843,ε11767,ἐπικωκύω,v,----------,,,,,,0
37844,ε11768,ἐπικωλύω,v,----------,,,,,,0
37847,ε11771,ἐπικωμαστής,n,n-s---mn1e,ἐπικωμαστού,,,,,0
37850,ε11775,ἐπίκωμος,a,aps---cn2-,ἐπίκωμος ἐπίκωμος ἐπίκωμον,,,,,0
37851,ε11772,ἐπικωμῳδέω,v,----------,,,,,,0
37852,ε11776,ἐπικωπαστήρ,n,n-s---mn3r,ἐπικωπαστῆρος,,,,,0
37853,ε11777,ἐπικωπητήρ,n,n-s---mn3r,ἐπικωπητῆρος,,,,,0
37854,ε11778,ἐπίκωπος,a,aps---cn2-,ἐπίκωπος ἐπίκωπος ἐπίκωπον,,,,,0
37855,ε11779,ἐπιλαβή,n,n-s---fn1e,ἐπιλαβῆς,,,,,0
37856,ε11780,ἐπιλαγχάνω,v,----------,,,,,,0
37857,ε11781,ἐπιλαδόν,r,----------,,,,,,0
37858,ε11782,ἐπιλάζυμαι,v,----------,,,,,,0
37859,ε11783,ἐπιλαί̈ς,n,----------,,,,,,0
37860,ε11784,ἐπίλακκος,a,aps---cn2-,ἐπίλακκος ἐπίλακκος ἐπίλακκον,,,,,0
37861,ε11785,ἐπιλαλέω,v,----------,,,,,,0
37862,ε11786,ἐπιλάλημα,n,n-s---nn3t,ἐπιλαλήματος,,,,,0
37863,ε11787,ἐπιλαμβάνω,v,----------,,,,/e.pi.lam.bá.nɔː/,,0
37864,ε11788,ἐπιλαμπάδιον,n,n-s---nn2-,ἐπιλαμπαδίου,,,,,0
37865,ε11789,ἐπίλαμπρος,a,aps---cn2-,ἐπίλαμπρος ἐπίλαμπρος ἐπίλαμπρον,,,,,0
37866,ε11790,ἐπιλαμπρύνω,v,----------,,,,,,0
37868,ε11792,ἐπιλάμπω,v,----------,,,,,,0
37869,ε11793,ἐπίλαμψις,n,n-s---fn3v,ἐπιλαμψέως,,,,,0
37819,ε11743,ἐπικυλινδέω,v,----------,,,,,,0
37872,ε11796,ἐπιλάρχης,n,n-s---mn1e,ἐπιλάρχου,,,,,0
37873,ε11797,ἐπιλαρχία,n,n-s---fn1l,ἐπιλαρχίας,,,,,0
37874,ε11798,ἐπίλασις,n,----------,,,,,,0
37875,ε11799,ἐπιλαφύσσω,v,----------,,,,,,0
37876,ε11800,ἐπιλεαίνω,v,----------,,,,,,0
37877,ε11801,ἐπιλέανσις,n,n-s---fn3v,ἐπιλεανσέως,,,,,0
37878,ε11802,ἐπιλέγδην,r,----------,,,,,,0
37880,ε11804,ἐπιλέγω,v,----------,,,,,,0
37881,ε11805,ἐπιλείβω,v,----------,,,,,,0
37883,ε11807,ἐπίλειος,a,aps---cn2-,ἐπίλειος ἐπίλειος ἐπίλειον,,,,,0
37884,ε11808,ἐπιλειόω,v,----------,,,,,,0
37885,ε11809,ἐπιλείπω,v,----------,,,,,,0
37886,ε11810,ἐπιλείχω,v,----------,,,,,,0
37887,ε11811,ἐπίλειψις,n,n-s---fn3v,ἐπιλειψέως,,,,,0
37889,ε11813,ἐπιλεκτέον,a,----------,,,,,,0
37890,ε11814,ἐπιλέκτης,n,n-s---mn1e,ἐπιλέκτου,,,,,0
37891,ε11815,ἐπίλεκτος,a,aps---cn2-,ἐπίλεκτος ἐπίλεκτος ἐπίλεκτον,,,,,0
37892,ε11816,ἐπιλελογισμένως,r,----------,,,,,,0
37893,ε11817,ἐπίλεξις,n,n-s---fn3v,ἐπιλεξέως,,,,,0
37895,ε11819,ἐπιλεπτουργέω,v,----------,,,,,,0
37896,ε11820,ἐπιλεπτύνω,v,----------,,,,,,0
37897,ε11821,ἐπιλέπω,v,----------,,,,,,0
37898,ε11822,ἐπιλευκαίνω,v,----------,,,,,,0
37900,ε11824,ἐπίλευκος,a,aps---cn2-,ἐπίλευκος ἐπίλευκος ἐπίλευκον,,,,,0
37901,ε11825,ἐπιλεύσσω,v,----------,,,,,,0
37902,ε11826,ἐπιλήγω,v,----------,,,,,,0
37903,ε11827,ἐπιλήθης,a,aps---cn3s,ἐπιλήθης ἐπιλήθης ἐπιλή͂θες,,,,,0
37904,ε11828,ἐπίληθος,a,aps---cn2-,ἐπίληθος ἐπίληθος ἐπίληθον,,,,,0
37905,ε11829,ἐπιλήθω,v,----------,,,,,,0
37906,ε11830,ἐπιληί̈ς,n,n-s---fn3d,ἐπιληιίδος,,,,,0
37907,ε11831,ἐπιληκέω,v,----------,,,,,,0
37908,ε11832,ἐπιλήκητος,n,----------,,,,,,0
37910,ε11834,ἐπιλήνιος,a,aps---cn2-,ἐπιλήνιος ἐπιλήνιος ἐπιλήνιον,,,,,0
37911,ε11835,ἐπιληπτέον,v,----------,,,,,,0
37912,ε11836,ἐπιληπτεύομαι,v,----------,,,,,,0
37913,ε11837,ἐπιληπτίζω,v,----------,,,,,,0
37915,ε11839,ἐπίληπτος,a,aps---cn2-,ἐπίληπτος ἐπίληπτος ἐπίληπτον,,,,,0
37916,ε11840,ἐπιλήπτωρ,n,n-s---mn3r,ἐπιλήπτορος,,,,,0
37917,ε11841,ἐπίλησις,n,n-s---fn3v,ἐπιλησέως,,,,,0
37918,ε11842,ἐπιλησμονή,n,n-s---fn1e,ἐπιλησμονῆς,,,,,0
37920,ε11844,ἐπιλήσμων,a,aps---cn3n,ἐπιλήσμων ἐπιλήσμων ἐπιλήσμον,,,,,0
37921,ε11845,ἐπιληψία,n,n-s---fn1l,ἐπιληψίας,,,,,0
37922,ε11846,ἐπιλήψιμος,a,aps---cn2-,ἐπιλήψιμος ἐπιλήψιμος ἐπιλήψιμον,,,,,0
37871,ε11795,ἐπιλάρκισμα,n,n-s---nn3t,ἐπιλαρκίσματος,,,,,0
37925,ε11849,ἐπιλίζω,v,----------,,,,,,0
37926,ε11850,ἐπιλίημι,v,----------,,,,,,0
37927,ε11851,ἐπιλιμνάζομαι,v,----------,,,,,,0
37929,ε11852,ἐπιλιμπάνω,v,----------,,,,,,0
37930,ε11853,ἐπιλινάω,v,----------,,,,,,0
37932,ε11855,ἐπιλιπαίνω,v,----------,,,,,,0
37933,ε11856,ἐπιλιπαρέω,v,----------,,,,,,0
37934,ε11857,ἐπιλιπής,a,----------,,,,,,0
37935,ε11858,ἐπιλιπής,a,aps---cn5s,ἐπιλιπής ἐπιλιπής ἐπιλιπές,,,,,0
37936,ε11859,ἐπιλιχμάω,v,----------,,,,,,0
37937,ε11860,ἐπιλιχνεύω,v,----------,,,,,,0
37939,ε11862,ἐπιλλίζω,v,----------,,,,,,0
37940,ε11863,ἔπιλλος,a,aps---cn2-,ἔπιλλος ἔπιλλος ἔπιλλον,,,,,0
37941,ε11864,ἐπιλλόω,v,----------,,,,,,0
37942,ε11865,ἐπιλλώπτω,v,----------,,,,,,0
37943,ε11866,ἐπιλοβίς,n,n-s---fn3d,ἐπιλοβίδος,,,,,0
37944,ε11867,ἐπιλόγεον,a,----------,,,,,,0
37946,ε11869,ἐπιλογεύω,v,----------,,,,,,0
37947,ε11870,ἐπιλογή,n,n-s---fn1e,ἐπιλογῆς,,,/e.pi.lo.ɡɛ̌ː/,,0
37948,ε11871,ἐπιλογίζομαι,v,----------,,,,,,0
37950,ε11873,ἐπιλόγιον,n,n-s---nn2-,ἐπιλογίου,,,,,0
37951,ε11874,ἐπιλόγισις,n,n-s---fn3v,ἐπιλογισέως,,,,,0
37952,ε11875,ἐπιλόγισμα,n,n-s---nn3t,ἐπιλογίσματος,,,,,0
37953,ε11876,ἐπιλογισμός,n,----------,,,,,,0
37955,ε11878,ἐπιλογιστικός,a,aps---mn1-,ἐπιλογιστικός ἐπιλογιστική ἐπιλογιστικόν,,,,,0
37956,ε11879,ἐπίλογος,n,n-s---mn2-,ἐπιλόγου,,,/e.pí.lo.ɡos/,,0
37957,ε11881,ἐπίλογχος,a,aps---cn2-,ἐπίλογχος ἐπίλογχος ἐπίλογχον,,,,,0
37958,ε11880,ἐπίλογχος,n,n-s---mn2-,ἐπιλόγχου,,,,,0
37959,ε11882,ἐπιλοιβή,n,n-s---fn1e,ἐπιλοιβῆς,,,,,0
37960,ε11883,ἐπιλοιδορέω,v,----------,,,,,,0
37961,ε11884,ἐπιλοίμια,n,n-p---nn2-,ἐπιλοιμίων,,,,,0
37963,ε11886,ἐπιλοξόω,v,----------,,,,,,0
37964,ε11887,ἐπίλουτρον,n,n-s---nn2-,ἐπιλούτρου,,,,,0
37965,ε11888,ἐπιλούω,v,----------,,,,,,0
37966,ε11889,ἐπιλοχαγός,n,----------,,,,,,0
37967,ε11890,ἐπιλυγάζω,v,----------,,,,,,0
37968,ε11891,ἐπιλύζω,v,----------,,,,,,0
37969,,Ἐπιλύκειον,n,n-s---nn2-,Ἐπιλυκείου,,,,,0
37970,ε11892,ἐπιλυμαίνομαι,v,----------,,,,,,0
37971,ε11893,ἐπιλυπέω,v,----------,,,,,,0
37973,ε11895,ἐπίλυπος,a,----------,,,,,,0
37975,ε11897,ἐπιλυτικός,a,aps---mn1-,ἐπιλυτικός ἐπιλυτική ἐπιλυτικόν,,,,,0
37976,ε11898,ἐπίλυτος,a,aps---cn2-,ἐπίλυτος ἐπίλυτος ἐπίλυτον,,,,,0
37977,ε11899,ἐπίλυτρος,a,aps---cn2-,ἐπίλυτρος ἐπίλυτρος ἐπίλυτρον,,,,,0
37924,ε11848,ἐπιλίγδην,r,----------,,,,,,0
37980,ε11902,ἐπιλωβεύω,v,----------,,,,,,0
37981,ε11903,ἐπιλωβής,a,aps---cn5s,ἐπιλωβής ἐπιλωβής ἐπιλωβές,,,,,0
37983,ε11905,ἐπίλωβος,a,aps---cn2-,ἐπίλωβος ἐπίλωβος ἐπίλωβον,,,,,0
37985,ε11907,ἐπιμαθής,a,aps---cn5s,ἐπιμαθής ἐπιμαθής ἐπιμαθές,,,,,0
37986,ε11908,ἐπιμαιμάω,v,----------,,,,,,0
37987,ε11909,ἐπιμαίνω,v,----------,,,,,,0
37988,ε11910,ἐπιμαίομαι,v,----------,,,,,,0
37989,ε11911,ἐπίμακρος,a,aps---cn2-,ἐπίμακρος ἐπίμακρος ἐπίμακρον,,,,,0
37990,ε11912,ἐπιμάλθα,n,----------,,,,,,0
37991,ε11913,ἐπιμανδαλωτόν,n,----------,,,,,,0
37993,ε11915,ἐπιμανθάνω,v,----------,,,,,,0
37994,ε11916,ἐπιμαντεύομαι,v,----------,,,,,,0
37995,ε11917,ἐπιμαργαίνω,v,----------,,,,,,0
37996,ε11918,ἐπίμαργος,a,aps---cn2-,ἐπίμαργος ἐπίμαργος ἐπίμαργον,,,,,0
37997,ε11919,ἐπιμάρναμαι,v,----------,,,,,,0
37998,ε11920,ἐπιμάρπτω,v,----------,,,,,,0
37999,ε11921,ἐπιμαρτυρέω,v,----------,,,,,,0
38001,ε11923,ἐπιμαρτυρητής,n,n-s---mn1e,ἐπιμαρτυρητού,,,,,0
38002,ε11924,ἐπιμαρτυρία,n,n-s---fn1l,ἐπιμαρτυρίας,,,,,0
38003,ε11925,ἐπιμαρτύρομαι,v,----------,,,,,,0
38004,ε11926,ἐπιμάρτυρος,n,n-s---mn2-,ἐπιμαρτύρου,,,,,0
38005,ε11927,ἐπίμαρτυς,n,----------,,,,,,0
38006,ε11928,ἐπιμασάομαι,v,----------,,,,,,0
38007,ε11929,ἐπιμαστεύω,v,----------,,,,,,0
38010,ε11932,ἐπιμαστίω,v,----------,,,,,,0
38011,ε11933,ἐπίμαστος,a,aps---cn2-,ἐπίμαστος ἐπίμαστος ἐπίμαστον,,,,,0
38012,ε11934,ἐπιμαχέω,v,----------,,,,,,0
38013,ε11935,ἐπιμαχία,n,n-s---fn1l,ἐπιμαχίας,,,/e.pi.ma.kʰí.aː/,,0
38014,ε11936,ἐπιμάχιμος,a,aps---cn2-,ἐπιμάχιμος ἐπιμάχιμος ἐπιμάχιμον,,,,,0
38015,ε11937,ἐπιμάχομαι,v,----------,,,,,,0
38016,ε11938,ἐπίμαχος,a,aps---cn2-,ἐπίμαχος ἐπίμαχος ἐπίμαχον,,,/e.pí.ma.kʰos/,,0
38017,ε11939,ἐπιμείγνυμι,v,----------,,,,,,0
38018,ε11940,ἐπιμειδάω,v,----------,,,,,,0
38020,ε11942,ἐπιμειδιάω,v,----------,,,,,,0
38021,ε11943,ἐπιμείζων,a,aps---cn3n,ἐπιμείζων ἐπιμείζων ἐπιμείζον,,,,,0
38022,ε11944,ἐπιμεικτέον,a,----------,,,,,,0
38023,ε11945,ἐπίμεικτος,a,aps---cn2-,ἐπίμεικτος ἐπίμεικτος ἐπίμεικτον,,,,,0
38024,ε11946,ἐπιμείλια,n,----------,,,,,,0
38025,ε11947,ἐπιμειλίσσομαι,v,----------,,,,,,0
38026,ε11948,ἐπιμειξία,n,n-s---fn1l,ἐπιμειξίας,,,,,0
38027,ε11949,ἐπίμειξις,n,n-s---fn3v,ἐπιμειξέως,,,,,0
38028,ε11950,ἐπιμείρομαι,v,----------,,,,,,0
37979,ε11901,ἐπιλύω,v,----------,,,,,,0
38033,ε11957,ἐπιμελέομαι,v,----------,,,,,,0
38035,ε11959,ἐπιμελής,a,aps---cn5s,ἐπιμελής ἐπιμελής ἐπιμελές,,,,,0
38036,ε11960,ἐπιμέλησις,n,n-s---fn3v,ἐπιμελησέως,,,,,0
38037,ε11961,ἐπιμελητεία,n,n-s---fn1l,ἐπιμελητείας,,,,,0
38038,ε11962,ἐπιμελητέον,v,----------,,,,,,0
38039,ε11963,ἐπιμελητεύω,v,----------,,,,,,0
38040,ε11964,ἐπιμελητής,n,n-s---mn1e,ἐπιμελητού,,,,,0
38042,ε11966,ἐπιμελήτρια,n,n-s---fn1s,ἐπιμελήτριας,,,,,0
38043,ε11967,ἐπιμελία,n,----------,,,,,,0
38045,ε11969,ἐπιμέλπω,v,----------,,,,,,0
38046,ε11953,ἐπιμελῳδέω,v,----------,,,,,,0
38047,ε11954,ἐπιμελῴδημα,n,n-s---nn3t,ἐπιμελῳδήματος,,,,,0
38048,ε11970,ἐπιμέμβλεται,n,----------,,,,,,0
38049,ε11971,ἐπιμεμιγμένως,n,----------,,,,,,0
38050,ε11972,ἐπιμέμονα,n,----------,,,,,,0
38052,ε11974,ἐπίμεμπτος,a,aps---cn2-,ἐπίμεμπτος ἐπίμεμπτος ἐπίμεμπτον,,,,,0
38053,ε11975,ἐπιμεμφής,a,aps---cn5s,ἐπιμεμφής ἐπιμεμφής ἐπιμεμφές,,,,,0
38054,ε11976,ἐπιμέμφομαι,v,----------,,,,,,0
38055,ε11977,ἐπίμεμψις,n,n-s---fn3v,ἐπιμεμψέως,,,,,0
38056,ε11978,ἐπιμενετέον,a,----------,,,,,,0
38057,,Ἐπιμενίδειος,n,----------,,,,,,0
38058,ε11979,ἐπιμένω,v,----------,,,,,,0
38060,ε11981,ἐπιμερίζω,v,----------,,,,,,0
38061,ε11982,ἐπιμέρισις,n,n-s---fn3v,ἐπιμερισέως,,,,,0
38062,ε11983,ἐπιμερισμός,n,----------,,,,,,0
38063,ε11984,ἐπιμεριστής,n,n-s---mn1e,ἐπιμεριστού,,,,,0
38064,ε11985,ἐπιμερότης,n,n-s---fn3t,ἐπιμερότητος,,,,,0
38066,ε11987,ἐπιμεσουράνημα,n,----------,,,,,,0
38067,ε11988,ἐπιμεσόω,v,----------,,,,,,0
38068,ε11989,ἐπίμεστος,a,aps---cn2-,ἐπίμεστος ἐπίμεστος ἐπίμεστον,,,,,0
38069,ε11990,ἐπιμεταλλάσσω,v,----------,,,,,,0
38070,ε11991,ἐπιμεταπέμπομαι,v,----------,,,,,,0
38071,ε11992,ἐπιμεταφέρω,v,----------,,,,,,0
38072,ε11993,ἐπιμετρέω,v,----------,,,,,,0
38073,ε11994,ἐπιμέτρησις,n,n-s---fn3v,ἐπιμετρησέως,,,,,0
38074,ε11995,ἐπίμετρον,n,n-s---nn2-,ἐπιμέτρου,,,,,0
38076,ε11997,ἐπιμήδομαι,v,----------,,,,,,0
38078,ε11999,ἐπιμηθεύομαι,v,----------,,,,,,0
38079,,Ἐπιμηθεύς,n,n-s---mn3v,Ἐπιμηθέως,,,/e.pi.mɛː.tʰeú̯s/,,0
38080,ε12000,ἐπιμηθής,a,aps---cn5s,ἐπιμηθής ἐπιμηθής ἐπιμηθές,,,,,0
38081,ε12001,ἐπιμήκης,a,aps---cn3s,ἐπιμήκης ἐπιμήκης ἐπιμή͂κες,,,,,0
38082,ε12002,ἐπιμηκύνω,v,----------,,,,,,0
38083,ε12003,ἐπιμηλάδες,n,----------,,,,,,0
38032,ε11956,ἐπιμέλεια,n,n-s---fn1l,ἐπιμελείας,,,,,0
38086,ε12005,ἐπιμηλίς,n,n-s---fn3d,ἐπιμηλίδος,,,,,0
38087,ε12006,ἐπιμηνάω,v,----------,,,,,,0
38088,ε12007,ἐπιμηνίδιον,n,n-s---nn2-,ἐπιμηνιδίου,,,,,0
38090,ε12009,ἐπιμηνιεύω,v,----------,,,,,,0
38091,ε12010,ἐπιμηνίη,n,----------,,,,,,0
38093,ε12012,ἐπιμηνίω,v,----------,,,,,,0
38094,ε12013,ἐπιμηνϋτής,n,n-s---mn1e,ἐπιμηνϋτού,,,,,0
38095,ε12014,ἐπιμηρύομαι,v,----------,,,,,,0
38096,ε12015,ἐπιμητιάω,v,----------,,,,,,0
38097,ε12016,ἐπιμηχανάομαι,v,----------,,,,,,0
38098,ε12017,ἐπιμηχάνημα,n,n-s---nn3t,ἐπιμηχανήματος,,,,,0
38099,ε12018,ἐπιμηχάνησις,n,n-s---fn3v,ἐπιμηχανησέως,,,,,0
38100,ε12019,ἐπιμηχανητέον,a,----------,,,,,,0
38102,ε12021,ἐπιμιγή,n,n-s---fn1e,ἐπιμιγῆς,,,,,0
38103,ε12022,ἐπιμίγνυμι,v,----------,,,,,,0
38104,ε12023,ἐπιμιμέομαι,v,----------,,,,,,0
38105,ε12024,ἐπιμιμνήσκομαι,v,----------,,,,,,0
38106,ε12025,ἐπιμίμνω,v,----------,,,,,,0
38107,ε12026,ἐπιμίξ,r,----------,,,,,,0
38108,ε12027,ἐπιμιξία,n,----------,,,,,,0
38109,ε12028,ἐπιμίσγω,v,----------,,,,,,0
38111,ε12030,ἐπιμισθόω,v,----------,,,,,,0
38112,ε12031,ἐπιμνημονεύω,v,----------,,,,,,0
38114,ε12033,ἐπιμνηστέον,v,----------,,,,,,0
38115,ε12034,ἐπιμοιράομαι,v,----------,,,,,,0
38116,ε12035,ἐπιμοίριος,a,aps---cn2-,ἐπιμοίριος ἐπιμοίριος ἐπιμοίριον,,,,,0
38117,ε12036,ἐπίμοιρος,a,aps---cn2-,ἐπίμοιρος ἐπίμοιρος ἐπίμοιρον,,,,,0
38118,ε12037,ἐπιμοιχεύω,v,----------,,,,,,0
38120,ε12039,ἐπιμολεῖν,v,----------,,,,,,0
38121,ε12040,ἐπίμολος,n,n-s---mn2-,ἐπιμόλου,,,,,0
38122,ε12041,ἐπιμολύνω,v,----------,,,,,,0
38123,ε12042,ἐπιμομφή,n,n-s---fn1e,ἐπιμομφῆς,,,,,0
38124,ε12043,ἐπίμομφος,a,aps---cn2-,ἐπίμομφος ἐπίμομφος ἐπίμομφον,,,,,0
38125,ε12044,ἐπιμονή,n,n-s---fn1e,ἐπιμονῆς,,,,,0
38126,ε12045,ἐπιμονίδιος,n,----------,,,,,,0
38127,ε12046,ἐπίμονος,a,aps---cn2-,ἐπίμονος ἐπίμονος ἐπίμονον,,,,,0
38128,ε12047,ἐπιμοριασμός,n,----------,,,,,,0
38130,ε12049,ἐπιμοριότης,n,n-s---fn3t,ἐπιμοριότητος,,,,,0
38131,ε12050,ἐπιμορμύρω,v,----------,,,,,,0
38132,ε12051,ἐπίμορτος,n,----------,,,,,,0
38133,ε12052,ἐπιμορφάζω,v,----------,,,,,,0
38135,ε12054,ἐπιμοτόω,v,----------,,,,,,0
38136,ε12055,ἐπιμοχθέω,v,----------,,,,,,0
38085,ε12004,ἐπιμήλιος,n,n-s---mn2-,ἐπιμηλίου,,,,,0
38140,ε12059,ἐπιμύζω,v,----------,,,,,,0
